Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Bryan Sallier,Estudiantes,5,15.9,5.6,5.4,0.70,0.46,0.43,0.30,0.26,0.20,0.04,0.11,-10.35,0.4,0.0,3.2,/profile/Bryan-Sallier-35784/,/stats/acb/2003/Estudiantes,2003,acb,Bryan-Sallier-35784,Estudiantes
Jesus Lazaro,Manresa,34,15.5,5.3,4.1,0.91,0.56,0.50,0.33,0.46,1.38,0.34,1.34,-0.69,1.1,0.0,1.8,/profile/Jesus-Lazaro-36091/,/stats/acb/2003/Manresa,2003,acb,Jesus-Lazaro-36091,Manresa
Pere Capdevila,Girona,23,15.4,4.2,3.7,0.85,0.51,0.49,0.25,0.74,0.35,0.09,0.42,-3.91,0.6,0.0,1.4,/profile/Pere-Capdevila-36323/,/stats/acb/2003/Girona,2003,acb,Pere-Capdevila-36323,Girona
Eduardo Hernandez-Sonseca,Real Madrid,27,15.3,4.0,3.0,0.87,0.56,0.52,0.38,0.05,0.19,0.06,0.19,-5.49,0.4,1.1,2.1,/profile/Eduardo-Hernandez-Sonseca-113/,/stats/acb/2003/Real%20Madrid,2003,acb,Eduardo-Hernandez-Sonseca-113,Real%20Madrid
Victor Baldo,Alicante,35,15.2,5.1,4.2,0.82,0.49,0.43,0.48,0.07,0.69,0.16,0.73,-3.22,0.8,0.6,2.8,/profile/Victor-Baldo-37115/,/stats/acb/2003/Alicante,2003,acb,Victor-Baldo-37115,Alicante
Thierry Gadou,Vitoria,25,15.1,3.5,2.4,0.88,0.62,0.56,0.40,0.20,0.88,0.37,0.81,-3.28,0.5,0.2,2.3,/profile/Thierry-Gadou-36481/,/stats/acb/2003/Vitoria,2003,acb,Thierry-Gadou-36481,Vitoria
Jim Moran,Gran Canaria,35,15.0,3.7,3.0,1.06,0.60,0.60,0.05,0.78,0.51,0.17,1.29,-0.38,0.7,0.3,2.2,/profile/Jim-Moran-36093/,/stats/acb/2003/Gran%20Canaria,2003,acb,Jim-Moran-36093,Gran%20Canaria
Bill Edwards,Girona,3,14.8,6.0,5.7,0.90,0.48,0.41,0.24,0.35,0.33,0.06,1.00,-0.76,0.3,0.3,1.7,/profile/Bill-Edwards-2324/,/stats/acb/2003/Girona,2003,acb,Bill-Edwards-2324,Girona
Pablo Laso,Lleida,7,14.4,1.6,1.7,0.41,0.40,0.33,0.33,0.50,2.14,1.25,1.15,-2.88,0.4,0.0,1.7,/profile/Pablo-Laso-36304/,/stats/acb/2003/Lleida,2003,acb,Pablo-Laso-36304,Lleida
Glenn Sekunda,Sevilla,20,14.3,5.1,4.7,0.76,0.47,0.40,0.34,0.32,0.50,0.11,0.43,-5.77,0.4,0.1,2.3,/profile/Glenn-Sekunda-36008/,/stats/acb/2003/Sevilla,2003,acb,Glenn-Sekunda-36008,Sevilla
Joan Penarroya,Manresa,34,14.0,4.6,4.4,0.85,0.49,0.47,0.15,0.57,0.59,0.13,0.80,-2.43,0.4,0.0,1.4,/profile/Joan-Penarroya-36833/,/stats/acb/2003/Manresa,2003,acb,Joan-Penarroya-36833,Manresa
Quique Moraga,Girona,32,14.0,6.3,4.1,0.98,0.64,0.60,0.45,0.05,0.25,0.06,0.17,-9.19,0.8,0.3,2.3,/profile/Quique-Moraga-36337/,/stats/acb/2003/Girona,2003,acb,Quique-Moraga-36337,Girona
Gabriel Fernandez,Valladolid,32,14.0,5.2,3.5,1.08,0.65,0.62,0.29,0.44,0.38,0.11,0.50,-3.59,0.2,0.2,2.6,/profile/Gabriel-Fernandez-35963/,/stats/acb/2003/Valladolid,2003,acb,Gabriel-Fernandez-35963,Valladolid
