Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Otto Porter
						
					",2013,3,"6'7 ½""","6'8 ½""","7'1 ½""","8'9 ½""","36""","11'9 ½""","27""","11'0 ½""",198,6.7,"8.75""","9.25""",9,11.25,3.4,/profile/Otto-Porter-6528/,Otto-Porter-6528
"
						
							Christian Watford
						
					",2013,-,"6'7 ½""","6'9""","7'0 ¾""","8'8 ½""","36""","11'8 ½""","29.5""","11'2""",224,7.2,"8.5""","10""",17,11.35,3.37,/profile/Christian-Watford-5281/,Christian-Watford-5281
"
						
							Elias Harris
						
					",2013,-,"6'7 ½""","6'8 ½""","6'10""","8'8""","38""","11'10""","32""","11'4""",238,12,"8""","8.75""",14,11.27,3.26,/profile/Elias-Harris-1382/,Elias-Harris-1382
"
						
							Harry Giles
						
					",2012,20,"6'7 ½""","6'8 ½""","7'1 ¾""","8'11""",-,-,-,-,203,-,-,-,-,-,-,/profile/Harry-Giles-7236/,Harry-Giles-7236
"
						
							Scottie Pippen
						
					",1987,5,"6'7 ½""",-,"7'0""",-,-,-,-,-,212,-,-,-,-,-,-,/profile/Scottie-Pippen-3959/,Scottie-Pippen-3959
"
						
							Justin Jackson (Cincinnati)
						
					",2014,-,"6'7 ½""",-,"7'1""","8'10""",-,-,"28.5""","11'2 ½""",220,-,-,-,-,11.75,3.43,/profile/Justin-Jackson-%28Cincinnati%29-20513/,Justin-Jackson-%28Cincinnati%29-20513
"
						
							Juvonte Reddic
						
					",2014,-,"6'7 ½""",-,"7'0 ½""","8'11""",-,-,"27.5""","11'2 ½""",247,-,-,-,-,11.72,3.38,/profile/Juvonte-Reddic-16602/,Juvonte-Reddic-16602
"
						
							Okaro White
						
					",2014,-,"6'7 ½""",-,"6'11 ¾""","8'9 ½""",-,-,"32.5""","11'6""",200,-,-,-,-,11.46,3.25,/profile/Okaro-White-5770/,Okaro-White-5770
"
						
							Khem Birch
						
					",2014,-,"6'7 ½""","6'9 ¼""","7'1""","8'11""","35.5""","11'10 ½""","30.5""","11'5 ½""",209,6,"9""","8.5""",-,11.6,3.26,/profile/Khem-Birch-5793/,Khem-Birch-5793
"
						
							James McAdoo
						
					",2014,-,"6'7 ½""","6'8 ¾""","7'2 ¼""","8'10 ½""","34""","11'8 ½""","29.5""","11'4""",228,6.2,"9.25""","9""",-,11.61,3.28,/profile/James-McAdoo-5763/,James-McAdoo-5763
"
						
							Roscoe Smith
						
					",2014,-,"6'7 ½""","6'8 ½""","7'1 ½""","8'10 ½""","36""","11'10 ½""","29""","11'3 ½""",202,4.7,"9.25""","9.75""",7,11.04,3.43,/profile/Roscoe-Smith-5741/,Roscoe-Smith-5741
"
						
							Tarik Black
						
					",2014,-,"6'7 ½""","6'8 ½""","7'2 ¾""","8'11""",-,-,-,-,253,10.2,"10.5""","11""",-,-,-,/profile/Tarik-Black-5711/,Tarik-Black-5711
"
						
							Ioannis Papapetrou
						
					",2014,-,"6'7 ½""","6'8 ½""","6'9 ¼""","8'8""","31.5""","11'3 ½""","26.5""","10'10 ½""",233,-,-,-,-,11.56,3.33,/profile/Ioannis-Papapetrou-65492/,Ioannis-Papapetrou-65492
"
						
							Ojars Silins
						
					",2014,-,"6'7 ½""","6'8 ½""","7'0 ¾""","8'11""","28""","11'3""","25""","11'0""",209,-,-,-,-,11.98,3.47,/profile/Ojars-Silins-49628/,Ojars-Silins-49628
"
						
							Carlton Allen
						
					",2012,-,"6'7 ½""",-,"6'11 ¾""","9'0 ½""",-,-,-,-,246,-,-,-,-,-,-,/profile/Carlton-Allen-70247/,Carlton-Allen-70247
"
						
							Johnathan Motley
						
					",2012,-,"6'7 ½""",-,"7'3 ½""","9'1 ½""",-,-,-,-,200,-,-,-,-,-,-,/profile/Johnathan-Motley-72553/,Johnathan-Motley-72553
"
						
							Eric Stuteville
						
					",2012,-,"6'7 ½""",-,"6'9 ¼""","8'9 ½""",-,-,-,-,203,-,-,-,-,-,-,/profile/Eric-Stuteville-78329/,Eric-Stuteville-78329
"
						
							Michael Cobbins
						
					",2015,-,"6'7 ½""",-,"7'1""","9'0 ½""",-,-,"30.5""","11'7""",215,-,-,-,-,11.95,3.48,/profile/Michael-Cobbins-6228/,Michael-Cobbins-6228
"
						
							Jamal Jones
						
					",2015,-,"6'7 ½""","6'8 ¾""","6'11""","8'10""","34""","11'8""","28""","11'2""",190,-,-,-,-,11.94,3.33,/profile/Jamal-Jones-41511/,Jamal-Jones-41511
"
						
							Larry Nance
						
					",2015,27,"6'7 ½""","6'8 ½""","7'1 ½""","9'0""","37.5""","12'1 ½""","29""","11'5""",227,6.4,"9""","9.75""",10,10.89,3.25,/profile/Larry-Nance-42170/,Larry-Nance-42170
"
						
							Alexandre Chassang
						
					",2015,-,"6'7 ½""","6'8 ½""","6'10 ½""","8'9""","27""","11'0""","24.5""","10'9 ½""",213,-,-,-,-,11.82,3.49,/profile/Alexandre-Chassang-62394/,Alexandre-Chassang-62394
"
						
							Iran Bennett
						
					",2015,-,"6'7 ½""",-,"7'3""","9'1 ½""","27""","11'4 ½""","18.5""","10'8""",355,-,-,-,-,14.16,3.65,/profile/Iran-Bennett-82110/,Iran-Bennett-82110
"
						
							Ryan Anderson
						
					",2016,-,"6'7 ½""","6'8 ½""","6'9""","8'9 ½""",-,-,"30""","11'3 ½""",234,-,-,-,-,11.06,3.36,/profile/Ryan-Anderson-41091/,Ryan-Anderson-41091
"
						
							Beau Beech
						
					",2016,-,"6'7 ½""","6'9""","6'10""","8'8""",-,-,"26""","10'10""",215,-,-,-,-,11.2,3.45,/profile/Beau-Beech-65904/,Beau-Beech-65904
"
						
							Joel Bolomboy
						
					",2016,52,"6'7 ½""","6'9""","7'1 ¾""","8'7 ½""","40.5""","12'0""","37.5""","11'9""",224,5.2,"9""","10.25""",-,10.26,3.17,/profile/Joel-Bolomboy-66144/,Joel-Bolomboy-66144
"
						
							Cheick Diallo
						
					",2016,33,"6'7 ½""","6'9""","7'4 ½""","8'11 ½""","35""","11'10 ½""","31""","11'6 ½""",219,5.6,"8.5""","9.75""",-,11.24,3.26,/profile/Cheick-Diallo-71440/,Cheick-Diallo-71440
"
						
							Karlo Zganec
						
					",2016,-,"6'7 ½""","6'8 ½""","6'10""","8'10""","26""","11'0""","22""","10'8""",230,-,-,-,-,12.44,3.65,/profile/Karlo-Zganec-61997/,Karlo-Zganec-61997
"
						
							Andrea Antonaci
						
					",2016,-,"6'7 ½""",-,"6'9 ½""","8'6 ¼""",-,-,-,-,215,-,-,-,-,-,-,/profile/Andrea-Antonaci-97017/,Andrea-Antonaci-97017
"
						
							Jordan Philippe Bayehe
						
					",2016,-,"6'7 ½""",-,"6'11 ½""","8'8""",-,-,-,-,203,-,-,-,-,-,-,/profile/Jordan-Philippe-Bayehe-97019/,Jordan-Philippe-Bayehe-97019
"
						
							Isaiah Johnson
						
					",2017,-,"6'7 ½""","6'8 ¾""","7'1""","8'10""",-,-,"23.5""","10'9 ½""",332,-,-,-,-,13.21,3.68,/profile/Isaiah-Johnson-78242/,Isaiah-Johnson-78242
"
						
							Isaac Bonga
						
					",2017,-,"6'7 ½""","6'8 ¾""","6'11 ¾""","8'10 ½""",-,-,-,-,203,-,-,-,-,-,-,/profile/Isaac-Bonga-84711/,Isaac-Bonga-84711
"
						
							Berkan Durmaz
						
					",2017,-,"6'7 ½""","6'8 ¾""","7'0 ½""","8'10 ¼""",-,-,-,-,214,-,-,-,-,-,-,/profile/Berkan-Durmaz-73275/,Berkan-Durmaz-73275
"
						
							Santi Aldama
						
					",2017,-,"6'7 ½""","6'9""","6'8 ¼""","8'8""",-,-,-,-,179,-,-,-,-,-,-,/profile/Santi-Aldama-103401/,Santi-Aldama-103401
"
						
							Louis Amundson
						
					",2006,-,"6'7 ¼""","6'8""","6'11 ½""","8'7 ½""","35.5""","11'7""","32""","11'3 ½""",221,6.8,-,-,14,10.58,3.2,/profile/Louis-Amundson-550/,Louis-Amundson-550
"
						
							Brad Buckman
						
					",2006,-,"6'7 ¼""","6'8 ¾""","7'0""","8'11 ½""","30.5""","11'6""","25.5""","11'1""",238,10.5,-,-,10,12.26,3.54,/profile/Brad-Buckman-568/,Brad-Buckman-568
"
						
							Taj Gray
						
					",2006,-,"6'7 ¼""","6'8 ½""","7'0 ¾""","8'11""","33""","11'8""","28.5""","11'3 ½""",231,6.8,-,-,10,11.02,3.45,/profile/Taj-Gray-338/,Taj-Gray-338
"
						
							Tyrus Thomas
						
					",2006,4,"6'7 ¼""","6'8 ¼""","7'3""","9'0""","39.5""","12'3 ½""","34""","11'10""",217,5.6,-,-,8,11.36,3.2,/profile/Tyrus-Thomas-511/,Tyrus-Thomas-511
"
						
							Eric Williams
						
					",2006,-,"6'7 ¼""","6'8 ¾""","7'4 ¼""","8'10 ½""","29""","11'3 ½""","28.5""","11'3""",285,13,-,-,17,11.71,3.56,/profile/Eric-Williams-17/,Eric-Williams-17
"
						
							Justin Williams
						
					",2006,-,"6'7 ¼""","6'8 ¾""","7'1 ½""","9'1""","31.5""","11'8 ½""","26.5""","11'3 ½""",211,6.5,-,-,7,11.9,3.31,/profile/Justin-Williams-346/,Justin-Williams-346
"
						
							Shawne Williams
						
					",2006,17,"6'7 ¼""","6'8 ¾""","7'3""","8'8""","31""","11'3""","32""","11'4""",227,8,-,-,-,10.69,3.3,/profile/Shawne-Williams-296/,Shawne-Williams-296
"
						
							Theron Wilson
						
					",1996,-,"6'7 ¼""",-,-,-,-,-,-,-,203,-,-,-,-,-,-,/profile/Theron-Wilson-54654/,Theron-Wilson-54654
"
						
							Danny Fortson
						
					",1997,10,"6'7 ¼""",-,-,-,-,-,-,-,257,-,-,-,-,-,-,/profile/Danny-Fortson-2450/,Danny-Fortson-2450
"
						
							Charles Rhodes
						
					",2008,-,"6'7 ¼""","6'8 ¼""","6'11 ¼""","8'11 ½""","33.5""","11'9""","26.5""","11'2""",244,10.7,-,-,14,11.51,3.13,/profile/Charles-Rhodes-1126/,Charles-Rhodes-1126
"
						
							Frank Elegar
						
					",2008,-,"6'7 ¼""","6'8 ¾""","7'3 ¼""","8'10""","37.5""","11'11 ½""","33.5""","11'7 ½""",210,4.5,-,-,11,11.86,3.17,/profile/Frank-Elegar-1409/,Frank-Elegar-1409
"
						
							Joe Alexander
						
					",2008,8,"6'7 ¼""","6'8 ¼""","6'11 ½""","8'10""","38.5""","12'0 ½""","32.5""","11'6 ½""",220,5.8,-,-,24,11.33,2.99,/profile/Joe-Alexander-1185/,Joe-Alexander-1185
"
						
							Takais Brown
						
					",2008,-,"6'7 ¼""","6'8 ½""","6'10""","8'10""","31""","11'5""","29""","11'3""",252,9.2,-,-,22,12.47,3.25,/profile/Takais-Brown-1387/,Takais-Brown-1387
"
						
							Maarty Leunen
						
					",2008,54,"6'7 ¼""","6'8 ½""","6'8""","8'6 ¾""","34.5""","11'5 ¼""","29.5""","11'0 ¼""",222,8.9,-,-,14,11.57,3.36,/profile/Maarty-Leunen-476/,Maarty-Leunen-476
"
						
							Sharrod Ford
						
					",2005,-,"6'7 ¼""","6'8 ¼""","7'1 ½""","8'10""","37""","11'11""","28.5""","11'2 ½""",213,-,-,-,9,11.92,3.2,/profile/Sharrod-Ford-298/,Sharrod-Ford-298
"
						
							Wayne Simien
						
					",2005,29,"6'7 ¼""","6'9""","7'0""","8'11""","27.5""","11'2 ½""","27""","11'2""",256,-,-,-,11,11.05,3.35,/profile/Wayne-Simien-82/,Wayne-Simien-82
"
						
							Hakim Warrick
						
					",2005,19,"6'7 ¼""","6'8 ½""","7'2""","9'0""","38""","12'2""","33""","11'9""",215,-,-,-,11,-,3.22,/profile/Hakim-Warrick-42/,Hakim-Warrick-42
"
						
							Sam Hoskin
						
					",2003,-,"6'7 ¼""","6'8 ½""","6'10 ¾""","8'11 ½""",-,-,-,-,261,-,-,-,24,-,-,/profile/Sam-Hoskin-5654/,Sam-Hoskin-5654
"
						
							LeBron James
						
					",2003,1,"6'7 ¼""","6'8""","7'0 ¼""","8'10 ¼""",-,-,-,-,245,6.7,-,-,-,-,-,/profile/LeBron-James-2967/,LeBron-James-2967
"
						
							James Jones
						
					",2003,49,"6'7 ¼""","6'8 ¾""","7'2 ½""","8'11 ½""","33""","11'8 ½""","30.5""","11'6""",218,6.7,-,-,9,11.18,3.19,/profile/James-Jones-3077/,James-Jones-3077
"
						
							Ugonna Onyekwe
						
					",2003,-,"6'7 ¼""","6'8 ½""","7'3""","9'1""","36.5""","12'1 ½""","32""","11'9""",228,4.3,-,-,8,11.43,3.2,/profile/Ugonna-Onyekwe-32725/,Ugonna-Onyekwe-32725
"
						
							Mike Sweetney
						
					",2003,9,"6'7 ¼""","6'8""","7'1""","8'11 ½""","31.5""","11'7""","28""","11'3 ½""",262,14.1,-,-,3,12.9,3.28,/profile/Mike-Sweetney-4527/,Mike-Sweetney-4527
"
						
							Wayne Wallace
						
					",2003,-,"6'7 ¼""","6'8 ¾""","7'2""","9'0""","36""","12'0""","29.5""","11'5 ½""",187,4.6,-,-,6,11.85,3.24,/profile/Wayne-Wallace-5657/,Wayne-Wallace-5657
"
						
							Corsley Edwards
						
					",2002,57,"6'7 ¼""","6'8 ¾""","6'10 ¾""","8'10 ½""","33""","11'7 ½""","28.5""","11'3""",285,-,-,-,12,12.18,3.31,/profile/Corsley-Edwards-2332/,Corsley-Edwards-2332
"
						
							Richard Jefferson
						
					",2001,13,"6'7 ¼""","6'8 ½""","7'0""","8'7""","38.5""","11'9 ½""","33""","11'4""",223,-,-,-,14,11.19,3.15,/profile/Richard-Jefferson-2978/,Richard-Jefferson-2978
"
						
							Donnell Harvey
						
					",2000,22,"6'7 ¼""",-,"7'0 ½""","8'9 ½""","32.5""","11'6""","33""","11'6 ½""",220,-,-,-,15,11.23,-,/profile/Donnell-Harvey-2751/,Donnell-Harvey-2751
"
						
							DaJuan Summers
						
					",2009,35,"6'7 ¼""","6'8 ½""","7'0 ¾""","8'10 ½""","34.5""","11'9""","29.5""","11'4""",243,6.6,-,-,15,10.94,3.17,/profile/DaJuan-Summers-1198/,DaJuan-Summers-1198
"
						
							Al-Farouq Aminu
						
					",2010,8,"6'7 ¼""","6'8 ½""","7'3 ¼""","9'0 ½""","33.5""","11'10""","27""","11'3 ½""",216,8.2,"9.5""","9.5""",13,11.29,3.3,/profile/Al-Farouq-Aminu-1293/,Al-Farouq-Aminu-1293
"
						
							Lawrence Hill
						
					",2009,-,"6'7 ¼""","6'8 ¾""","7'2 ½""",-,-,-,-,-,223,-,-,-,-,-,-,/profile/Lawrence-Hill-1167/,Lawrence-Hill-1167
"
						
							Frank Hassell
						
					",2011,-,"6'7 ¼""",-,"7'3 ½""","9'0 ¼""",-,-,"25.5""","11'1 ¾""",261,-,-,-,-,12.59,3.56,/profile/Frank-Hassell-6390/,Frank-Hassell-6390
"
						
							Luke Sikma
						
					",2011,-,"6'7 ¼""",-,"6'9 ½""","8'7 ¾""",-,-,"29.5""","11'1 ¼""",227,-,-,-,-,11.61,3.38,/profile/Luke-Sikma-17878/,Luke-Sikma-17878
"
						
							Malcolm Thomas
						
					",2011,-,"6'7 ¼""",-,"7'2""","8'10""",-,-,"32.5""","11'6 ½""",218,-,-,-,-,12.41,3.3,/profile/Malcolm-Thomas-5055/,Malcolm-Thomas-5055
"
						
							Derrick Williams
						
					",2011,2,"6'7 ¼""","6'8 ¾""","7'1 ½""","9'0""","34.5""","11'10 ½""","29""","11'5""",248,10.8,"9""","9.75""",19,11.03,3.23,/profile/Derrick-Williams-5811/,Derrick-Williams-5811
"
						
							Moe Harkless
						
					",2012,15,"6'7 ¼""","6'8 ¾""","7'0""","8'6 ½""","37""","11'7 ½""","32.5""","11'3""",207,5.3,"9.25""","10.25""",5,10.87,3.25,/profile/Moe-Harkless-6526/,Moe-Harkless-6526
"
						
							Robbie Hummel
						
					",2012,58,"6'7 ¼""","6'8 ½""","6'8 ½""","8'6""","30""","11'0""","27.5""","10'9 ½""",218,9.4,"8.5""","9.5""",13,11.56,3.41,/profile/Robbie-Hummel-5143/,Robbie-Hummel-5143
"
						
							Mike Scott
						
					",2012,43,"6'7 ¼""","6'8 ¾""","6'10 ¾""","8'8""","32.5""","11'4 ½""","27""","10'11""",241,10.6,"8.5""","9""",14,11.59,3.44,/profile/Mike-Scott-6482/,Mike-Scott-6482
"
						
							Johnny O'Bryant
						
					",2014,36,"6'7 ¼""","6'8 ½""","7'2 ¼""","8'9""","35.5""","11'8 ½""","31""","11'4""",257,10.8,"9.25""","9.5""",-,11.57,3.45,/profile/Johnny-O-Bryant-6238/,Johnny-O-Bryant-6238
"
						
							Joe Boyd
						
					",2012,-,"6'7 ¼""",-,"6'9""","8'9""",-,-,-,-,221,-,-,-,-,-,-,/profile/Joe-Boyd-78112/,Joe-Boyd-78112
"
						
							Cliff Alexander
						
					",2015,-,"6'7 ¼""","6'8 ½""","7'3 ½""","9'1 ½""",-,-,-,-,239,5.8,"9.5""","10.25""",-,-,-,/profile/Cliff-Alexander-7138/,Cliff-Alexander-7138
"
						
							Alan Williams
						
					",2015,-,"6'7 ¼""","6'8 ¼""","7'1 ¾""","8'10 ½""","28.5""","11'3""","25.5""","11'0""",261,12,"8.5""","9.5""",8,12.07,3.5,/profile/Alan-Williams-42069/,Alan-Williams-42069
"
						
							Aleksa Ilic
						
					",2015,-,"6'7 ¼""","6'8 ¼""","7'0 ½""","9'0""","29""","11'5""","24.5""","11'0 ½""",178,-,-,-,-,13.03,3.4,/profile/Aleksa-Ilic-84324/,Aleksa-Ilic-84324
"
						
							Anrijs Miska
						
					",2015,-,"6'7 ¼""","6'8 ¼""","6'7""","8'7 ½""","30""","11'1 ½""","23.5""","10'7""",182,-,-,-,-,11.67,3.52,/profile/Anrijs-Miska-91117/,Anrijs-Miska-91117
"
						
							Dzanan Musa
						
					",2015,-,"6'7 ¼""","6'8 ¼""","6'8 ¼""","8'8 ½""","31.5""","11'4""","25.5""","10'10""",187,-,-,-,-,11.97,3.49,/profile/Dzanan-Musa-84736/,Dzanan-Musa-84736
"
						
							Ben Bentil
						
					",2016,51,"6'7 ¼""","6'8 ¼""","7'1 ½""","8'9""","33""","11'6""","29""","11'2""",229,9.7,"9.5""","10""",-,11.16,3.3,/profile/Ben-Bentil-72509/,Ben-Bentil-72509
"
						
							Ben Carter
						
					",2015,-,"6'7 ¼""","6'8 ½""","6'8 ¾""","8'9""","31""","11'4""","27.5""","11'0 ½""",230,9.1,"8.75""","10""",12,11.35,3.38,/profile/Ben-Carter-59337/,Ben-Carter-59337
"
						
							Lazar Nikolic
						
					",2016,-,"6'7 ¼""",-,"6'6 ¾""","8'5 ¼""",-,-,-,-,206,-,-,-,-,-,-,/profile/Lazar-Nikolic-79280/,Lazar-Nikolic-79280
"
						
							Xavier Foster
						
					",2016,-,"6'7 ¼""","6'9""","7'1""",-,-,-,-,-,189,-,-,-,-,-,-,/profile/Xavier-Foster-102156/,Xavier-Foster-102156
"
						
							Isaiah Hicks
						
					",2017,-,"6'7 ¼""","6'8 ½""","7'0 ½""","8'9""","37""","11'10""","31.5""","11'4 ½""",233,7.7,"8.75""","9.75""",-,12.31,3.36,/profile/Isaiah-Hicks-7069/,Isaiah-Hicks-7069
"
						
							Alec Peters
						
					",2017,54,"6'7 ¼""","6'8 ¾""","6'10 ¾""","8'9""",-,-,-,-,232,8.8,"8.75""","10""",-,-,-,/profile/Alec-Peters-77931/,Alec-Peters-77931
"
						
							Luka Asceric
						
					",2017,-,"6'7 ¼""","6'8""","6'7 ¼""","8'6 ¾""",-,-,-,-,180,-,-,-,-,-,-,/profile/Luka-Asceric-88396/,Luka-Asceric-88396
"
						
							Matej Rudan
						
					",2017,-,"6'7 ¼""","6'8 ½""","7'0 ¼""","8'11 ¾""",-,-,-,-,186,-,-,-,-,-,-,/profile/Matej-Rudan-100624/,Matej-Rudan-100624
"
						
							Anthony Tolliver
						
					",2007,-,"6'7""","6'8 ½""","7'2 ½""","8'11 ½""","30""","11'5 ½""","28.5""","11'4""",242,5.7,-,-,21,11.49,3.29,/profile/Anthony-Tolliver-1279/,Anthony-Tolliver-1279
"
						
							James Mays
						
					",2007,-,"6'7""","6'8 ¾""","7'1 ½""","8'8 ½""","37""","11'9 ½""","29.5""","11'2""",219,6.8,-,-,13,11.63,3.26,/profile/James-Mays-1163/,James-Mays-1163
"
						
							Ryvon Covile
						
					",2007,-,"6'7""","6'8 ½""","7'1 ¼""","8'11 ½""","30.5""","11'6""","25""","11'0 ½""",250,8,-,-,19,12.52,3.37,/profile/Ryvon-Covile-1274/,Ryvon-Covile-1274
"
						
							Rudy Gay
						
					",2006,8,"6'7""","6'8""","7'3""","8'11""","40.5""","12'3 ½""","33""","11'8""",222,5.7,-,-,9,11.03,3.32,/profile/Rudy-Gay-34/,Rudy-Gay-34
"
						
							Marcus Slaughter
						
					",2006,-,"6'7""","6'8""","6'11 ½""","8'8 ½""","34""","11'6 ½""","30""","11'2 ½""",220,8.5,-,-,9,11.56,3.4,/profile/Marcus-Slaughter-425/,Marcus-Slaughter-425
"
						
							Demarco Johnson
						
					",1998,38,"6'7""",-,-,-,-,-,-,-,244,-,-,-,-,-,-,/profile/Demarco-Johnson-2999/,Demarco-Johnson-2999
"
						
							Clayton Shields
						
					",1998,-,"6'7""",-,-,-,-,-,-,-,211,-,-,-,-,-,-,/profile/Clayton-Shields-55772/,Clayton-Shields-55772
"
						
							Tremaine Fowlkes
						
					",1998,54,"6'7""",-,-,-,-,-,-,-,208,-,-,-,-,-,-,/profile/Tremaine-Fowlkes-2460/,Tremaine-Fowlkes-2460
"
						
							Michael Maddox
						
					",1998,-,"6'7""",-,-,-,-,-,-,-,217,-,-,-,-,-,-,/profile/Michael-Maddox-50251/,Michael-Maddox-50251
"
						
							Popeye Jones
						
					",1992,41,"6'7""",-,-,-,-,-,-,-,264,-,-,-,-,-,-,/profile/Popeye-Jones-3065/,Popeye-Jones-3065
"
						
							Junior Burrough
						
					",1995,33,"6'7""",-,-,-,-,-,-,-,252,-,-,-,-,-,-,/profile/Junior-Burrough-1882/,Junior-Burrough-1882
"
						
							Calbert Cheaney
						
					",1993,6,"6'7""",-,-,-,-,-,-,-,215,-,-,-,-,-,-,/profile/Calbert-Cheaney-1982/,Calbert-Cheaney-1982
"
						
							Doug Edwards
						
					",1993,15,"6'7""",-,-,-,-,-,-,-,-,-,-,-,-,-,-,/profile/Doug-Edwards-2326/,Doug-Edwards-2326
"
						
							Glenn Robinson
						
					",1994,1,"6'7""",-,-,-,-,-,-,-,240,-,-,-,-,-,-,/profile/Glenn-Robinson-4129/,Glenn-Robinson-4129
"
						
							Billy Owens
						
					",1991,3,"6'7""",-,-,-,-,-,-,-,225,-,-,-,-,-,-,/profile/Billy-Owens-3840/,Billy-Owens-3840
"
						
							Tracy McGrady
						
					",1997,9,"6'7""",-,"7'2""",-,"40""","3'3""",-,-,205,-,-,-,-,-,-,/profile/Tracy-McGrady-3517/,Tracy-McGrady-3517
"
						
							Darnell Jackson
						
					",2008,52,"6'7""","6'7 ¾""","6'11 ¼""","8'10 ½""","31""","11'5 ½""","27""","11'1 ½""",241,12.5,-,-,11,11.75,3.26,/profile/Darnell-Jackson-5101/,Darnell-Jackson-5101
"
						
							James Gist
						
					",2008,57,"6'7""","6'8 ½""","7'4""","8'11 ½""","35""","11'10 ½""","30.5""","11'6""",220,4.8,-,-,5,11.37,3.14,/profile/James-Gist-597/,James-Gist-597
"
						
							Michael Beasley
						
					",2008,2,"6'7""","6'8 ¼""","7'0 ¼""","8'11""","35""","11'10""","30""","11'5""",239,7.7,-,-,19,11.06,3.24,/profile/Michael-Beasley-605/,Michael-Beasley-605
"
						
							Sean May
						
					",2005,13,"6'7""","6'8 ½""","7'1 ¼""","8'9""","33""","11'6""","30""","11'3""",259,-,-,-,12,11.04,3.29,/profile/Sean-May-11/,Sean-May-11
"
						
							Jawad Williams
						
					",2005,-,"6'7""","6'8""","7'1 ¼""","8'10 ½""","34""","11'8 ½""","28""","11'2 ½""",218,-,-,-,15,11.39,3.23,/profile/Jawad-Williams-20/,Jawad-Williams-20
"
						
							Marvin Williams
						
					",2005,2,"6'7""","6'8 ¼""","7'3 ½""","9'0""","35""","11'11""","29.5""","11'5 ½""",228,-,-,-,12,11.11,3.17,/profile/Marvin-Williams-59/,Marvin-Williams-59
"
						
							Trevor Ariza
						
					",2004,43,"6'7""","6'8 ¼""","7'2""","8'11 ½""","32""","11'7 ½""","29.5""","11'5""",201,-,-,-,8,11.63,3.29,/profile/Trevor-Ariza-1527/,Trevor-Ariza-1527
"
						
							Luol Deng
						
					",2004,7,"6'7""","6'8""","7'0 ½""","9'0 ½""","31.5""","11'8""","27.5""","11'4""",220,-,-,-,5,11.46,3.34,/profile/Luol-Deng-2210/,Luol-Deng-2210
"
						
							Arthur Johnson
						
					",2004,-,"6'7""","6'8 ½""","7'3""","9'1""","28.5""","11'5 ½""","26.5""","11'3 ½""",262,-,-,-,14,11.81,3.38,/profile/Arthur-Johnson-5645/,Arthur-Johnson-5645
"
						
							Josh Smith
						
					",2004,17,"6'7""","6'8 ¼""","7'0""","8'10 ½""","39.5""","12'2""","32.5""","11'7""",221,-,-,-,12,11.43,3.24,/profile/Josh-Smith-4421/,Josh-Smith-4421
"
						
							Stephane Pelle
						
					",2003,-,"6'7""","6'8 ½""","7'2""","8'11""","33""","11'8""","28.5""","11'3 ½""",246,12.4,-,-,17,11.37,3.27,/profile/Stephane-Pelle-33485/,Stephane-Pelle-33485
"
						
							Randy Holcomb
						
					",2002,56,"6'7""","6'8 ¼""","7'1""","8'9""","35.5""","11'8 ½""","29.5""","11'2 ½""",225,-,-,-,15,12.85,3.22,/profile/Randy-Holcomb-34204/,Randy-Holcomb-34204
"
						
							Aaron McGhee
						
					",2002,-,"6'7""","6'8""","6'10""","8'9 ½""","28.5""","11'2""","26""","10'11 ½""",255,-,-,-,-,12.24,-,/profile/Aaron-McGhee-34335/,Aaron-McGhee-34335
"
						
							Chris Owens
						
					",2002,47,"6'7""","6'8 ¼""","6'11 ½""","8'8""",-,-,-,-,237,-,-,-,10,-,-,/profile/Chris-Owens-3846/,Chris-Owens-3846
"
						
							Julian Sensley
						
					",2002,-,"6'7""","6'8""","6'11 ½""","8'9 ½""","31.5""","11'5""","27.5""","11'1""",228,-,-,-,8,11.85,3.32,/profile/Julian-Sensley-363/,Julian-Sensley-363
"
						
							Qyntel Woods
						
					",2002,21,"6'7""","6'8 ½""","6'10""","8'9""","34.5""","11'7 ½""","33.5""","11'6 ½""",213,-,-,-,2,11.94,3.23,/profile/Qyntel-Woods-4977/,Qyntel-Woods-4977
"
						
							Michael Wright
						
					",2001,38,"6'7""",-,"6'11 ½""","8'10 ½""","33.5""","11'8""","27.5""","11'2""",247,-,-,-,18,11.37,3.21,/profile/Michael-Wright-5303/,Michael-Wright-5303
"
						
							James Johnson
						
					",2009,16,"6'7""","6'7 ¾""","7'0 ¾""","8'9 ½""","35""","11'8 ½""","30.5""","11'4""",257,12,-,-,18,11.21,3.23,/profile/James-Johnson-5053/,James-Johnson-5053
"
						
							Dante Cunningham
						
					",2009,33,"6'7""","6'8 ¼""","6'11""","8'10 ½""","35""","11'9 ½""","28""","11'2 ½""",227,4.8,-,-,18,11.18,3.26,/profile/Dante-Cunningham-5513/,Dante-Cunningham-5513
"
						
							Anthony Johnson
						
					",2010,-,"6'7""",-,"7'1 ¼""","8'9 ½""",-,-,-,-,269,-,-,-,-,-,-,/profile/Anthony-Johnson-21720/,Anthony-Johnson-21720
