Player,Year,Draft_Pick,Ht_No_Shoes,Ht_Shoes,Wingspan,Standing_reach,Max_Vert,Max_Vert_Reach,No_Step_Vert,No_Step_Vert_Reach,Weight,Body_Fat,Hand_Length,Hang_Width,Bench,Agility,Sprint,Player_Link,DX_Player_ID
"
						
							Devon Van Oostrum
						
					",2012,-,"6'1 ½""","6'2 ½""","6'3 ½""","7'11""","34.5""","10'9 ½""","30.5""","10'5 ½""",173,-,-,-,-,11.51,3.32,/profile/Devon-Van-Oostrum-6110/,Devon-Van-Oostrum-6110
"
						
							Justin Gray
						
					",2006,-,"6'1 ½""","6'2 ½""","6'4 ¼""",-,-,-,-,-,189,-,-,-,-,-,-,/profile/Justin-Gray-7/,Justin-Gray-7
"
						
							Chris Hernandez
						
					",2006,-,"6'1 ½""","6'1 ¾""","6'1 ½""",-,-,-,-,-,187,-,-,-,-,-,-,/profile/Chris-Hernandez-395/,Chris-Hernandez-395
"
						
							Jeff Horner
						
					",2006,-,"6'1 ½""","6'2 ¾""","6'3 ¾""",-,-,-,-,-,191,-,-,-,-,-,-,/profile/Jeff-Horner-406/,Jeff-Horner-406
"
						
							Jason Richards
						
					",2008,-,"6'1 ½""","6'2 ½""","6'4 ¼""",-,-,-,-,-,210,-,-,-,-,-,-,/profile/Jason-Richards-1233/,Jason-Richards-1233
"
						
							Aaron Nixon
						
					",2007,-,"6'1 ½""","6'2 ½""","6'9 ¼""",-,-,-,-,-,220,-,-,-,-,-,-,/profile/Aaron-Nixon-26574/,Aaron-Nixon-26574
"
						
							Derek Raivio
						
					",2007,-,"6'1 ½""","6'2 ½""","6'2 ¼""",-,-,-,-,-,169,-,-,-,-,-,-,/profile/Derek-Raivio-399/,Derek-Raivio-399
"
						
							Martin Samarco
						
					",2007,-,"6'1 ½""","6'2 ½""","6'5 ¼""",-,-,-,-,-,208,-,-,-,-,-,-,/profile/Martin-Samarco-27105/,Martin-Samarco-27105
"
						
							Harry Ezenibe
						
					",2009,-,"6'1 ½""","6'2 ¾""","6'8 ¾""","8'4""","36""","11'4""","31""","10'11""",188,-,-,-,-,-,3.53,/profile/Harry-Ezenibe-52195/,Harry-Ezenibe-52195
"
						
							Chase Tapley
						
					",2013,-,"6'1 ½""",-,"6'8""",-,-,-,-,-,203,-,-,-,-,-,-,/profile/Chase-Tapley-17504/,Chase-Tapley-17504
"
						
							Mike Rosario
						
					",2013,-,"6'1 ½""",-,"6'4 ½""","8'0 ½""",-,-,-,-,184,-,-,-,-,-,-,/profile/Mike-Rosario-5151/,Mike-Rosario-5151
"
						
							Kevin Foster
						
					",2013,-,"6'1 ½""",-,"6'8 ½""","8'3 ½""",-,-,-,-,219,-,-,-,-,-,-,/profile/Kevin-Foster-6486/,Kevin-Foster-6486
"
						
							Anthony Marshall
						
					",2013,-,"6'1 ½""",-,"6'10""","8'4 ½""",-,-,-,-,199,-,-,-,-,-,-,/profile/Anthony-Marshall-18497/,Anthony-Marshall-18497
"
						
							Erick Green
						
					",2013,46,"6'1 ½""","6'3""","6'5 ¾""","8'2""",-,-,-,-,178,4.4,"8.5""","9""",5,-,-,/profile/Erick-Green-16580/,Erick-Green-16580
"
						
							Malik Newman
						
					",2012,-,"6'1 ½""","6'2 ½""","6'2""","8'2""",-,-,-,-,175,-,-,-,-,-,-,/profile/Malik-Newman-70467/,Malik-Newman-70467
"
						
							Langston Galloway
						
					",2014,-,"6'1 ½""",-,"6'8""","8'3 ½""",-,-,"31.5""","10'11""",188,-,-,-,-,11.04,3.23,/profile/Langston-Galloway-17606/,Langston-Galloway-17606
"
						
							Semaj Christon
						
					",2014,55,"6'1 ½""","6'3 ¼""","6'6 ½""","8'3""","36.5""","11'3 ½""","30.5""","10'9 ½""",186,5.3,"8.5""","8.25""",-,11.55,3.32,/profile/Semaj-Christon-7026/,Semaj-Christon-7026
"
						
							Nick Johnson
						
					",2014,42,"6'1 ½""","6'3""","6'7 ¼""","8'0 ½""","41.5""","11'6""","33.5""","10'10""",198,6.1,"8.75""","9.75""",-,10.8,3.27,/profile/Nick-Johnson-6524/,Nick-Johnson-6524
"
						
							Ian Miller
						
					",2014,-,"6'1 ½""","6'2 ½""","6'6 ¾""","8'2""","37.5""","11'3 ½""","32.5""","10'10 ½""",193,6.8,"8.25""","9""",2,12.04,3.23,/profile/Ian-Miller-6214/,Ian-Miller-6214
"
						
							Scottie Wilbekin
						
					",2014,-,"6'1 ½""","6'2 ¾""","6'3 ¼""","7'11""","38.5""","11'1 ½""","34""","10'9""",168,4.4,"8.25""","9.5""",12,10.65,3.11,/profile/Scottie-Wilbekin-19912/,Scottie-Wilbekin-19912
"
						
							Wade Baldwin
						
					",2012,17,"6'1 ½""",-,"6'10""","8'5""",-,-,-,-,177,-,-,-,-,-,-,/profile/Wade-Baldwin-82826/,Wade-Baldwin-82826
