Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Facundo Campazzo,Murcia,31,28.5,19.7,3.9,8.2,47.5%,2.6,8.4,31.0%,4.0,5.0,80.2%,0.5,3.3,3.9,8.2,2.3,0.0,3.7,4.3,/profile/Facundo-Campazzo-61836/,/stats/acb/2017/Murcia,2017,acb,Facundo-Campazzo-61836,Murcia
Felipe Reyes,Real Madrid,42,14.8,19.6,6.7,11.4,58.3%,0.1,0.9,7.1%,6.1,7.5,80.7%,5.9,7.2,13.1,2.2,1.3,0.4,2.0,4.4,/profile/Felipe-Reyes-5342/,/stats/acb/2017/Real%20Madrid,2017,acb,Felipe-Reyes-5342,Real%20Madrid
Aaron Doornekamp,Canarias,35,26.5,19.5,2.4,4.3,56.8%,3.9,9.2,42.6%,2.8,3.2,85.9%,1.6,5.0,6.7,2.3,1.2,0.3,1.5,4.5,/profile/Aaron-Doornekamp-39658/,/stats/acb/2017/Canarias,2017,acb,Aaron-Doornekamp-39658,Canarias
Pau Ribas,Barcelona,1,23.2,19.4,1.8,3.5,50.0%,3.5,10.6,33.3%,5.3,7.1,75.0%,0.0,5.3,5.3,5.3,1.8,0.0,3.5,1.8,/profile/Pau-Ribas-5025/,/stats/acb/2017/Barcelona,2017,acb,Pau-Ribas-5025,Barcelona
Shane Larkin,Vitoria,37,28.0,19.2,3.9,7.4,52.5%,2.3,7.2,31.3%,4.7,5.3,88.2%,0.7,3.6,4.2,6.7,1.9,0.3,3.6,3.1,/profile/Shane-Larkin-40769/,/stats/acb/2017/Vitoria,2017,acb,Shane-Larkin-40769,Vitoria
Billy Baron,Murcia,32,22.2,19.1,2.9,6.0,48.1%,3.4,9.6,35.9%,3.1,3.3,93.2%,0.8,2.6,3.4,2.6,1.0,0.1,2.4,3.9,/profile/Billy-Baron-16561/,/stats/acb/2017/Murcia,2017,acb,Billy-Baron-16561,Murcia
Jamar Wilson,Estudiantes,30,16.1,19.1,4.7,9.3,50.9%,1.6,5.1,31.3%,4.8,5.5,87.0%,1.2,2.2,3.4,3.5,1.4,0.1,3.0,5.0,/profile/Jamar-Wilson-1128/,/stats/acb/2017/Estudiantes,2017,acb,Jamar-Wilson-1128,Estudiantes
Micheal Eric,Bilbao,30,20.0,19.0,7.7,12.4,62.4%,0.0,0.1,0.0%,3.5,5.7,61.6%,4.8,6.4,11.2,0.6,0.7,1.5,3.6,6.3,/profile/Micheal-Eric-17038/,/stats/acb/2017/Bilbao,2017,acb,Micheal-Eric-17038,Bilbao
Bo McCalebb,Gran Canaria,35,21.2,19.0,6.6,11.9,55.4%,0.7,3.1,22.0%,3.8,5.0,76.3%,1.1,2.0,3.0,6.6,1.4,0.1,3.5,3.3,/profile/Bo-McCalebb-525/,/stats/acb/2017/Gran%20Canaria,2017,acb,Bo-McCalebb-525,Gran%20Canaria
Tyrese Rice,Barcelona,34,25.4,19.0,4.1,7.8,52.4%,2.2,7.9,28.3%,4.2,5.2,80.7%,0.3,1.9,2.3,5.3,1.1,0.0,4.0,3.8,/profile/Tyrese-Rice-1082/,/stats/acb/2017/Barcelona,2017,acb,Tyrese-Rice-1082,Barcelona
