Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Thomas Prost,Bourg,6,4.5,7.9,1.2,10.4,-0.04,1.9,76.2,2.5%,0.88,0.79,0.00,0.18,0.35,/profile/Thomas-Prost-68205/,/stats/french/2015/Bourg,2015,french,Thomas-Prost-68205,Bourg
Olivier Yao-Delon,Dijon,8,4.4,6.9,1.3,11.4,-0.07,0.5,71.9,0.7%,0.75,1.00,0.00,0.25,0.25,/profile/Olivier-Yao-Delon-61915/,/stats/french/2015/Dijon,2015,french,Olivier-Yao-Delon-61915,Dijon
Corentin Carne,Pau-Orthez,5,4.0,-2.0,0.0,0.0,-0.13,0.6,75.0,0.8%,0.67,1.00,0.00,0.33,0.67,/profile/Corentin-Carne-76958/,/stats/french/2015/Pau-Orthez,2015,french,Corentin-Carne-76958,Pau-Orthez
Charles Galliou,Villeurbanne,6,4.0,17.6,1.8,18.3,0.08,0.8,70.4,1.1%,1.75,0.87,0.44,0.22,0.00,/profile/Charles-Galliou-76999/,/stats/french/2015/Villeurbanne,2015,french,Charles-Galliou-76999,Villeurbanne
Alpha Kaba,Pau-Orthez,8,3.9,14.4,2.0,20.6,0.05,0.8,75.0,1.1%,0.92,0.61,0.61,0.00,0.31,/profile/Alpha-Kaba-76960/,/stats/french/2015/Pau-Orthez,2015,french,Alpha-Kaba-76960,Pau-Orthez
Romuald Morency,Cholet,4,3.8,1.0,0.3,2.7,-0.07,1.3,75.2,1.7%,0.40,1.00,0.00,0.40,0.00,/profile/Romuald-Morency-73161/,/stats/french/2015/Cholet,2015,french,Romuald-Morency-73161,Cholet
Victor Mopsus,Chalon,3,3.7,-20.8,-1.3,-14.5,-0.17,1.0,72.6,1.4%,0.00,0.33,0.00,0.00,1.00,/profile/Victor-Mopsus-85264/,/stats/french/2015/Chalon,2015,french,Victor-Mopsus-85264,Chalon
Lucas Dussoulier,Pau-Orthez,5,3.2,1.2,0.4,5.0,-0.08,0.1,75.0,0.2%,0.00,1.50,0.00,0.00,0.00,/profile/Lucas-Dussoulier-62933/,/stats/french/2015/Pau-Orthez,2015,french,Lucas-Dussoulier-62933,Pau-Orthez
Xavier Francois,Strasbourg,1,3.0,8.1,1.0,13.3,-0.00,0.0,71.0,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Xavier-Francois-46787/,/stats/french/2015/Strasbourg,2015,french,Xavier-Francois-46787,Strasbourg
Cedric Bah,Strasbourg,1,3.0,-33.4,-1.0,-13.3,-0.07,1.0,71.0,1.4%,0.00,0.00,0.00,0.00,1.00,/profile/Cedric-Bah-72905/,/stats/french/2015/Strasbourg,2015,french,Cedric-Bah-72905,Strasbourg
Eliot Maraux,Dijon,1,3.0,-18.6,-1.0,-13.3,-0.04,0.0,71.9,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Eliot-Maraux-62968/,/stats/french/2015/Dijon,2015,french,Eliot-Maraux-62968,Dijon
Kadri Moendadze,Cholet,4,2.8,14.3,1.0,14.5,0.02,1.0,75.2,1.3%,1.75,1.25,0.25,0.25,0.25,/profile/Kadri-Moendadze-62390/,/stats/french/2015/Cholet,2015,french,Kadri-Moendadze-62390,Cholet
Paul-Lou Duwiquet,Gravelines,3,2.7,-15.2,-0.7,-10.0,-0.10,0.0,74.0,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Paul-Lou-Duwiquet-61912/,/stats/french/2015/Gravelines,2015,french,Paul-Lou-Duwiquet-61912,Gravelines
Alexis Thomas,Nancy,5,2.4,10.7,0.8,13.3,-0.00,0.6,74.1,0.8%,1.33,1.00,0.00,0.00,0.00,/profile/Alexis-Thomas-77033/,/stats/french/2015/Nancy,2015,french,Alexis-Thomas-77033,Nancy
Drissa Ballo,Dijon,5,2.2,3.0,0.4,7.3,-0.04,0.1,71.9,0.1%,0.00,3.00,0.00,0.00,0.00,/profile/Drissa-Ballo-7275/,/stats/french/2015/Dijon,2015,french,Drissa-Ballo-7275,Dijon
Jean Biog,Villeurbanne,1,2.0,-35.7,-2.0,-40.0,-0.05,0.0,70.4,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Jean-Biog-61919/,/stats/french/2015/Villeurbanne,2015,french,Jean-Biog-61919,Villeurbanne
Gaylor Lobela,Boulogne,4,2.0,9.3,0.5,10.0,-0.01,0.2,75.8,0.3%,1.06,0.00,2.13,0.00,0.00,/profile/Gaylor-Lobela-76993/,/stats/french/2015/Boulogne,2015,french,Gaylor-Lobela-76993,Boulogne
Valentin Estienne,Limoges,6,1.8,-24.4,-0.5,-10.9,-0.19,1.0,74.2,1.3%,0.00,0.67,0.00,0.00,0.33,/profile/Valentin-Estienne-66374/,/stats/french/2015/Limoges,2015,french,Valentin-Estienne-66374,Limoges
Mathieu Bigote,Rouen,3,1.7,-32.9,-1.3,-32.0,-0.11,0.0,72.7,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Mathieu-Bigote-68184/,/stats/french/2015/Rouen,2015,french,Mathieu-Bigote-68184,Rouen
Antoine Chevrier,Cholet,2,1.5,-30.7,-1.0,-26.7,-0.06,0.0,75.2,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Antoine-Chevrier-61913/,/stats/french/2015/Cholet,2015,french,Antoine-Chevrier-61913,Cholet
William Mensah,Nanterre,10,1.4,-15.3,-0.3,-8.6,-0.18,1.3,75.0,1.7%,0.31,0.54,0.31,0.08,0.31,/profile/William-Mensah-77018/,/stats/french/2015/Nanterre,2015,french,William-Mensah-77018,Nanterre
Gauthier Denis,Le Havre,3,1.3,-34.5,-1.0,-30.0,-0.09,0.0,71.9,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Gauthier-Denis-73325/,/stats/french/2015/Le%20Havre,2015,french,Gauthier-Denis-73325,Le%20Havre
Fabien Paschal,Gravelines,1,1.0,0.0,0.0,0.0,-0.01,0.0,74.0,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Fabien-Paschal-39813/,/stats/french/2015/Gravelines,2015,french,Fabien-Paschal-39813,Gravelines
Seraphin Saumont,Gravelines,3,1.0,-4.2,0.0,0.0,-0.02,0.6,74.0,0.9%,0.52,0.00,1.03,0.00,0.52,/profile/Seraphin-Saumont-73163/,/stats/french/2015/Gravelines,2015,french,Seraphin-Saumont-73163,Gravelines
Jean-Philippe Dally,Le Mans,1,1.0,-13.9,0.0,0.0,-0.01,0.0,69.7,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Jean-Philippe-Dally-77036/,/stats/french/2015/Le%20Mans,2015,french,Jean-Philippe-Dally-77036,Le%20Mans
Florian Ouedraogo,Chalon,1,1.0,-41.4,-1.0,-40.0,-0.03,0.0,72.6,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Florian-Ouedraogo-77027/,/stats/french/2015/Chalon,2015,french,Florian-Ouedraogo-77027,Chalon
Etienne Ory,Paris-Levallois,1,1.0,-40.9,-1.0,-40.0,-0.03,0.0,73.4,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Etienne-Ory-62931/,/stats/french/2015/Paris-Levallois,2015,french,Etienne-Ory-62931,Paris-Levallois
Guillaume Plas,Le Havre,1,1.0,0.0,0.0,0.0,-0.01,0.0,71.9,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Guillaume-Plas-77005/,/stats/french/2015/Le%20Havre,2015,french,Guillaume-Plas-77005,Le%20Havre
Bali Coulibaly,Bourg,2,1.0,-34.3,-0.5,-20.0,-0.04,0.5,76.2,0.7%,0.00,0.00,0.00,0.00,1.00,/profile/Bali-Coulibaly-85251/,/stats/french/2015/Bourg,2015,french,Bali-Coulibaly-85251,Bourg
Silvio Mateus,Chalons-en-Champagne,1,1.0,-39.8,-1.0,-40.0,-0.03,0.0,75.6,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Silvio-Mateus-78350/,/stats/french/2015/Chalons-en-Champagne,2015,french,Silvio-Mateus-78350,Chalons-en-Champagne
Charly Maraux,Gravelines,1,1.0,-13.1,0.0,0.0,-0.01,0.0,74.0,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Charly-Maraux-5869/,/stats/french/2015/Gravelines,2015,french,Charly-Maraux-5869,Gravelines
Antoine Wallez,Le Mans,1,1.0,0.0,0.0,0.0,-0.01,0.0,69.7,0.0%,0.00,0.00,0.00,0.00,0.00,/profile/Antoine-Wallez-62936/,/stats/french/2015/Le%20Mans,2015,french,Antoine-Wallez-62936,Le%20Mans
Khadim Fall,Bourg,1,1.0,-68.6,-1.0,-40.0,-0.04,1.0,76.2,1.3%,0.00,0.00,0.00,0.00,1.00,/profile/Khadim-Fall-72861/,/stats/french/2015/Bourg,2015,french,Khadim-Fall-72861,Bourg
Teddy Gipson,Le Havre,11,36.0,11.1,11.1,12.3,0.06,10.9,71.9,15.2%,1.00,0.82,0.12,0.31,0.20,/profile/Teddy-Gipson-35236/,/stats/french/2016/Le%20Havre,2016,french,Teddy-Gipson-35236,Le%20Havre
Michael Thompson,Pau-Orthez,36,35.1,20.5,17.3,19.7,6.12,15.8,70.5,22.4%,1.14,0.76,0.31,0.32,0.13,/profile/Michael-Thompson-18120/,/stats/french/2016/Pau-Orthez,2016,french,Michael-Thompson-18120,Pau-Orthez
Chris Jones,Paris-Levallois,30,33.7,13.4,12.1,14.4,1.31,13.0,70.0,18.6%,0.92,0.89,0.24,0.37,0.16,/profile/Chris-Jones-53377/,/stats/french/2016/Paris-Levallois,2016,french,Chris-Jones-53377,Paris-Levallois
Tywain McKee,Le Mans,40,33.4,16.3,13.6,16.2,3.64,14.6,68.8,21.2%,0.98,0.87,0.29,0.32,0.16,/profile/Tywain-McKee-23927/,/stats/french/2016/Le%20Mans,2016,french,Tywain-McKee-23927,Le%20Mans
Andy Panko,Nancy,32,33.0,17.6,16.1,19.5,3.58,14.2,71.4,19.9%,1.13,0.86,0.24,0.19,0.15,/profile/Andy-Panko-3863/,/stats/french/2016/Nancy,2016,french,Andy-Panko-3863,Nancy
Ron Lewis,Rouen,34,32.9,16.5,13.1,16.0,3.14,14.1,70.5,20.0%,1.10,0.82,0.36,0.21,0.13,/profile/Ron-Lewis-1135/,/stats/french/2016/Rouen,2016,french,Ron-Lewis-1135,Rouen
Jahmar Young,Paris-Levallois,10,32.9,15.0,12.6,15.3,0.68,12.1,70.0,17.2%,1.12,0.85,0.25,0.24,0.13,/profile/Jahmar-Young-21647/,/stats/french/2016/Paris-Levallois,2016,french,Jahmar-Young-21647,Paris-Levallois
Steed Tchicamboud,Nancy,19,32.9,14.3,12.4,15.0,1.08,15.3,71.4,21.3%,0.98,0.77,0.25,0.31,0.20,/profile/Steed-Tchicamboud-38960/,/stats/french/2016/Nancy,2016,french,Steed-Tchicamboud-38960,Nancy
Steven Smith,Pau-Orthez,36,32.8,14.6,13.3,16.2,2.23,12.9,70.5,18.3%,1.07,0.86,0.18,0.12,0.13,/profile/Steven-Smith-387/,/stats/french/2016/Pau-Orthez,2016,french,Steven-Smith-387,Pau-Orthez
A.D. Vassallo,Le Havre,20,32.8,15.2,13.8,16.8,1.44,16.8,71.9,23.3%,1.02,0.80,0.18,0.15,0.19,/profile/A.D.-Vassallo-1083/,/stats/french/2016/Le%20Havre,2016,french,A.D.-Vassallo-1083,Le%20Havre
Florent Pietrus,Nancy,23,32.7,14.6,14.6,17.9,1.42,6.8,71.4,9.6%,1.18,0.71,0.45,0.25,0.24,/profile/Florent-Pietrus-5394/,/stats/french/2016/Nancy,2016,french,Florent-Pietrus-5394,Nancy
Lance Harris,Pau-Orthez,36,32.4,16.2,13.1,16.2,3.12,13.9,70.5,19.6%,1.13,0.89,0.17,0.12,0.12,/profile/Lance-Harris-5581/,/stats/french/2016/Pau-Orthez,2016,french,Lance-Harris-5581,Pau-Orthez
Souleyman Diabate,Rouen,26,32.3,15.9,14.3,17.7,2.13,11.6,70.5,16.5%,0.90,0.76,0.25,0.56,0.19,/profile/Souleyman-Diabate-38578/,/stats/french/2016/Rouen,2016,french,Souleyman-Diabate-38578,Rouen
Jason Rich,Paris-Levallois,23,32.2,14.1,12.3,15.3,1.20,15.0,70.0,21.5%,0.92,0.81,0.16,0.31,0.20,/profile/Jason-Rich-5461/,/stats/french/2016/Paris-Levallois,2016,french,Jason-Rich-5461,Paris-Levallois
Andrew Albicy,Gravelines,35,31.9,18.1,14.2,17.7,4.04,10.7,69.4,15.5%,1.03,0.78,0.26,0.55,0.18,/profile/Andrew-Albicy-5939/,/stats/french/2016/Gravelines,2016,french,Andrew-Albicy-5939,Gravelines
Derwin Kitchen,Nancy,7,31.7,16.3,16.1,20.4,0.60,11.5,71.4,16.1%,0.87,0.73,0.15,0.53,0.31,/profile/Derwin-Kitchen-19921/,/stats/french/2016/Nancy,2016,french,Derwin-Kitchen-19921,Nancy
Jamal Shuler,Monaco,40,31.7,17.3,13.8,17.4,4.08,14.8,69.7,21.2%,1.08,0.84,0.30,0.19,0.12,/profile/Jamal-Shuler-24334/,/stats/french/2016/Monaco,2016,french,Jamal-Shuler-24334,Monaco
Drew Gordon,Chalons-en-Champagne,30,31.4,21.4,19.5,24.8,4.97,12.2,71.8,17.0%,1.15,0.83,0.27,0.12,0.16,/profile/Drew-Gordon-5158/,/stats/french/2016/Chalons-en-Champagne,2016,french,Drew-Gordon-5158,Chalons-en-Champagne
Marcellus Sommerville,Orleans,34,31.0,15.8,12.9,16.6,2.61,15.0,67.6,22.2%,1.01,0.86,0.21,0.12,0.16,/profile/Marcellus-Sommerville-347/,/stats/french/2016/Orleans,2016,french,Marcellus-Sommerville-347,Orleans
T.J. Campbell,Nanterre,36,30.7,12.4,10.0,13.0,0.89,9.5,69.6,13.6%,1.03,0.87,0.13,0.47,0.17,/profile/T.J.-Campbell-21463/,/stats/french/2016/Nanterre,2016,french,T.J.-Campbell-21463,Nanterre
DaShaun Wood,Cholet,18,30.4,14.1,11.2,14.7,0.89,13.4,71.6,18.7%,0.94,0.82,0.19,0.36,0.15,/profile/DaShaun-Wood-1270/,/stats/french/2016/Cholet,2016,french,DaShaun-Wood-1270,Cholet
Mykal Riley,Nanterre,36,30.3,18.6,15.4,20.3,4.19,12.6,69.6,18.1%,1.07,0.79,0.18,0.20,0.21,/profile/Mykal-Riley-5103/,/stats/french/2016/Nanterre,2016,french,Mykal-Riley-5103,Nanterre
