Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
DeJuan Collins,Zalgiris,2,36.3,8.5,7.0,0.64,0.50,0.43,0.50,0.14,4.00,0.57,0.89,-5.04,1.5,0.0,2.5,/profile/DeJuan-Collins-5203/,/stats/euroleague/2007/Zalgiris,2007,euroleague,DeJuan-Collins-5203,Zalgiris
Devin Green,Koln,5,35.5,12.4,11.8,0.73,0.45,0.41,0.39,0.22,2.40,0.20,0.80,-3.88,2.8,0.6,3.4,/profile/Devin-Green-303/,/stats/euroleague/2007/Koln,2007,euroleague,Devin-Green-303,Koln
Davor Kus,Cibona Zagreb,14,34.5,13.6,8.1,0.97,0.64,0.51,0.73,0.50,3.14,0.39,1.05,-2.60,1.1,0.2,2.4,/profile/Davor-Kus-5392/,/stats/euroleague/2007/Cibona%20Zagreb,2007,euroleague,Davor-Kus-5392,Cibona%20Zagreb
Marko Popovic,Zalgiris,7,34.4,15.1,11.6,0.96,0.55,0.47,0.41,0.54,4.86,0.42,2.62,4.00,1.4,0.0,1.6,/profile/Marko-Popovic-5353/,/stats/euroleague/2007/Zalgiris,2007,euroleague,Marko-Popovic-5353,Zalgiris
Drew Nicholas,Anadolu Efes,20,34.3,14.0,10.6,0.98,0.58,0.55,0.29,0.61,3.80,0.36,1.81,1.30,0.8,0.2,1.8,/profile/Drew-Nicholas-5217/,/stats/euroleague/2007/Anadolu%20Efes,2007,euroleague,Drew-Nicholas-5217,Anadolu%20Efes
Vonteego Cummings,Partizan,20,34.1,13.0,9.8,0.89,0.56,0.48,0.41,0.40,3.35,0.34,1.20,-1.62,1.7,0.2,3.2,/profile/Vonteego-Cummings-2109/,/stats/euroleague/2007/Partizan,2007,euroleague,Vonteego-Cummings-2109,Partizan
Scoonie Penn,Olympiakos,22,33.4,11.9,9.2,0.84,0.53,0.44,0.50,0.34,3.41,0.37,1.32,-0.90,1.4,0.0,2.4,/profile/Scoonie-Penn-5329/,/stats/euroleague/2007/Olympiakos,2007,euroleague,Scoonie-Penn-5329,Olympiakos
Nikolaos Zisis,Treviso,20,33.1,11.0,8.6,0.90,0.55,0.49,0.37,0.32,4.30,0.50,2.15,2.69,1.2,0.1,2.6,/profile/Nikolaos-Zisis-117/,/stats/euroleague/2007/Treviso,2007,euroleague,Nikolaos-Zisis-117,Treviso
Kenny Gregory,Le Mans,14,33.0,14.9,11.9,0.97,0.58,0.58,0.16,0.15,2.21,0.19,0.89,-3.20,0.4,0.3,2.4,/profile/Kenny-Gregory-5355/,/stats/euroleague/2007/Le%20Mans,2007,euroleague,Kenny-Gregory-5355,Le%20Mans
Alex Acker,Olympiakos,22,32.6,14.3,11.0,0.90,0.56,0.49,0.38,0.18,2.41,0.22,0.82,-3.91,1.8,0.4,2.6,/profile/Alex-Acker-339/,/stats/euroleague/2007/Olympiakos,2007,euroleague,Alex-Acker-339,Olympiakos
Ibrahim Kutluay,Fenerbahce,14,32.4,11.6,9.3,0.96,0.55,0.50,0.30,0.67,1.43,0.15,1.05,-1.27,0.9,0.1,1.8,/profile/Ibrahim-Kutluay-3234/,/stats/euroleague/2007/Fenerbahce,2007,euroleague,Ibrahim-Kutluay-3234,Fenerbahce
Will Solomon,Fenerbahce,11,32.1,13.6,11.6,0.83,0.55,0.52,0.14,0.52,3.82,0.33,0.98,-4.32,1.9,0.3,3.1,/profile/Will-Solomon-5225/,/stats/euroleague/2007/Fenerbahce,2007,euroleague,Will-Solomon-5225,Fenerbahce
David Bluthenthal,Fortitudo Bologna,14,31.7,16.0,12.2,1.10,0.61,0.58,0.17,0.35,1.21,0.10,0.94,-1.44,0.6,0.1,2.7,/profile/David-Bluthenthal-5412/,/stats/euroleague/2007/Fortitudo%20Bologna,2007,euroleague,David-Bluthenthal-5412,Fortitudo%20Bologna
Predrag Drobnjak,Partizan,20,31.6,15.7,12.3,0.92,0.55,0.48,0.37,0.31,1.70,0.14,0.65,-4.55,1.6,0.9,2.4,/profile/Predrag-Drobnjak-2276/,/stats/euroleague/2007/Partizan,2007,euroleague,Predrag-Drobnjak-2276,Partizan
Eric Campbell,Le Mans,14,31.5,13.6,8.6,1.16,0.68,0.67,0.37,0.20,1.50,0.17,1.00,-1.64,1.3,0.7,2.3,/profile/Eric-Campbell-5571/,/stats/euroleague/2007/Le%20Mans,2007,euroleague,Eric-Campbell-5571,Le%20Mans
David Hawkins,Roma,17,31.5,13.6,12.5,0.81,0.47,0.40,0.35,0.44,1.59,0.13,0.75,-3.38,2.4,0.2,3.0,/profile/David-Hawkins-5356/,/stats/euroleague/2007/Roma,2007,euroleague,David-Hawkins-5356,Roma
Domen Lorbek,Olimpija Ljubljana,14,31.4,9.0,8.5,0.84,0.48,0.44,0.23,0.48,1.36,0.16,1.12,-0.98,1.3,0.1,2.4,/profile/Domen-Lorbek-193/,/stats/euroleague/2007/Olimpija%20Ljubljana,2007,euroleague,Domen-Lorbek-193,Olimpija%20Ljubljana
Teemu Rannikko,Olimpija Ljubljana,13,31.4,14.6,9.5,1.00,0.61,0.52,0.60,0.70,3.31,0.35,1.48,-0.08,1.1,0.0,2.5,/profile/Teemu-Rannikko-5432/,/stats/euroleague/2007/Olimpija%20Ljubljana,2007,euroleague,Teemu-Rannikko-5432,Olimpija%20Ljubljana
Nikola Vujcic,Maccabi Tel Aviv,22,31.0,14.9,10.0,1.02,0.62,0.57,0.46,0.14,3.86,0.39,1.63,0.67,1.1,0.8,2.6,/profile/Nikola-Vujcic-5230/,/stats/euroleague/2007/Maccabi%20Tel%20Aviv,2007,euroleague,Nikola-Vujcic-5230,Maccabi%20Tel%20Aviv
Tanoka Beard,Zalgiris,14,31.0,14.5,10.6,0.97,0.59,0.56,0.39,0.09,1.64,0.16,0.72,-3.83,0.9,0.6,3.2,/profile/Tanoka-Beard-5638/,/stats/euroleague/2007/Zalgiris,2007,euroleague,Tanoka-Beard-5638,Zalgiris
Chris Warren (Bilbao),Cibona Zagreb,14,31.0,13.7,10.3,0.95,0.57,0.53,0.37,0.40,1.29,0.13,0.56,-4.58,1.2,0.1,2.8,/profile/Chris-Warren-%28Bilbao%29-5346/,/stats/euroleague/2007/Cibona%20Zagreb,2007,euroleague,Chris-Warren-%28Bilbao%29-5346,Cibona%20Zagreb
Aaron Miles,Pau-Orthez,20,30.8,10.2,8.6,0.86,0.53,0.51,0.26,0.24,3.70,0.43,1.76,1.19,1.5,0.2,2.3,/profile/Aaron-Miles-73/,/stats/euroleague/2007/Pau-Orthez,2007,euroleague,Aaron-Miles-73,Pau-Orthez
Immanuel McElroy,Koln,13,30.8,10.1,7.5,0.98,0.60,0.60,0.24,0.04,2.85,0.38,1.54,0.16,1.0,0.0,2.9,/profile/Immanuel-Mcelroy-5388/,/stats/euroleague/2007/Koln,2007,euroleague,Immanuel-Mcelroy-5388,Koln
Ansu Sesay,Napoli,12,30.7,10.0,9.4,0.83,0.48,0.45,0.25,0.46,0.75,0.08,0.50,-3.29,1.1,0.9,3.6,/profile/Ansu-Sesay-4296/,/stats/euroleague/2007/Napoli,2007,euroleague,Ansu-Sesay-4296,Napoli
Manuchar Markoishvili,Olimpija Ljubljana,14,30.6,10.6,9.4,0.89,0.51,0.49,0.22,0.41,1.43,0.15,1.00,-1.54,1.4,0.0,3.8,/profile/Manuchar-Markoishvili-203/,/stats/euroleague/2007/Olimpija%20Ljubljana,2007,euroleague,Manuchar-Markoishvili-203,Olimpija%20Ljubljana
Antonis Fotsis,Dynamo Moscow,22,30.5,13.8,9.2,1.04,0.63,0.57,0.42,0.39,0.68,0.07,0.33,-5.19,1.0,0.6,1.5,/profile/Antonis-Fotsis-2456/,/stats/euroleague/2007/Dynamo%20Moscow,2007,euroleague,Antonis-Fotsis-2456,Dynamo%20Moscow
Vlado Ilievski,Roma,6,30.5,10.3,8.7,0.86,0.55,0.53,0.19,0.40,1.83,0.21,0.73,-4.22,2.2,0.0,2.2,/profile/Vlado-Ilievski-5536/,/stats/euroleague/2007/Roma,2007,euroleague,Vlado-Ilievski-5536,Roma
Marcus Goree,Treviso,18,30.4,12.7,9.3,1.05,0.60,0.58,0.29,0.29,1.39,0.15,1.00,-1.57,1.3,0.8,2.3,/profile/Marcus-Goree-5417/,/stats/euroleague/2007/Treviso,2007,euroleague,Marcus-Goree-5417,Treviso
Tyus Edney,Fortitudo Bologna,12,30.1,12.7,9.9,0.92,0.55,0.49,0.36,0.16,4.08,0.41,1.96,2.03,1.0,0.0,2.0,/profile/Tyus-Edney-2323/,/stats/euroleague/2007/Fortitudo%20Bologna,2007,euroleague,Tyus-Edney-2323,Fortitudo%20Bologna
Jeremiah Massey,Aris,20,30.1,12.4,9.3,0.97,0.55,0.48,0.48,0.08,1.35,0.15,1.04,-1.34,1.9,0.8,2.2,/profile/Jeremiah-Massey-5224/,/stats/euroleague/2007/Aris,2007,euroleague,Jeremiah-Massey-5224,Aris
J.R. Holden,CSKA Moscow,25,29.9,10.0,8.7,0.94,0.54,0.53,0.15,0.52,2.28,0.26,1.73,0.70,1.2,0.0,1.5,/profile/J.R.-Holden-5269/,/stats/euroleague/2007/CSKA%20Moscow,2007,euroleague,J.R.-Holden-5269,CSKA%20Moscow
Brent Wright,Cibona Zagreb,14,29.9,12.3,7.4,0.90,0.61,0.52,0.82,0.06,1.21,0.16,0.39,-7.75,1.4,0.5,3.9,/profile/Brent-Wright-5433/,/stats/euroleague/2007/Cibona%20Zagreb,2007,euroleague,Brent-Wright-5433,Cibona%20Zagreb
Jonas Maciulis,Zalgiris,14,29.9,12.7,10.9,0.85,0.51,0.48,0.32,0.38,1.57,0.14,0.71,-3.89,2.4,0.4,3.6,/profile/Jonas-Maciulis-1151/,/stats/euroleague/2007/Zalgiris,2007,euroleague,Jonas-Maciulis-1151,Zalgiris
Travis Hansen,Dynamo Moscow,14,29.8,14.4,11.1,0.94,0.56,0.52,0.37,0.39,1.71,0.15,0.80,-3.34,1.4,0.1,1.9,/profile/Travis-Hansen-2715/,/stats/euroleague/2007/Dynamo%20Moscow,2007,euroleague,Travis-Hansen-2715,Dynamo%20Moscow
Terrel Castle,Aris,18,29.6,9.1,6.8,0.79,0.54,0.46,0.53,0.41,2.17,0.32,0.76,-4.71,1.6,0.1,2.3,/profile/Terrel-Castle-37089/,/stats/euroleague/2007/Aris,2007,euroleague,Terrel-Castle-37089,Aris
Trajan Langdon,CSKA Moscow,25,29.6,13.5,9.7,1.16,0.64,0.60,0.22,0.57,1.04,0.11,1.18,-0.66,1.6,0.2,2.0,/profile/Trajan-Langdon-3256/,/stats/euroleague/2007/CSKA%20Moscow,2007,euroleague,Trajan-Langdon-3256,CSKA%20Moscow
Lazaros Papadopoulos,Dynamo Moscow,17,29.5,14.8,10.4,0.93,0.57,0.53,0.54,0.00,1.76,0.17,0.65,-5.15,1.3,0.9,2.1,/profile/Lazaros-Papadopoulos-5265/,/stats/euroleague/2007/Dynamo%20Moscow,2007,euroleague,Lazaros-Papadopoulos-5265,Dynamo%20Moscow
Dimitris Diamantidis,Panathinaikos,24,29.1,8.9,5.9,0.95,0.64,0.59,0.42,0.45,3.92,0.67,1.74,1.25,2.2,0.6,2.6,/profile/Dimitris-Diamantidis-5113/,/stats/euroleague/2007/Panathinaikos,2007,euroleague,Dimitris-Diamantidis-5113,Panathinaikos
Dejan Bodiroga,Roma,19,29.1,13.6,10.3,0.99,0.58,0.54,0.34,0.21,2.47,0.24,1.47,-0.12,1.4,0.1,2.6,/profile/Dejan-Bodiroga-5418/,/stats/euroleague/2007/Roma,2007,euroleague,Dejan-Bodiroga-5418,Roma
Demond Mallet,Koln,13,29.0,12.8,11.0,0.91,0.55,0.52,0.15,0.62,2.31,0.21,1.00,-2.61,0.8,0.1,3.0,/profile/Demond-Mallet-5387/,/stats/euroleague/2007/Koln,2007,euroleague,Demond-Mallet-5387,Koln
Mire Chatman,Roma,15,28.8,10.9,9.2,0.81,0.49,0.44,0.46,0.40,2.60,0.28,1.18,-1.63,2.5,0.1,2.0,/profile/Mire-Chatman-5395/,/stats/euroleague/2007/Roma,2007,euroleague,Mire-Chatman-5395,Roma
Alex Scales,Aris,19,28.6,15.1,12.2,0.95,0.55,0.52,0.30,0.50,1.32,0.11,0.68,-3.77,1.7,0.1,2.2,/profile/Alex-Scales-5424/,/stats/euroleague/2007/Aris,2007,euroleague,Alex-Scales-5424,Aris
Juan Carlos Navarro,Barcelona,22,28.6,16.8,11.7,1.08,0.63,0.59,0.29,0.48,2.95,0.25,1.41,-0.45,0.9,0.0,1.7,/profile/Juan-Carlos-Navarro-5183/,/stats/euroleague/2007/Barcelona,2007,euroleague,Juan-Carlos-Navarro-5183,Barcelona
Andrew Wisniewski,Cibona Zagreb,7,28.5,11.9,7.0,1.19,0.73,0.72,0.35,0.37,1.71,0.24,1.00,-1.99,2.3,0.0,2.6,/profile/Andrew-Wisniewski-5422/,/stats/euroleague/2007/Cibona%20Zagreb,2007,euroleague,Andrew-Wisniewski-5422,Cibona%20Zagreb
Berni Rodriguez,Malaga,24,28.3,10.8,7.6,0.93,0.60,0.54,0.41,0.42,2.67,0.35,1.12,-2.15,0.7,0.1,2.7,/profile/Berni-Rodriguez-35766/,/stats/euroleague/2007/Malaga,2007,euroleague,Berni-Rodriguez-35766,Malaga
Stefano Mancinelli,Fortitudo Bologna,13,28.3,10.2,7.8,1.00,0.59,0.59,0.23,0.34,1.38,0.18,0.95,-1.82,2.6,0.2,2.9,/profile/Stefano-Mancinelli-116/,/stats/euroleague/2007/Fortitudo%20Bologna,2007,euroleague,Stefano-Mancinelli-116,Fortitudo%20Bologna
Michel Morandais,Napoli,12,28.2,11.5,10.3,0.80,0.49,0.44,0.33,0.39,1.17,0.11,0.47,-6.15,1.3,0.5,2.8,/profile/Michel-Morandais-5550/,/stats/euroleague/2007/Napoli,2007,euroleague,Michel-Morandais-5550,Napoli
Preston Shumpert,Treviso,6,28.2,12.0,8.3,1.08,0.62,0.61,0.38,0.42,1.00,0.12,0.86,-1.83,1.7,0.0,2.3,/profile/Preston-Shumpert-5369/,/stats/euroleague/2007/Treviso,2007,euroleague,Preston-Shumpert-5369,Treviso
Michael Wright,Pau-Orthez,20,28.2,15.1,9.1,1.12,0.64,0.58,0.68,0.00,0.25,0.03,0.19,-4.04,0.4,0.6,2.6,/profile/Michael-Wright-5303/,/stats/euroleague/2007/Pau-Orthez,2007,euroleague,Michael-Wright-5303,Pau-Orthez
Ronnie Burrell,Koln,10,28.0,13.1,8.6,0.98,0.60,0.51,0.60,0.03,1.80,0.21,0.82,-3.51,0.7,0.4,1.9,/profile/Ronnie-Burrell-5420/,/stats/euroleague/2007/Koln,2007,euroleague,Ronnie-Burrell-5420,Koln
Tierre Brown,Napoli,6,28.0,14.3,13.7,0.78,0.46,0.39,0.33,0.24,2.83,0.21,1.13,-2.20,2.0,0.2,2.0,/profile/Tierre-Brown-1841/,/stats/euroleague/2007/Napoli,2007,euroleague,Tierre-Brown-1841,Napoli
Goran Jurak,Olimpija Ljubljana,2,27.9,10.5,6.5,1.00,0.60,0.58,0.77,0.23,2.00,0.31,1.33,-0.59,2.0,0.0,4.5,/profile/Goran-Jurak-35959/,/stats/euroleague/2007/Olimpija%20Ljubljana,2007,euroleague,Goran-Jurak-35959,Olimpija%20Ljubljana
Marcus Haislip,Anadolu Efes,20,27.8,14.1,10.1,1.07,0.61,0.57,0.34,0.42,0.35,0.03,0.25,-4.33,0.7,1.8,2.3,/profile/Marcus-Haislip-2681/,/stats/euroleague/2007/Anadolu%20Efes,2007,euroleague,Marcus-Haislip-2681,Anadolu%20Efes
Marco Belinelli,Fortitudo Bologna,13,27.7,12.8,11.4,0.87,0.50,0.46,0.28,0.51,1.31,0.11,0.71,-3.36,0.8,0.0,2.5,/profile/Marco-Belinelli-198/,/stats/euroleague/2007/Fortitudo%20Bologna,2007,euroleague,Marco-Belinelli-198,Fortitudo%20Bologna
Marcin Gortat,Koln,14,27.7,10.4,6.9,0.98,0.63,0.60,0.47,0.02,1.21,0.18,0.57,-4.74,1.1,1.1,2.8,/profile/Marcin-Gortat-120/,/stats/euroleague/2007/Koln,2007,euroleague,Marcin-Gortat-120,Koln
Horace Jenkins,Anadolu Efes,14,27.6,14.5,11.6,0.91,0.54,0.49,0.36,0.49,2.71,0.23,1.15,-2.04,0.8,0.3,2.4,/profile/Horace-Jenkins-2981/,/stats/euroleague/2007/Anadolu%20Efes,2007,euroleague,Horace-Jenkins-2981,Anadolu%20Efes
Marcus Faison,Koln,9,27.6,15.1,7.4,1.26,0.81,0.75,0.57,0.49,1.44,0.19,0.59,-5.28,1.1,0.1,3.3,/profile/Marcus-Faison-5478/,/stats/euroleague/2007/Koln,2007,euroleague,Marcus-Faison-5478,Koln
James Thomas,Fortitudo Bologna,13,27.3,10.5,6.8,0.99,0.61,0.59,0.59,0.01,0.92,0.14,0.52,-4.04,1.5,0.7,3.9,/profile/James-Thomas-4588/,/stats/euroleague/2007/Fortitudo%20Bologna,2007,euroleague,James-Thomas-4588,Fortitudo%20Bologna
