Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Kevin Langford,Panionios,33,19.9,16.3,7.1,14.3,1.79,7.2,74.7,9.6%,1.14,0.80,0.53,0.08,0.19,/profile/Kevin-Langford-22942/,/stats/greek/2014/Panionios,2014,greek,Kevin-Langford-22942,Panionios
Giannis Lianos,Apollon,28,19.7,8.6,5.2,10.6,-0.60,4.9,75.2,6.5%,0.85,0.80,0.31,0.22,0.23,/profile/Giannis-Lianos-64881/,/stats/greek/2014/Apollon,2014,greek,Giannis-Lianos-64881,Apollon
Kostas Sloukas,Olympiakos,34,19.6,17.3,8.1,16.6,2.14,6.9,73.1,9.5%,1.06,0.72,0.28,0.37,0.20,/profile/Kostas-Sloukas-5274/,/stats/greek/2014/Olympiakos,2014,greek,Kostas-Sloukas-5274,Olympiakos
Bambale Osby,Rhodes,21,19.5,22.4,10.1,20.8,2.36,9.7,72.4,13.5%,1.10,0.76,0.47,0.03,0.16,/profile/Bambale-Osby-25078/,/stats/greek/2014/Rhodes,2014,greek,Bambale-Osby-25078,Rhodes
Michael Bramos,Panathinaikos,36,19.5,12.7,6.1,12.5,0.66,5.5,71.7,7.7%,1.01,0.87,0.18,0.23,0.10,/profile/Michael-Bramos-5320/,/stats/greek/2014/Panathinaikos,2014,greek,Michael-Bramos-5320,Panathinaikos
Nikos Gikas,Aris,23,19.5,7.5,3.9,7.9,-0.74,8.0,73.7,10.8%,0.71,0.77,0.14,0.21,0.22,/profile/Nikos-Gikas-71007/,/stats/greek/2014/Aris,2014,greek,Nikos-Gikas-71007,Aris
Antonios Asimakopoulos,Aris,27,19.4,10.1,6.4,13.2,-0.18,5.8,73.7,7.9%,0.83,0.84,0.27,0.17,0.20,/profile/Antonios-Asimakopoulos-37188/,/stats/greek/2014/Aris,2014,greek,Antonios-Asimakopoulos-37188,Aris
Roko-Leni Ukic,Panathinaikos,34,19.4,14.2,6.6,13.5,1.10,6.3,71.7,8.7%,0.95,0.88,0.18,0.46,0.15,/profile/Roko-Leni-Ukic-26/,/stats/greek/2014/Panathinaikos,2014,greek,Roko-Leni-Ukic-26,Panathinaikos
Nikolaos Chatzis,Ilisiakos,25,19.3,15.8,6.8,14.2,1.19,7.7,73.6,10.5%,1.02,0.74,0.43,0.25,0.18,/profile/Nikolaos-Chatzis-43407/,/stats/greek/2014/Ilisiakos,2014,greek,Nikolaos-Chatzis-43407,Ilisiakos
Jonas Maciulis,Panathinaikos,31,19.2,14.4,7.3,15.2,1.05,7.5,71.7,10.5%,0.93,0.70,0.31,0.23,0.22,/profile/Jonas-Maciulis-1151/,/stats/greek/2014/Panathinaikos,2014,greek,Jonas-Maciulis-1151,Panathinaikos
Thodoris Zaras,Drama,28,19.1,8.6,3.8,7.8,-0.60,7.4,75.6,9.7%,0.94,0.84,0.26,0.13,0.17,/profile/Thodoris-Zaras-39634/,/stats/greek/2014/Drama,2014,greek,Thodoris-Zaras-39634,Drama
Filip Covic,Drama,10,19.0,4.3,2.5,5.3,-0.62,5.3,75.6,7.0%,0.77,0.85,0.32,0.23,0.21,/profile/Filip-Covic-38735/,/stats/greek/2014/Drama,2014,greek,Filip-Covic-38735,Drama
Sasa Vasiljevic,Nea Kifisia,24,19.0,14.9,6.2,13.1,0.92,7.2,72.2,9.9%,1.03,0.80,0.27,0.31,0.19,/profile/Sasa-Vasiljevic-38168/,/stats/greek/2014/Nea%20Kifisia,2014,greek,Sasa-Vasiljevic-38168,Nea%20Kifisia
Dante Stiggers,Drama,18,18.9,11.1,5.4,11.4,0.04,6.1,75.6,8.1%,0.90,0.85,0.09,0.25,0.23,/profile/Dante-Stiggers-29187/,/stats/greek/2014/Drama,2014,greek,Dante-Stiggers-29187,Drama
Diamantis Slaftsakis,Drama,26,18.9,12.3,6.7,14.1,0.37,3.7,75.6,4.9%,1.00,0.73,0.30,0.15,0.21,/profile/Diamantis-Slaftsakis-62400/,/stats/greek/2014/Drama,2014,greek,Diamantis-Slaftsakis-62400,Drama
Antonis Mantzaris,Panelefsiniakos,25,18.8,9.3,5.0,10.6,-0.35,6.1,75.9,8.0%,0.92,0.71,0.22,0.20,0.27,/profile/Antonis-Mantzaris-37189/,/stats/greek/2014/Panelefsiniakos,2014,greek,Antonis-Mantzaris-37189,Panelefsiniakos
Periklis Dorkofikis,Ilisiakos,24,18.7,7.9,3.8,8.2,-0.65,7.3,73.6,10.0%,0.85,0.76,0.28,0.11,0.19,/profile/Periklis-Dorkofikis-35579/,/stats/greek/2014/Ilisiakos,2014,greek,Periklis-Dorkofikis-35579,Ilisiakos
Uros Duvnjak,Panionios,33,18.7,10.5,4.6,9.9,-0.10,7.8,74.7,10.5%,0.94,0.85,0.20,0.12,0.18,/profile/Uros-Duvnjak-38218/,/stats/greek/2014/Panionios,2014,greek,Uros-Duvnjak-38218,Panionios
Darrius Garrett,Nea Kifisia,23,18.7,22.0,10.2,21.8,2.39,5.6,72.2,7.7%,1.14,0.70,0.47,0.04,0.23,/profile/Darrius-Garrett-17748/,/stats/greek/2014/Nea%20Kifisia,2014,greek,Darrius-Garrett-17748,Nea%20Kifisia
Vladimir Petrovic,Apollon,23,18.5,10.5,5.0,10.7,-0.07,6.6,75.2,8.8%,0.90,0.91,0.07,0.10,0.14,/profile/Vladimir-Petrovic-35641/,/stats/greek/2014/Apollon,2014,greek,Vladimir-Petrovic-35641,Apollon
Nikos Angelopoulos,Rethymno,24,18.2,9.6,4.2,9.2,-0.26,5.5,74.9,7.4%,1.01,0.85,0.32,0.14,0.15,/profile/Nikos-Angelopoulos-37531/,/stats/greek/2014/Rethymno,2014,greek,Nikos-Angelopoulos-37531,Rethymno
