Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Arnas Butkevicius,Neptunas,16,21.3,13.3,8.0,15.0,0.42,6.1,73.3,8.4%,0.96,0.70,0.51,0.25,0.18,/profile/Arnas-Butkevicius-43694/,/stats/eurocup/2016/Neptunas,2016,eurocup,Arnas-Butkevicius-43694,Neptunas
Damian Kulig,Trabzonspor,14,21.3,17.3,9.9,18.5,0.97,8.6,73.1,11.8%,1.19,0.84,0.23,0.08,0.17,/profile/Damian-Kulig-44553/,/stats/eurocup/2016/Trabzonspor,2016,eurocup,Damian-Kulig-44553,Trabzonspor
Luke Sikma,Valencia,16,21.2,15.8,10.1,19.1,0.84,6.4,71.0,9.0%,0.91,0.70,0.33,0.34,0.31,/profile/Luke-Sikma-17878/,/stats/eurocup/2016/Valencia,2016,eurocup,Luke-Sikma-17878,Valencia
Caleb Green,Galatasaray,17,21.2,15.1,8.5,16.0,0.77,7.6,72.8,10.4%,1.03,0.88,0.32,0.26,0.12,/profile/Caleb-Green-436/,/stats/eurocup/2016/Galatasaray,2016,eurocup,Caleb-Green-436,Galatasaray
Jarrod Jones,Szolnok,5,21.1,7.2,5.4,10.2,-0.19,5.7,73.6,7.8%,0.74,1.09,0.07,0.14,0.07,/profile/Jarrod-Jones-5784/,/stats/eurocup/2016/Szolnok,2016,eurocup,Jarrod-Jones-5784,Szolnok
Jordan Farmar,Maccabi Tel Aviv,1,21.1,14.0,8.0,15.2,0.03,4.9,74.7,6.6%,1.01,0.61,0.40,1.01,0.20,/profile/Jordan-Farmar-221/,/stats/eurocup/2016/Maccabi%20Tel%20Aviv,2016,eurocup,Jordan-Farmar-221,Maccabi%20Tel%20Aviv
Novica Velickovic,Trabzonspor,13,20.9,12.6,9.2,17.5,0.25,9.6,73.1,13.1%,0.84,0.83,0.17,0.23,0.18,/profile/Novica-Velickovic-5141/,/stats/eurocup/2016/Trabzonspor,2016,eurocup,Novica-Velickovic-5141,Trabzonspor
Kerem Gonlum,Karsiyaka,8,20.9,13.0,7.8,14.9,0.18,7.2,73.1,9.9%,1.00,0.85,0.36,0.05,0.14,/profile/Kerem-Gonlum-5363/,/stats/eurocup/2016/Karsiyaka,2016,eurocup,Kerem-Gonlum-5363,Karsiyaka
Charles Jenkins,Milano,8,20.8,6.5,3.9,7.4,-0.36,5.4,71.6,7.6%,0.78,0.83,0.28,0.21,0.09,/profile/Charles-Jenkins-6189/,/stats/eurocup/2016/Milano,2016,eurocup,Charles-Jenkins-6189,Milano
Nemanja Jaramaz,Buducnost,10,20.8,15.0,8.6,16.5,0.44,8.5,75.1,11.3%,1.04,0.81,0.22,0.27,0.16,/profile/Nemanja-Jaramaz-40012/,/stats/eurocup/2016/Buducnost,2016,eurocup,Nemanja-Jaramaz-40012,Buducnost
