Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Antonios Asimakopoulos,Rhodes,28,17.3,9.8,2.0,4.9,40.7%,0.8,3.5,21.4%,3.5,4.4,79.2%,2.3,5.6,7.9,1.6,0.9,0.3,2.3,4.2,/profile/Antonios-Asimakopoulos-37188/,/stats/greek/2010/Rhodes,2010,greek,Antonios-Asimakopoulos-37188,Rhodes
Vassilis Angelakopoulos,Larissa,14,19.5,9.4,1.4,5.1,28.6%,1.9,5.7,33.3%,0.9,1.6,54.5%,1.4,4.3,5.8,1.0,1.4,0.1,1.3,4.2,/profile/Vassilis-Angelakopoulos-42197/,/stats/greek/2010/Larissa,2010,greek,Vassilis-Angelakopoulos-42197,Larissa
Giannis Papachristos,Larissa,23,17.1,9.4,3.0,6.0,50.0%,0.7,3.6,19.4%,1.2,2.5,48.0%,2.6,3.9,6.5,1.8,1.3,0.8,3.5,3.5,/profile/Giannis-Papachristos-37917/,/stats/greek/2010/Larissa,2010,greek,Giannis-Papachristos-37917,Larissa
Spiros Panteliadis,Rhodes,27,10.8,9.3,1.4,3.7,37.0%,1.1,3.6,30.8%,3.2,4.9,65.7%,1.0,4.0,5.0,5.0,1.2,0.1,6.0,6.1,/profile/Spiros-Panteliadis-38581/,/stats/greek/2010/Rhodes,2010,greek,Spiros-Panteliadis-38581,Rhodes
Marko Popovic,Larissa,2,12.8,9.3,4.6,12.3,37.5%,0.0,3.1,0.0%,0.0,1.5,0.0%,1.5,3.1,4.6,0.0,0.0,0.0,6.2,4.6,/profile/Marko-Popovic-5353/,/stats/greek/2010/Larissa,2010,greek,Marko-Popovic-5353,Larissa
Mihalis Paragios,Panionios,20,9.5,9.2,2.8,5.6,50.0%,0.0,0.9,0.0%,3.6,5.1,70.8%,3.2,4.7,7.9,1.5,0.9,0.9,2.8,8.1,/profile/Mihalis-Paragios-39273/,/stats/greek/2010/Panionios,2010,greek,Mihalis-Paragios-39273,Panionios
Alexandros Petroulas,Panellinios,28,10.1,9.1,1.9,2.6,72.2%,1.3,2.3,56.3%,1.6,2.4,64.7%,0.9,4.6,5.4,3.0,0.9,0.0,2.4,7.1,/profile/Alexandros-Petroulas-37161/,/stats/greek/2010/Panellinios,2010,greek,Alexandros-Petroulas-37161,Panellinios
Leonidas Kaselakis,Ilisiakos,23,10.2,9.1,2.4,5.5,43.8%,1.4,4.5,30.8%,0.2,0.3,50.0%,1.7,2.2,4.0,1.4,0.3,0.3,1.2,5.5,/profile/Leonidas-Kaselakis-39929/,/stats/greek/2010/Ilisiakos,2010,greek,Leonidas-Kaselakis-39929,Ilisiakos
Thodoris Sioutis,Ilisiakos,24,15.5,9.1,0.8,1.1,70.0%,2.4,5.5,43.1%,0.4,1.2,36.4%,1.3,4.2,5.5,1.0,1.5,0.3,0.9,4.2,/profile/Thodoris-Sioutis-40101/,/stats/greek/2010/Ilisiakos,2010,greek,Thodoris-Sioutis-40101,Ilisiakos
Kostas Papanikolaou,Olympiakos,22,9.7,9.0,2.4,3.9,61.9%,0.9,3.7,25.0%,1.5,2.0,72.7%,1.7,3.3,5.0,2.4,1.8,1.5,2.6,4.8,/profile/Kostas-Papanikolaou-6147/,/stats/greek/2010/Olympiakos,2010,greek,Kostas-Papanikolaou-6147,Olympiakos
