Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Kervin Bristol,Nea Kifisia,2,8.1,0.5,0.5,0.50,0.27,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.0,/profile/Kervin-Bristol-19907/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Kervin-Bristol-19907,Nea%20Kifisia
Darris Santee,Arkadikos,3,8.1,1.7,2.0,0.43,0.28,0.17,1.17,0.00,0.00,0.00,0.00,-8.47,0.3,0.3,1.7,/profile/Darris-Santee-21017/,/stats/greek/2016/Arkadikos,2016,greek,Darris-Santee-21017,Arkadikos
Alex Varitmiadis,Trikalla,24,8.1,1.3,1.7,0.57,0.36,0.34,0.15,0.15,0.54,0.33,1.18,-1.16,0.4,0.0,1.4,/profile/Alex-Varitmiadis-85938/,/stats/greek/2016/Trikalla,2016,greek,Alex-Varitmiadis-85938,Trikalla
Giorgos Kopsaftis,Arkadikos,21,8.0,1.3,2.0,0.46,0.28,0.22,0.26,0.63,0.33,0.16,0.70,-3.28,0.2,0.0,1.2,/profile/Giorgos-Kopsaftis-94880/,/stats/greek/2016/Arkadikos,2016,greek,Giorgos-Kopsaftis-94880,Arkadikos
Ioannis Demertzis,Kavala,17,7.9,0.2,1.0,0.16,0.12,0.12,0.00,0.24,1.35,1.35,2.88,5.40,0.1,0.0,1.0,/profile/Ioannis-Demertzis-39148/,/stats/greek/2016/Kavala,2016,greek,Ioannis-Demertzis-39148,Kavala
Zisis Sarikopoulos,AEK Athens,21,7.9,2.3,1.3,0.99,0.70,0.63,0.63,0.04,0.24,0.19,0.38,-5.92,0.3,0.3,1.6,/profile/Zisis-Sarikopoulos-21521/,/stats/greek/2016/AEK%20Athens,2016,greek,Zisis-Sarikopoulos-21521,AEK%20Athens
Micheal Eric,AEK Athens,9,7.7,2.2,1.4,0.77,0.57,0.62,0.77,0.00,0.00,0.00,0.00,-11.71,0.1,0.2,2.1,/profile/Micheal-Eric-17038/,/stats/greek/2016/AEK%20Athens,2016,greek,Micheal-Eric-17038,AEK%20Athens
Manolis Koukoulas,Trikalla,3,7.7,2.0,1.3,1.20,0.75,0.75,0.00,0.00,0.33,0.25,1.00,-1.39,0.3,0.0,1.0,/profile/Manolis-Koukoulas-39943/,/stats/greek/2016/Trikalla,2016,greek,Manolis-Koukoulas-39943,Trikalla
Panagiotis Nikolakopoulos,Lavrio,10,7.5,1.6,1.6,0.76,0.50,0.50,0.00,0.69,0.00,0.00,0.00,-6.55,0.3,0.1,0.3,/profile/Panagiotis-Nikolakopoulos-62401/,/stats/greek/2016/Lavrio,2016,greek,Panagiotis-Nikolakopoulos-62401,Lavrio
Shawn James,Olympiakos,5,7.4,4.4,1.6,1.42,0.86,0.88,1.38,0.00,0.00,0.00,0.00,-5.48,0.2,0.4,2.6,/profile/Shawn-James-361/,/stats/greek/2016/Olympiakos,2016,greek,Shawn-James-361,Olympiakos
Mirko Kovac,Koroivos,4,7.3,0.8,1.8,0.33,0.21,0.21,0.00,0.86,0.50,0.29,1.00,-2.30,0.0,0.0,2.3,/profile/Mirko-Kovac-35753/,/stats/greek/2016/Koroivos,2016,greek,Mirko-Kovac-35753,Koroivos
Savvas Tsougarakis,Arkadikos,16,7.0,1.0,0.9,0.55,0.43,0.36,0.71,0.00,0.06,0.07,0.10,-8.54,0.1,0.0,1.5,/profile/Savvas-Tsougarakis-77281/,/stats/greek/2016/Arkadikos,2016,greek,Savvas-Tsougarakis-77281,Arkadikos
Chad Frazier,Nea Kifisia,4,6.5,0.5,1.3,0.18,0.15,0.20,0.80,0.20,0.75,0.60,0.75,-7.52,1.0,0.0,0.3,/profile/Chad-Frazier-78259/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Chad-Frazier-78259,Nea%20Kifisia
Yiorgos Georgakis,Koroivos,21,6.4,2.1,1.2,1.06,0.71,0.77,0.50,0.00,0.05,0.04,0.10,-7.01,0.2,0.2,2.6,/profile/Yiorgos-Georgakis-42200/,/stats/greek/2016/Koroivos,2016,greek,Yiorgos-Georgakis-42200,Koroivos
Giannis Chatzinikolas,Nea Kifisia,12,6.0,1.5,1.5,0.67,0.44,0.36,0.33,0.67,0.25,0.17,0.50,-5.43,0.4,0.0,1.6,/profile/Giannis-Chatzinikolas-71051/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Giannis-Chatzinikolas-71051,Nea%20Kifisia
Dmitrios Flionis,Aris,11,6.0,1.9,0.9,1.08,0.86,0.85,0.50,0.60,0.27,0.30,0.43,-7.60,0.4,0.0,1.1,/profile/Dmitrios-Flionis-73365/,/stats/greek/2016/Aris,2016,greek,Dmitrios-Flionis-73365,Aris
Filippos Kalogiannidis,Trikalla,20,5.9,1.0,0.8,0.78,0.55,0.53,0.33,0.20,0.15,0.20,0.43,-4.09,0.4,0.1,1.0,/profile/Filippos-Kalogiannidis-42209/,/stats/greek/2016/Trikalla,2016,greek,Filippos-Kalogiannidis-42209,Trikalla
Giannis Kaponis,Lavrio,8,5.8,1.9,1.4,0.83,0.52,0.36,0.73,0.73,0.38,0.27,1.00,-2.10,0.1,0.0,1.0,/profile/Giannis-Kaponis-95459/,/stats/greek/2016/Lavrio,2016,greek,Giannis-Kaponis-95459,Lavrio
Elias Theodoridis,Rethymno,14,5.8,0.7,0.9,0.56,0.32,0.25,0.67,0.58,0.21,0.25,1.50,0.00,0.0,0.0,0.6,/profile/Elias-Theodoridis-71060/,/stats/greek/2016/Rethymno,2016,greek,Elias-Theodoridis-71060,Rethymno
Thomas Kottas,PAOK,21,5.5,1.8,1.3,0.79,0.56,0.56,0.52,0.00,0.24,0.19,0.38,-8.45,0.1,0.4,1.7,/profile/Thomas-Kottas-62811/,/stats/greek/2016/PAOK,2016,greek,Thomas-Kottas-62811,PAOK
Michalis Lountzis,Panathinaikos,8,5.5,1.4,1.0,0.79,0.62,0.63,0.25,0.63,0.75,0.75,1.20,-2.25,0.3,0.0,0.8,/profile/Michalis-Lountzis-88778/,/stats/greek/2016/Panathinaikos,2016,greek,Michalis-Lountzis-88778,Panathinaikos
Andreas Pelekoudas,Apollon,9,5.4,0.4,0.6,0.44,0.40,0.40,0.00,0.00,0.22,0.40,0.50,-5.65,0.1,0.4,1.9,/profile/Andreas-Pelekoudas-64886/,/stats/greek/2016/Apollon,2016,greek,Andreas-Pelekoudas-64886,Apollon
Giorgios Constantinou,Arkadikos,13,5.2,0.8,0.8,0.69,0.50,0.50,0.00,0.73,0.15,0.18,0.40,-5.57,0.2,0.1,1.2,/profile/Giorgios-Constantinou-94881/,/stats/greek/2016/Arkadikos,2016,greek,Giorgios-Constantinou-94881,Arkadikos
Vasileios Toliopoulos,Olympiakos,6,5.0,1.2,1.5,0.58,0.35,0.28,0.22,0.44,0.17,0.11,0.50,-4.48,0.0,0.0,0.5,/profile/Vasileios-Toliopoulos-62809/,/stats/greek/2016/Olympiakos,2016,greek,Vasileios-Toliopoulos-62809,Olympiakos
Giannis Patatas,Rethymno,2,5.0,0.0,0.5,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.5,0.0,0.0,/profile/Giannis-Patatas-95464/,/stats/greek/2016/Rethymno,2016,greek,Giannis-Patatas-95464,Rethymno
Michail Liapis,PAOK,25,4.9,1.0,1.0,0.73,0.42,0.34,0.32,0.68,0.28,0.28,1.75,0.55,0.2,0.0,0.8,/profile/Michail-Liapis-42254/,/stats/greek/2016/PAOK,2016,greek,Michail-Liapis-42254,PAOK
Dimitris Kaklamanakis,Lavrio,23,4.8,0.6,0.8,0.44,0.33,0.33,0.39,0.00,0.09,0.11,0.20,-7.73,0.2,0.0,1.4,/profile/Dimitris-Kaklamanakis-94877/,/stats/greek/2016/Lavrio,2016,greek,Dimitris-Kaklamanakis-94877,Lavrio
Sotirios Billis,Rhodes,18,4.6,0.7,0.8,0.76,0.44,0.46,0.14,0.57,0.22,0.29,2.00,0.81,0.1,0.0,0.8,/profile/Sotirios-Billis-84307/,/stats/greek/2016/Rhodes,2016,greek,Sotirios-Billis-84307,Rhodes
Dimitrios Moraitis,AEK Athens,5,4.4,0.6,1.0,0.43,0.30,0.30,0.00,0.80,0.00,0.00,0.00,-9.31,0.2,0.0,0.6,/profile/Dimitrios-Moraitis-84756/,/stats/greek/2016/AEK%20Athens,2016,greek,Dimitrios-Moraitis-84756,AEK%20Athens
Giorgios Bakas,Lavrio,1,4.3,0.0,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,/profile/Giorgios-Bakas-96836/,/stats/greek/2016/Lavrio,2016,greek,Giorgios-Bakas-96836,Lavrio
Panagiotis Tsiros,Lavrio,12,4.2,0.6,0.6,0.50,0.40,0.36,0.57,0.43,0.75,1.29,1.80,1.94,0.2,0.0,0.3,/profile/Panagiotis-Tsiros-71022/,/stats/greek/2016/Lavrio,2016,greek,Panagiotis-Tsiros-71022,Lavrio
Tasos Dimas,Aris,5,4.2,1.2,1.0,0.75,0.51,0.50,0.40,0.40,0.60,0.60,1.50,0.00,0.4,0.0,1.6,/profile/Tasos-Dimas-40436/,/stats/greek/2016/Aris,2016,greek,Tasos-Dimas-40436,Aris
Giorgos Diamantakos,Nea Kifisia,1,4.2,2.0,1.0,2.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,15.56,0.0,0.0,1.0,/profile/Giorgos-Diamantakos-66941/,/stats/greek/2016/Nea%20Kifisia,2016,greek,Giorgos-Diamantakos-66941,Nea%20Kifisia
Nikolaos Diplaros,Aris,7,4.0,0.9,1.0,0.55,0.29,0.29,1.14,0.43,0.71,0.71,0.00,11.80,0.7,0.0,1.1,/profile/Nikolaos-Diplaros-84308/,/stats/greek/2016/Aris,2016,greek,Nikolaos-Diplaros-84308,Aris
Giannis Panaretakis,Rethymno,9,4.0,0.7,0.8,0.75,0.43,0.43,0.00,0.43,0.00,0.00,0.00,-2.75,0.1,0.0,0.3,/profile/Giannis-Panaretakis-95198/,/stats/greek/2016/Rethymno,2016,greek,Giannis-Panaretakis-95198,Rethymno
Konstantinos Oikonomopoulos,Rhodes,12,4.0,0.3,0.6,0.31,0.23,0.14,0.57,0.29,0.33,0.57,1.00,-2.81,0.3,0.0,0.5,/profile/Konstantinos-Oikonomopoulos-62812/,/stats/greek/2016/Rhodes,2016,greek,Konstantinos-Oikonomopoulos-62812,Rhodes
Periklis Bazinas,Apollon,1,3.8,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,/profile/Periklis-Bazinas-96685/,/stats/greek/2016/Apollon,2016,greek,Periklis-Bazinas-96685,Apollon
Kostas Ezomo,Arkadikos,2,3.6,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-14.18,0.0,0.0,1.5,/profile/Kostas-Ezomo-95197/,/stats/greek/2016/Arkadikos,2016,greek,Kostas-Ezomo-95197,Arkadikos
Markos Doulgerakis,Rethymno,10,3.6,0.5,0.6,0.50,0.42,0.42,0.00,0.50,0.00,0.00,0.00,-10.96,0.1,0.0,0.5,/profile/Markos-Doulgerakis-64889/,/stats/greek/2016/Rethymno,2016,greek,Markos-Doulgerakis-64889,Rethymno
Theodoros Tsiloulis,Trikalla,15,3.6,0.1,0.7,0.13,0.10,0.10,0.00,0.50,0.00,0.00,0.00,-9.01,0.1,0.0,0.3,/profile/Theodoros-Tsiloulis-39633/,/stats/greek/2016/Trikalla,2016,greek,Theodoros-Tsiloulis-39633,Trikalla
