Player,Team,G,MP,PER,EFF,EFF_per_40,EWA,Poss_per_G,Tm_Poss_per_G,Pct_of_Tm_Poss,Pts_per_Poss,FGA_per_Poss,FTA_per_Poss,AST_per_Poss,TO_per_Poss,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Jon Cortaberria,Fuenlabrada,33,14.5,8.6,3.4,9.4,-0.52,3.9,73.1,5.3%,0.92,0.86,0.16,0.24,0.17,/profile/Jon-Cortaberria-36108/,/stats/acb/2011/Fuenlabrada,2011,acb,Jon-Cortaberria-36108,Fuenlabrada
Roger Grimau,Barcelona,42,14.5,13.9,5.4,14.9,0.94,5.0,72.0,7.0%,1.00,0.77,0.29,0.18,0.17,/profile/Roger-Grimau-5630/,/stats/acb/2011/Barcelona,2011,acb,Roger-Grimau-5630,Barcelona
Nikoloz Tskitishvili,San Sebastian,24,14.5,11.0,4.5,12.4,0.02,5.2,70.9,7.4%,1.00,0.85,0.19,0.05,0.20,/profile/Nikoloz-Tskitishvili-4651/,/stats/acb/2011/San%20Sebastian,2011,acb,Nikoloz-Tskitishvili-4651,San%20Sebastian
Daniel Clark,Estudiantes,32,14.2,17.3,6.2,17.3,1.47,4.8,73.0,6.6%,1.21,0.93,0.23,0.11,0.16,/profile/Daniel-Clark-337/,/stats/acb/2011/Estudiantes,2011,acb,Daniel-Clark-337,Estudiantes
Josh Fisher,Bilbao,37,14.1,8.6,3.2,9.2,-0.57,4.6,72.6,6.4%,0.80,0.81,0.16,0.25,0.22,/profile/Josh-Fisher-32624/,/stats/acb/2011/Bilbao,2011,acb,Josh-Fisher-32624,Bilbao
Jaka Lakovic,Barcelona,39,13.8,11.1,3.7,10.7,0.06,5.5,72.0,7.6%,0.93,0.77,0.26,0.24,0.19,/profile/Jaka-Lakovic-5351/,/stats/acb/2011/Barcelona,2011,acb,Jaka-Lakovic-5351,Barcelona
Alfonso Alzamora,Manresa,24,13.6,9.3,3.9,11.5,-0.25,3.6,70.9,5.0%,0.91,0.73,0.32,0.11,0.29,/profile/Alfonso-Alzamora-35710/,/stats/acb/2011/Manresa,2011,acb,Alfonso-Alzamora-35710,Manresa
Chad Toppert,Zaragoza,32,13.5,18.9,5.7,17.0,1.72,3.9,70.7,5.6%,1.51,0.93,0.09,0.12,0.12,/profile/Chad-Toppert-23379/,/stats/acb/2011/Zaragoza,2011,acb,Chad-Toppert-23379,Zaragoza
Boniface Ndong,Barcelona,41,13.3,21.7,7.8,23.4,2.95,5.2,72.0,7.2%,1.15,0.86,0.31,0.04,0.15,/profile/Boniface-Ndong-5121/,/stats/acb/2011/Barcelona,2011,acb,Boniface-Ndong-5121,Barcelona
Eduardo Hernandez-Sonseca,Bilbao,36,13.3,16.0,6.5,19.5,1.24,3.8,72.6,5.2%,1.09,0.85,0.25,0.17,0.21,/profile/Eduardo-Hernandez-Sonseca-113/,/stats/acb/2011/Bilbao,2011,acb,Eduardo-Hernandez-Sonseca-113,Bilbao
Oscar Alvarado,Gran Canaria,7,13.2,5.7,2.4,7.3,-0.23,3.4,70.6,4.8%,0.76,0.80,0.17,0.55,0.25,/profile/Oscar-Alvarado-40023/,/stats/acb/2011/Gran%20Canaria,2011,acb,Oscar-Alvarado-40023,Gran%20Canaria
Giorgos Printezis,Malaga,19,13.1,18.1,5.7,17.3,0.90,5.6,71.0,7.8%,1.12,0.97,0.22,0.13,0.12,/profile/Giorgos-Printezis-1295/,/stats/acb/2011/Malaga,2011,acb,Giorgos-Printezis-1295,Malaga
Daniel Lopez,Manresa,29,13.1,10.1,3.2,9.8,-0.13,4.2,70.9,6.0%,0.89,0.85,0.27,0.26,0.21,/profile/Daniel-Lopez-39763/,/stats/acb/2011/Manresa,2011,acb,Daniel-Lopez-39763,Manresa
Florent Pietrus,Valencia,28,13.0,11.1,4.9,15.0,0.05,2.7,72.4,3.8%,0.98,0.79,0.37,0.13,0.24,/profile/Florent-Pietrus-5394/,/stats/acb/2011/Valencia,2011,acb,Florent-Pietrus-5394,Valencia
