Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Kenny Whitehead,Rouen,9,25.7,11.2,8.3,0.81,0.52,0.45,0.67,0.00,0.44,0.05,0.16,-9.67,0.7,0.3,3.2,/profile/Kenny-Whitehead-33129/,/stats/french/2006/Rouen,2006,french,Kenny-Whitehead-33129,Rouen
Ali Bouziane,Dijon,16,25.6,9.3,7.9,0.85,0.53,0.50,0.24,0.49,4.19,0.53,2.09,3.13,1.6,0.5,3.9,/profile/Ali-Bouziane-36573/,/stats/french/2006/Dijon,2006,french,Ali-Bouziane-36573,Dijon
T.J. Parker,Paris Basket Racing,31,25.5,7.8,6.5,0.85,0.53,0.49,0.26,0.50,2.26,0.34,1.27,-1.10,0.9,0.0,3.0,/profile/T.J.-Parker-29435/,/stats/french/2006/Paris%20Basket%20Racing,2006,french,T.J.-Parker-29435,Paris%20Basket%20Racing
Rickey Paulding,Villeurbanne,26,25.5,9.8,8.4,0.91,0.54,0.51,0.21,0.49,1.77,0.21,1.10,-1.71,1.1,0.0,1.7,/profile/Rickey-Paulding-5296/,/stats/french/2006/Villeurbanne,2006,french,Rickey-Paulding-5296,Villeurbanne
Gary Chathuant,Brest,20,25.5,7.7,7.5,0.83,0.48,0.47,0.13,0.30,1.25,0.17,1.00,-1.53,0.9,0.3,2.3,/profile/Gary-Chathuant-38374/,/stats/french/2006/Brest,2006,french,Gary-Chathuant-38374,Brest
Slobodan Savovic,Bourg,24,25.4,10.3,7.1,1.07,0.62,0.58,0.37,0.51,2.79,0.39,2.48,2.95,1.5,0.0,2.6,/profile/Slobodan-Savovic-34348/,/stats/french/2006/Bourg,2006,french,Slobodan-Savovic-34348,Bourg
Ian Lockhart,Hyeres-Toulon,34,25.3,8.1,6.0,1.02,0.63,0.62,0.18,0.20,0.94,0.16,0.65,-3.20,0.8,0.1,3.7,/profile/Ian-Lockhart-3339/,/stats/french/2006/Hyeres-Toulon,2006,french,Ian-Lockhart-3339,Hyeres-Toulon
Brian Wethers,Hyeres-Toulon,34,25.3,12.5,9.9,1.01,0.58,0.56,0.21,0.24,1.26,0.13,0.86,-2.47,0.8,0.2,2.0,/profile/Brian-Wethers-33596/,/stats/french/2006/Hyeres-Toulon,2006,french,Brian-Wethers-33596,Hyeres-Toulon
Jaime Peterson,Rouen,20,25.3,10.7,7.2,1.06,0.63,0.62,0.38,0.01,1.15,0.16,0.77,-2.90,1.1,0.6,2.7,/profile/Jaime-Peterson-37939/,/stats/french/2006/Rouen,2006,french,Jaime-Peterson-37939,Rouen
Marko Piplovic,Brest,11,25.1,10.1,7.9,0.95,0.56,0.52,0.32,0.33,0.82,0.10,0.56,-3.38,0.5,0.3,2.7,/profile/Marko-Piplovic-37483/,/stats/french/2006/Brest,2006,french,Marko-Piplovic-37483,Brest
Antonio Grant,Cholet,24,25.1,11.4,8.4,0.91,0.57,0.56,0.40,0.37,2.33,0.28,1.00,-3.18,0.9,0.0,2.4,/profile/Antonio-Grant-35739/,/stats/french/2006/Cholet,2006,french,Antonio-Grant-35739,Cholet
Eric Campbell,Le Mans,42,25.0,8.1,6.3,0.97,0.57,0.55,0.28,0.25,1.17,0.19,1.00,-1.58,1.2,0.7,2.7,/profile/Eric-Campbell-5571/,/stats/french/2006/Le%20Mans,2006,french,Eric-Campbell-5571,Le%20Mans
Jermaine Boyette,Nancy,24,25.0,10.9,8.0,0.98,0.59,0.53,0.37,0.28,1.63,0.20,0.98,-2.22,1.4,0.0,1.8,/profile/Jermaine-Boyette-32245/,/stats/french/2006/Nancy,2006,french,Jermaine-Boyette-32245,Nancy
Branko Sindjelic,Bourg,29,24.9,10.1,7.8,0.90,0.56,0.51,0.38,0.50,1.83,0.23,0.95,-2.91,0.8,0.0,2.1,/profile/Branko-Sindjelic-37220/,/stats/french/2006/Bourg,2006,french,Branko-Sindjelic-37220,Bourg
Amara Sy,Villeurbanne,36,24.8,11.9,9.3,0.90,0.55,0.51,0.38,0.23,1.25,0.14,0.57,-5.47,1.1,0.5,2.9,/profile/Amara-Sy-5559/,/stats/french/2006/Villeurbanne,2006,french,Amara-Sy-5559,Villeurbanne
Bob Menama,Rouen,4,24.8,11.5,5.8,1.11,0.75,0.78,0.74,0.13,0.75,0.13,0.30,-8.08,1.0,0.0,3.8,/profile/Bob-Menama-35769/,/stats/french/2006/Rouen,2006,french,Bob-Menama-35769,Rouen
John Linehan,Strasbourg,19,24.5,10.3,10.0,0.85,0.47,0.42,0.23,0.54,2.74,0.27,2.89,3.63,2.1,0.0,2.0,/profile/John-Linehan-34271/,/stats/french/2006/Strasbourg,2006,french,John-Linehan-34271,Strasbourg
Donta Richardson,Reims,10,24.3,9.0,7.8,0.85,0.49,0.43,0.41,0.42,1.40,0.18,1.17,-1.08,1.5,0.1,2.1,/profile/Donta-Richardson-33777/,/stats/french/2006/Reims,2006,french,Donta-Richardson-33777,Reims
