Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Chris Oliver,Cholet,31,24.7,13.7,5.0,9.6,51.9%,0.7,3.0,23.7%,1.7,1.9,89.5%,1.8,3.3,5.2,2.1,1.5,0.2,2.3,1.8,/profile/Chris-Oliver-26130/,/stats/french/2015/Cholet,2015,french,Chris-Oliver-26130,Cholet
Jeremy Nzeulie,Nanterre,34,15.6,13.7,2.5,4.5,55.7%,2.4,6.5,37.1%,1.5,2.2,66.7%,0.7,3.7,4.3,3.1,0.8,0.4,2.3,4.3,/profile/Jeremy-Nzeulie-64821/,/stats/french/2015/Nanterre,2015,french,Jeremy-Nzeulie-64821,Nanterre
Brandon Thomas,Nanterre,4,24.3,13.7,4.8,6.4,75.0%,0.8,5.6,14.3%,1.6,1.6,100.0%,0.8,0.4,1.2,2.0,1.6,0.0,2.8,3.2,/profile/Brandon-Thomas-26480/,/stats/french/2015/Nanterre,2015,french,Brandon-Thomas-26480,Nanterre
Judson Wallace,Le Mans,24,25.0,13.7,4.1,7.7,53.2%,1.2,3.5,34.0%,1.8,2.3,81.3%,2.1,6.2,8.4,4.0,2.5,0.4,2.5,5.7,/profile/Judson-Wallace-5408/,/stats/french/2015/Le%20Mans,2015,french,Judson-Wallace-5408,Le%20Mans
Kervin Bristol,Dijon,9,15.6,13.5,6.5,11.8,55.0%,0.0,0.0,0.0%,0.6,1.8,33.3%,3.8,7.1,10.9,0.9,0.6,1.2,1.2,5.6,/profile/Kervin-Bristol-19907/,/stats/french/2015/Dijon,2015,french,Kervin-Bristol-19907,Dijon
Jean-Frederic Morency,Gravelines,34,19.4,13.5,4.1,7.2,56.3%,1.3,4.4,29.2%,1.6,3.0,52.0%,2.1,4.7,6.9,1.1,1.3,0.7,1.9,4.7,/profile/Jean-Frederic-Morency-39499/,/stats/french/2015/Gravelines,2015,french,Jean-Frederic-Morency-39499,Gravelines
Zach Moss,Dijon,32,22.2,13.5,6.1,9.4,64.8%,0.0,0.1,0.0%,1.3,2.1,61.1%,3.4,5.0,8.4,1.6,0.9,0.8,1.9,4.9,/profile/Zach-Moss-39386/,/stats/french/2015/Dijon,2015,french,Zach-Moss-39386,Dijon
Sarra Camara,Limoges,41,12.8,13.4,5.5,11.3,48.3%,0.0,0.1,0.0%,2.4,4.4,55.2%,5.0,7.3,12.3,1.4,1.1,0.6,2.5,4.1,/profile/Sarra-Camara-6168/,/stats/french/2015/Limoges,2015,french,Sarra-Camara-6168,Limoges
Seraphin Saumont,Gravelines,3,1.0,13.4,0.0,0.0,0.0%,0.0,0.0,0.0%,13.4,26.7,50.0%,0.0,13.4,13.4,0.0,0.0,0.0,13.4,0.0,/profile/Seraphin-Saumont-73163/,/stats/french/2015/Gravelines,2015,french,Seraphin-Saumont-73163,Gravelines
Andrew Albicy,Gravelines,34,33.0,13.3,1.5,3.9,37.6%,2.5,7.8,32.0%,2.9,3.7,77.9%,0.6,2.5,3.1,6.4,2.5,0.0,1.9,2.9,/profile/Andrew-Albicy-5939/,/stats/french/2015/Gravelines,2015,french,Andrew-Albicy-5939,Gravelines
Alexandre Chassang,Villeurbanne,31,12.3,13.3,3.9,6.0,65.5%,1.5,4.9,31.1%,0.9,1.6,53.3%,2.4,4.4,6.8,2.4,0.8,0.9,1.9,6.1,/profile/Alexandre-Chassang-62394/,/stats/french/2015/Villeurbanne,2015,french,Alexandre-Chassang-62394,Villeurbanne
Trent Plaisted,Limoges,31,12.6,13.3,5.9,10.0,58.6%,0.0,0.0,0.0%,1.5,3.8,40.5%,3.8,4.6,8.3,1.5,1.2,0.6,3.2,6.5,/profile/Trent-Plaisted-1011/,/stats/french/2015/Limoges,2015,french,Trent-Plaisted-1011,Limoges
Antoine Mendy,Dijon,32,23.0,13.3,3.5,7.1,50.0%,1.2,4.3,27.3%,2.7,3.6,75.0%,2.2,6.0,8.2,0.8,2.5,0.1,2.7,4.5,/profile/Antoine-Mendy-38665/,/stats/french/2015/Dijon,2015,french,Antoine-Mendy-38665,Dijon
Bandja Sy,Nancy,20,17.7,13.3,5.2,9.0,57.5%,0.7,3.4,20.0%,0.9,2.0,44.4%,2.7,5.3,8.0,1.8,1.7,1.2,2.9,3.6,/profile/Bandja-Sy-5666/,/stats/french/2015/Nancy,2015,french,Bandja-Sy-5666,Nancy
Alexis Thomas,Nancy,5,2.4,13.3,6.6,10.0,66.7%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,3.3,3.3,0.0,0.0,0.0,0.0,6.6,/profile/Alexis-Thomas-77033/,/stats/french/2015/Nancy,2015,french,Alexis-Thomas-77033,Nancy
Will Yeguete,Le Havre,35,15.8,13.1,5.2,9.9,52.2%,0.1,0.4,20.0%,2.6,5.1,50.0%,4.4,9.7,14.1,1.7,1.8,0.9,2.5,4.7,/profile/Will-Yeguete-6518/,/stats/french/2015/Le%20Havre,2015,french,Will-Yeguete-6518,Le%20Havre
Fernando Raposo,Orleans,32,18.6,13.1,5.9,8.8,67.4%,0.0,0.0,0.0%,1.3,4.3,30.2%,2.5,4.4,6.9,2.4,0.5,0.7,3.6,3.9,/profile/Fernando-Raposo-5698/,/stats/french/2015/Orleans,2015,french,Fernando-Raposo-5698,Orleans
Rodney Green,Bourg,6,22.7,13.1,4.0,8.0,50.0%,0.6,1.1,50.0%,3.4,4.6,75.0%,0.9,4.6,5.4,6.0,0.6,0.0,2.3,3.1,/profile/Rodney-Green-1208/,/stats/french/2015/Bourg,2015,french,Rodney-Green-1208,Bourg
Maleye NDoye,Paris-Levallois,34,17.6,13.0,2.5,6.6,37.0%,2.3,6.7,33.7%,1.3,1.7,76.0%,2.0,2.5,4.5,2.7,1.7,0.3,2.2,4.5,/profile/Maleye-NDoye-5470/,/stats/french/2015/Paris-Levallois,2015,french,Maleye-NDoye-5470,Paris-Levallois
Rudy Jomby,Cholet,34,21.7,12.9,2.4,4.7,51.1%,2.5,7.9,32.0%,0.6,1.0,57.9%,0.9,6.5,7.4,3.0,1.6,0.3,2.4,3.4,/profile/Rudy-Jomby-5487/,/stats/french/2015/Cholet,2015,french,Rudy-Jomby-5487,Cholet
Mickael Gelabale,Limoges,28,19.3,12.8,4.0,7.2,55.1%,0.9,2.9,30.8%,2.2,2.7,83.3%,1.5,5.2,6.8,2.3,0.7,0.2,1.9,2.9,/profile/Mickael-Gelabale-104/,/stats/french/2015/Limoges,2015,french,Mickael-Gelabale-104,Limoges
Landing Sane,Paris-Levallois,32,18.0,12.8,3.0,7.0,43.6%,1.8,6.6,27.1%,1.3,1.9,67.9%,2.6,5.1,7.7,1.9,1.4,1.9,1.6,4.7,/profile/Landing-Sane-39923/,/stats/french/2015/Paris-Levallois,2015,french,Landing-Sane-39923,Paris-Levallois
Florent Pietrus,Nancy,28,32.1,12.7,4.6,7.2,63.2%,0.2,0.6,38.5%,2.9,4.0,72.5%,4.1,5.4,9.5,2.0,1.1,0.8,2.2,3.3,/profile/Florent-Pietrus-5394/,/stats/french/2015/Nancy,2015,french,Florent-Pietrus-5394,Nancy
Loic Akono,Boulogne,34,17.2,12.6,2.1,4.4,47.0%,2.2,6.1,37.0%,1.8,2.2,81.8%,0.4,3.3,3.7,5.6,1.7,0.0,3.4,3.2,/profile/Loic-Akono-37999/,/stats/french/2015/Boulogne,2015,french,Loic-Akono-37999,Boulogne
Louis Labeyrie,Paris-Levallois,33,16.8,12.5,3.8,6.7,56.4%,1.0,3.6,28.0%,1.9,2.6,72.2%,2.5,5.9,8.4,1.5,1.3,1.8,1.5,5.4,/profile/Louis-Labeyrie-40296/,/stats/french/2015/Paris-Levallois,2015,french,Louis-Labeyrie-40296,Paris-Levallois
Trent Meacham,Villeurbanne,16,29.8,12.4,2.2,4.9,44.6%,2.1,5.8,35.8%,1.8,2.6,70.0%,0.8,2.8,3.6,7.9,1.2,0.3,2.1,3.9,/profile/Trent-Meacham-5068/,/stats/french/2015/Villeurbanne,2015,french,Trent-Meacham-5068,Villeurbanne
William Gradit,Chalon,37,24.4,12.3,2.9,6.4,44.8%,1.9,5.3,35.3%,1.0,1.6,61.1%,1.4,3.4,4.9,2.1,1.3,0.3,2.2,3.3,/profile/William-Gradit-37129/,/stats/french/2015/Chalon,2015,french,William-Gradit-37129,Chalon
Laurence Ekperigin,Nanterre,34,15.9,12.2,5.0,8.3,60.5%,0.0,0.1,0.0%,2.2,3.8,59.6%,4.3,6.4,10.7,1.8,1.8,0.9,2.9,3.5,/profile/Laurence-Ekperigin-39924/,/stats/french/2015/Nanterre,2015,french,Laurence-Ekperigin-39924,Nanterre
Chris Roberts,Bourg,20,18.4,12.2,3.8,7.9,48.0%,1.1,4.5,23.3%,1.5,2.1,70.0%,0.9,3.1,4.0,2.3,1.5,0.2,2.2,3.3,/profile/Chris-Roberts-22495/,/stats/french/2015/Bourg,2015,french,Chris-Roberts-22495,Bourg
Cedrick Banks,Cholet,18,25.7,12.2,2.7,5.0,53.3%,1.9,6.7,28.8%,1.1,1.6,68.4%,0.8,3.0,3.8,6.6,1.4,0.3,2.8,3.2,/profile/Cedrick-Banks-5611/,/stats/french/2015/Cholet,2015,french,Cedrick-Banks-5611,Cholet
J.K. Edwards,Gravelines,21,24.4,12.1,5.4,11.2,48.3%,0.0,0.1,0.0%,1.3,2.0,68.0%,2.7,6.6,9.3,3.2,1.9,0.5,2.3,4.0,/profile/J.K.-Edwards-32037/,/stats/french/2015/Gravelines,2015,french,J.K.-Edwards-32037,Gravelines
Joseph Gomis,Nanterre,30,14.0,12.1,3.0,5.7,52.5%,1.5,4.1,36.4%,1.7,2.1,78.3%,0.7,2.7,3.3,4.5,1.4,0.0,3.3,2.7,/profile/Joseph-Gomis-5376/,/stats/french/2015/Nanterre,2015,french,Joseph-Gomis-5376,Nanterre
Charles-Henri Bronchard,Pau-Orthez,32,13.2,12.1,3.6,9.0,40.2%,0.6,2.3,28.0%,2.9,3.6,79.5%,2.8,4.8,7.6,2.0,1.4,0.2,2.9,2.6,/profile/Charles-Henri-Bronchard-68187/,/stats/french/2015/Pau-Orthez,2015,french,Charles-Henri-Bronchard-68187,Pau-Orthez
Coleman Collins,Gravelines,13,15.6,12.0,4.5,8.7,52.3%,0.0,0.0,0.0%,3.0,5.3,55.6%,2.6,4.3,6.9,1.4,0.8,0.6,1.6,3.2,/profile/Coleman-Collins-1006/,/stats/french/2015/Gravelines,2015,french,Coleman-Collins-1006,Gravelines
Axel Bouteille,Chalon,35,9.7,11.9,4.1,7.5,55.6%,0.5,1.3,36.4%,2.2,2.7,82.6%,3.9,3.7,7.6,1.9,1.2,0.7,1.5,3.3,/profile/Axel-Bouteille-68762/,/stats/french/2015/Chalon,2015,french,Axel-Bouteille-68762,Chalon
Abdoulaye Mbaye,Rouen,11,22.5,11.9,2.7,6.1,44.7%,1.5,4.8,30.0%,2.1,2.6,81.3%,0.6,2.3,2.9,4.0,1.1,0.0,1.6,2.6,/profile/Abdoulaye-Mbaye-5484/,/stats/french/2015/Rouen,2015,french,Abdoulaye-Mbaye-5484,Rouen
