Player,Team,G,MP,PTS,FGA,PTS_per_Play,TS_Pct,eFG_Pct,FT_Rate,Three_Pt_Rate,AST,AST_to_FGA_Ratio,AST_to_TO_Ratio,PPR,STL,BLK,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Luis Silva,Queluz,9,9.1,1.8,1.2,0.89,0.67,0.64,0.18,0.27,0.00,0.00,0.00,-7.36,0.1,0.0,2.3,/profile/Luis-Silva-38005/,/stats/eurocup/2006/Queluz,2006,eurocup,Luis-Silva-38005,Queluz
Anthony Lever,Villeurbanne,4,9.1,8.0,3.3,1.68,0.92,0.85,0.77,0.62,0.75,0.23,3.00,2.87,0.0,0.0,1.5,/profile/Anthony-Lever-34315/,/stats/eurocup/2006/Villeurbanne,2006,eurocup,Anthony-Lever-34315,Villeurbanne
Slobodan Popovic,FMP Belgrade,11,9.0,2.2,2.7,0.61,0.36,0.35,0.23,0.30,0.45,0.17,0.83,-2.81,0.2,0.1,1.2,/profile/Slobodan-Popovic-37064/,/stats/eurocup/2006/FMP%20Belgrade,2006,eurocup,Slobodan-Popovic-37064,FMP%20Belgrade
Alton Ford,Anwil,1,9.0,0.0,1.0,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,-23.34,0.0,0.0,1.0,/profile/Alton-Ford-2439/,/stats/eurocup/2006/Anwil,2006,eurocup,Alton-Ford-2439,Anwil
Vujadin Subotic,Red Star,6,8.9,2.0,2.8,0.57,0.35,0.35,0.00,0.41,0.17,0.06,0.25,-6.20,0.2,0.0,0.8,/profile/Vujadin-Subotic-36528/,/stats/eurocup/2006/Red%20Star,2006,eurocup,Vujadin-Subotic-36528,Red%20Star
Alexander Koul,Aris,17,8.9,4.4,2.8,0.84,0.58,0.62,0.87,0.00,0.06,0.02,0.05,-13.69,0.3,0.3,1.5,/profile/Alexander-Koul-36570/,/stats/eurocup/2006/Aris,2006,eurocup,Alexander-Koul-36570,Aris
Ivan Todorovic,FMP Belgrade,11,8.9,2.6,1.7,0.83,0.58,0.47,0.74,0.00,0.00,0.00,0.00,-9.65,0.3,0.3,1.1,/profile/Ivan-Todorovic-37924/,/stats/eurocup/2006/FMP%20Belgrade,2006,eurocup,Ivan-Todorovic-37924,FMP%20Belgrade
Sacha Massot,Charleroi,5,8.9,2.0,1.4,0.80,0.54,0.57,0.71,0.29,0.00,0.00,0.00,-6.90,0.4,0.2,0.8,/profile/Sacha-Massot-38557/,/stats/eurocup/2006/Charleroi,2006,eurocup,Sacha-Massot-38557,Charleroi
Hugo Sterk,Bree,2,8.8,0.5,0.0,1.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.0,/profile/Hugo-Sterk-38396/,/stats/eurocup/2006/Bree,2006,eurocup,Hugo-Sterk-38396,Bree
Riste Stefanov,Sofia,11,8.6,2.1,2.4,0.82,0.44,0.44,0.00,0.81,0.55,0.23,3.00,2.06,0.1,0.0,1.6,/profile/Riste-Stefanov-5560/,/stats/eurocup/2006/Sofia,2006,eurocup,Riste-Stefanov-5560,Sofia
George Tsintsadze,Dynamo Moscow,6,8.5,2.5,1.2,0.77,0.68,0.71,1.29,0.29,0.67,0.57,0.50,-10.15,0.3,0.0,0.8,/profile/George-Tsintsadze-202/,/stats/eurocup/2006/Dynamo%20Moscow,2006,eurocup,George-Tsintsadze-202,Dynamo%20Moscow
Dimitrios Mavroeidis,Panionios,8,8.5,2.3,1.5,0.90,0.58,0.58,0.67,0.00,0.00,0.00,0.00,-6.03,0.6,0.4,1.4,/profile/Dimitrios-Mavroeidis-5799/,/stats/eurocup/2006/Panionios,2006,eurocup,Dimitrios-Mavroeidis-5799,Panionios
Gintaras Kadziulis,Anwil,1,8.5,0.0,2.0,0.00,0.00,0.00,0.00,0.50,1.00,0.50,1.00,-4.12,1.0,0.0,0.0,/profile/Gintaras-Kadziulis-38386/,/stats/eurocup/2006/Anwil,2006,eurocup,Gintaras-Kadziulis-38386,Anwil
Stephen Arigbabu,Alba Berlin,10,8.5,1.8,1.4,0.72,0.47,0.36,0.86,0.00,0.00,0.00,0.00,-5.44,0.5,0.1,1.6,/profile/Stephen-Arigbabu-37075/,/stats/eurocup/2006/Alba%20Berlin,2006,eurocup,Stephen-Arigbabu-37075,Alba%20Berlin
Georgi Davidov,Sofia,8,8.4,1.1,1.3,0.50,0.33,0.20,0.80,0.20,0.00,0.00,0.00,-5.76,0.0,0.1,1.0,/profile/Georgi-Davidov-37885/,/stats/eurocup/2006/Sofia,2006,eurocup,Georgi-Davidov-37885,Sofia
Sergey Romanov,Dynamo Moscow,7,8.3,4.0,2.9,1.08,0.64,0.60,0.20,0.10,0.57,0.20,1.00,-2.25,0.4,0.0,0.6,/profile/Sergey-Romanov-38570/,/stats/eurocup/2006/Dynamo%20Moscow,2006,eurocup,Sergey-Romanov-38570,Dynamo%20Moscow
Herbert Baert,Bree,8,7.9,2.0,2.4,0.67,0.39,0.37,0.21,0.16,0.25,0.11,0.67,-2.54,0.6,0.1,1.8,/profile/Herbert-Baert-38394/,/stats/eurocup/2006/Bree,2006,eurocup,Herbert-Baert-38394,Bree
Fedor Likholitov,Dynamo Moscow,11,7.8,3.5,2.3,0.84,0.57,0.56,0.76,0.00,0.45,0.20,0.45,-8.70,0.5,0.5,0.7,/profile/Fedor-Likholitov-37313/,/stats/eurocup/2006/Dynamo%20Moscow,2006,eurocup,Fedor-Likholitov-37313,Dynamo%20Moscow
Velimir Radinovic,FMP Belgrade,4,7.5,1.0,0.5,1.33,1.00,1.00,0.00,0.00,0.50,1.00,2.00,1.16,0.3,0.8,1.0,/profile/Velimir-Radinovic-30938/,/stats/eurocup/2006/FMP%20Belgrade,2006,eurocup,Velimir-Radinovic-30938,FMP%20Belgrade
