Player,Team,G,MP,PTS,FG_2P,FG_2PA,FG_2P_Pct,FG_3P,FGA_3P,FG_3P_Pct,FT,FTA,FT_Pct,OREB,DREB,REB,AST,STL,BLK,TO,PF,Player_Link,Team_Link,Season,League,DX_Player_ID,DX_Team_ID
Matjaz Smodis,Virtus Bologna,19,23.8,21.9,5.6,9.3,59.4%,2.3,4.7,49.1%,3.9,4.9,78.6%,2.6,4.9,7.4,1.9,1.8,1.1,4.1,4.8,/profile/Matjaz-Smodis-5114/,/stats/italian/2003/Virtus%20Bologna,2003,italian,Matjaz-Smodis-5114,Virtus%20Bologna
Samuel Hines,Cantu,37,31.6,21.6,5.1,10.0,51.0%,2.3,5.7,39.8%,4.6,5.4,85.4%,2.0,4.7,6.7,1.4,2.7,0.3,3.6,4.2,/profile/Samuel-Hines-36414/,/stats/italian/2003/Cantu,2003,italian,Samuel-Hines-36414,Cantu
Tyus Edney,Treviso,45,28.6,21.6,6.4,12.0,53.3%,1.2,3.6,33.9%,5.1,5.9,86.2%,1.4,2.8,4.2,5.5,2.8,0.1,3.9,2.3,/profile/Tyus-Edney-2323/,/stats/italian/2003/Treviso,2003,italian,Tyus-Edney-2323,Treviso
Bryan Bracey,Avellino,10,28.3,21.2,2.5,5.8,42.9%,4.2,10.8,38.5%,3.7,4.7,79.4%,0.8,2.4,3.2,0.1,1.7,0.0,3.5,3.2,/profile/Bryan-Bracey-35783/,/stats/italian/2003/Avellino,2003,italian,Bryan-Bracey-35783,Avellino
Marko Milic,Roseto,37,30.1,21.0,8.0,13.8,58.1%,0.3,1.6,18.2%,4.1,6.7,60.7%,3.2,3.8,7.0,3.8,3.4,0.1,4.8,3.9,/profile/Marko-Milic-3594/,/stats/italian/2003/Roseto,2003,italian,Marko-Milic-3594,Roseto
Demetrius Alexander,Udine,33,27.3,20.8,6.7,12.3,54.4%,1.4,3.9,35.2%,3.3,4.2,78.7%,2.6,6.2,8.8,1.4,2.6,0.7,4.8,3.4,/profile/Demetrius-Alexander-5564/,/stats/italian/2003/Udine,2003,italian,Demetrius-Alexander-5564,Udine
Aaron McGhee,Pesaro,17,25.5,20.5,6.6,14.7,44.7%,0.7,1.9,38.1%,5.2,7.3,71.3%,5.3,5.7,11.0,0.1,2.8,0.7,3.5,5.1,/profile/Aaron-McGhee-34335/,/stats/italian/2003/Pesaro,2003,italian,Aaron-McGhee-34335,Pesaro
Emilio Kovacic,Fortitudo Bologna,39,17.8,20.4,7.0,12.9,54.5%,0.9,2.3,37.5%,3.7,5.9,63.7%,3.9,7.8,11.7,1.0,2.7,1.2,2.9,5.5,/profile/Emilio-Kovacic-35451/,/stats/italian/2003/Fortitudo%20Bologna,2003,italian,Emilio-Kovacic-35451,Fortitudo%20Bologna
Oscar Torres,Napoli,18,28.6,20.3,4.0,8.7,46.4%,2.7,5.5,49.3%,4.2,5.8,72.0%,1.5,6.0,7.5,1.5,2.7,0.3,2.9,3.8,/profile/Oscar-Torres-4630/,/stats/italian/2003/Napoli,2003,italian,Oscar-Torres-4630,Napoli
Trajan Langdon,Treviso,46,29.2,20.3,4.0,7.7,52.1%,3.3,7.3,44.7%,2.5,3.2,76.8%,0.9,3.2,4.1,1.8,2.5,0.2,2.6,3.6,/profile/Trajan-Langdon-3256/,/stats/italian/2003/Treviso,2003,italian,Trajan-Langdon-3256,Treviso
