RSCI_Rank,Player,Draft_Pick,Draft_Year,NBA_EWA,Player_Link,Rank_Year,DX_Player_ID
132,"			
												Justin Hankins
											","
											"," 
											",-,/profile/Justin-Hankins-53457/,1998,Justin-Hankins-53457
133,"			
												Moses Malone
											","
											"," 
											",-,/profile/Moses-Malone-32553/,1998,Moses-Malone-32553
134,"			
												Nick Sinville
											","
											"," 
											",-,/profile/Nick-Sinville-32371/,1998,Nick-Sinville-32371
135,"			
												David Sanders
											","
											"," 
											",-,/profile/David-Sanders-32930/,1998,David-Sanders-32930
136,"			
												Syniker Taylor
											","
											"," 
											",-,/profile/Syniker-Taylor-53458/,1998,Syniker-Taylor-53458
136,"			
												Kevin Frey
											","
											"," 
											",-,/profile/Kevin-Frey-35326/,1998,Kevin-Frey-35326
138,"			
												Todd Tackett
											","
											"," 
											",-,/profile/Todd-Tackett-53459/,1998,Todd-Tackett-53459
138,"			
												Rod Thompson
											","
											"," 
											",-,/profile/Rod-Thompson-34738/,1998,Rod-Thompson-34738
140,"			
												Altron Jackson
											","
											"," 
											",-,/profile/Altron-Jackson-34138/,1998,Altron-Jackson-34138
140,"			
												Jobey Thomas
											","
											"," 
											",-,/profile/Jobey-Thomas-5538/,1998,Jobey-Thomas-5538
142,"			
												Phil Cullen
											","
											"," 
											",-,/profile/Phil-Cullen-33896/,1998,Phil-Cullen-33896
1,"			
												Donnell Harvey
											","
													22
											"," 
												2000
											",0.40,/profile/Donnell-Harvey-2751/,1999,Donnell-Harvey-2751
2,"			
												Keith Bogans
											","
													43
											"," 
												2003
											",-0.69,/profile/Keith-Bogans-1715/,1999,Keith-Bogans-1715
3,"			
												Dermarr Johnson
											","
													6
											"," 
												2000
											",0.07,/profile/Dermarr-Johnson-3000/,1999,Dermarr-Johnson-3000
4,"			
												Jay Williams
											","
													2
											"," 
												2002
											",1.28,/profile/Jay-Williams-4925/,1999,Jay-Williams-4925
5,"			
												Joseph Forte
											","
													21
											"," 
												2001
											",-0.23,/profile/Joseph-Forte-2449/,1999,Joseph-Forte-2449
6,"			
												Marvin Stone
											","
											"," 
											",-,/profile/Marvin-Stone-33039/,1999,Marvin-Stone-33039
7,"			
												LaVell Blanchard
											","
											"," 
											",-,/profile/LaVell-Blanchard-32951/,1999,LaVell-Blanchard-32951
8,"			
												Brett Nelson
											","
											"," 
											",-,/profile/Brett-Nelson-33316/,1999,Brett-Nelson-33316
9,"			
												Carlos Boozer
											","
													34
											"," 
												2002
											",8.87,/profile/Carlos-Boozer-1734/,1999,Carlos-Boozer-1734
9,"			
												Jonathan Bender
											","
													5
											"," 
												1999
											",0.03,/profile/Jonathan-Bender-1656/,1999,Jonathan-Bender-1656
