Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Raymond Brown,1990,1990,F,6-8,220.0,1965-07-05,University of Idaho,/players/b/brownra01.html,brownra01,0,80.0
Rickey Brown,1981,1985,C-F,6-10,215.0,1958-08-20,Mississippi State University,/players/b/brownri01.html,brownri01,0,82.0
Roger Brown,1968,1975,F-G,6-5,205.0,1942-05-22,University of Dayton,/players/b/brownro01.html,brownro01,1,77.0
Roger Brown,1973,1980,C,6-11,225.0,1950-02-23,University of Kansas,/players/b/brownro02.html,brownro02,0,83.0
Shannon Brown,2007,2015,G,6-4,205.0,1985-11-29,Michigan State University,/players/b/brownsh01.html,brownsh01,0,76.0
Stan Brown,1948,1952,F,6-3,200.0,1929-06-27,,/players/b/brownst01.html,brownst01,0,75.0
Tierre Brown,2002,2005,G,6-2,189.0,1979-06-03,McNeese State University,/players/b/brownti01.html,brownti01,0,74.0
Tony Brown,1985,1992,F-G,6-6,185.0,1960-07-29,University of Arkansas,/players/b/brownto01.html,brownto01,0,78.0
Jim Browne,1949,1950,C,6-10,235.0,1930-01-01,,/players/b/brownji01.html,brownji01,0,82.0
Stanley Brundy,1990,1990,F,6-6,210.0,1967-11-13,DePaul University,/players/b/brundst01.html,brundst01,0,78.0
Brian Brunkhorst,1969,1969,F,6-6,208.0,1945-06-12,Marquette University,/players/b/brunkbr01.html,brunkbr01,0,78.0
George Bruns,1973,1973,G,6-0,160.0,1946-08-30,Manhattan College,/players/b/brunsge01.html,brunsge01,0,72.0
Rick Brunson,1998,2006,G,6-4,190.0,1972-06-14,Temple University,/players/b/brunsri01.html,brunsri01,0,76.0
Nicolas Brussino,2017,2017,G-F,6-7,195.0,1993-03-02,,/players/b/brussni01.html,brussni01,0,79.0
Em Bryant,1965,1972,G,6-1,175.0,1938-11-04,DePaul University,/players/b/bryanem01.html,bryanem01,0,73.0
Joe Bryant,1976,1983,F-C,6-9,185.0,1954-10-19,La Salle University,/players/b/bryanjo01.html,bryanjo01,0,81.0
Kobe Bryant,1997,2016,G-F,6-6,212.0,1978-08-23,,/players/b/bryanko01.html,bryanko01,0,78.0
Mark Bryant,1989,2003,F-C,6-9,245.0,1965-04-25,Seton Hall University,/players/b/bryanma01.html,bryanma01,0,81.0
Wallace Bryant,1984,1986,C,7-0,245.0,1959-07-14,University of San Francisco,/players/b/bryanwa01.html,bryanwa01,0,84.0
Torgeir Bryn,1990,1990,C,6-9,250.0,1964-08-08,Texas State University,/players/b/brynto01.html,brynto01,0,81.0
George Bucci,1976,1976,G,6-3,200.0,1953-07-09,Manhattan College,/players/b/buccige01.html,buccige01,0,75.0
Joe Buckhalter,1962,1963,F,6-7,210.0,1937-08-01,Tennessee State University,/players/b/buckhjo01.html,buckhjo01,0,79.0
Steve Bucknall,1990,1990,G,6-6,215.0,1966-03-17,University of North Carolina,/players/b/bucknst01.html,bucknst01,0,78.0
Cleveland Buckner,1962,1963,F-C,6-9,210.0,1938-08-17,Jackson State University,/players/b/buckncl01.html,buckncl01,0,81.0
Greg Buckner,2000,2009,G,6-4,210.0,1976-09-16,Clemson University,/players/b/buckngr01.html,buckngr01,0,76.0
Quinn Buckner,1977,1986,G,6-3,190.0,1954-08-20,Indiana University,/players/b/bucknqu01.html,bucknqu01,0,75.0
Dave Budd,1961,1965,F,6-6,205.0,1938-10-28,Wake Forest University,/players/b/buddda01.html,buddda01,0,78.0
Chase Budinger,2010,2016,F,6-7,209.0,1988-05-22,University of Arizona,/players/b/budinch01.html,budinch01,0,79.0
Walt Budko,1949,1952,F-C,6-5,220.0,1925-07-30,Columbia University,/players/b/budkowa01.html,budkowa01,0,77.0
Jud Buechler,1991,2002,F-G,6-6,220.0,1968-06-19,University of Arizona,/players/b/buechju01.html,buechju01,0,78.0
Rodney Buford,2000,2005,G-F,6-5,189.0,1977-11-02,Creighton University,/players/b/buforro01.html,buforro01,0,77.0
Matt Bullard,1991,2002,F,6-10,215.0,1967-06-05,University of Iowa,/players/b/bullama01.html,bullama01,0,82.0
Reggie Bullock,2014,2017,G-F,6-7,205.0,1991-03-16,University of North Carolina,/players/b/bullore01.html,bullore01,0,79.0
Larry Bunce,1968,1969,C,7-0,240.0,1945-07-29,Utah State University,/players/b/buncela01.html,buncela01,0,84.0
Greg Bunch,1979,1979,F,6-6,190.0,1956-05-15,"California State University, Fullerton",/players/b/bunchgr01.html,bunchgr01,0,78.0
Dick Bunt,1953,1953,G,6-0,170.0,1930-07-13,New York University,/players/b/buntdi01.html,buntdi01,0,72.0
Bill Buntin,1966,1966,C-F,6-7,250.0,1942-05-05,University of Michigan,/players/b/buntibi01.html,buntibi01,0,79.0
Bill Bunting,1970,1972,F-C,6-8,200.0,1947-08-26,University of North Carolina,/players/b/buntibi02.html,buntibi02,0,80.0
Ticky Burden,1976,1978,G,6-2,185.0,1953-02-28,University of Utah,/players/b/burdeti01.html,burdeti01,0,74.0
Pat Burke,2003,2007,C-F,6-11,250.0,1973-12-14,Auburn University,/players/b/burkepa01.html,burkepa01,0,83.0
Trey Burke,2014,2017,G,6-1,191.0,1992-11-12,University of Michigan,/players/b/burketr01.html,burketr01,0,73.0
Roger Burkman,1982,1982,G,6-5,175.0,1958-05-22,University of Louisville,/players/b/burkmro01.html,burkmro01,0,77.0
Alec Burks,2012,2017,G,6-6,214.0,1991-07-20,University of Colorado,/players/b/burksal01.html,burksal01,0,78.0
Antonio Burks,2005,2006,G,6-1,200.0,1980-02-25,University of Memphis,/players/b/burksan01.html,burksan01,0,73.0
Kevin Burleson,2006,2006,G,6-3,205.0,1979-04-09,University of Minnesota,/players/b/burleke01.html,burleke01,0,75.0
Tom Burleson,1975,1981,C,7-2,225.0,1952-02-24,North Carolina State University,/players/b/burleto01.html,burleto01,0,86.0
Jack Burmaster,1950,1950,G,6-3,190.0,1926-12-23,University of Illinois at Urbana-Champaign,/players/b/burmaja01.html,burmaja01,0,75.0
David Burns,1982,1982,G,6-2,180.0,1958-07-03,Saint Louis University,/players/b/burnsda01.html,burnsda01,0,74.0
Evers Burns,1994,1994,F,6-8,260.0,1971-08-24,University of Maryland,/players/b/burnsev01.html,burnsev01,0,80.0
Jim Burns,1968,1968,G,6-3,195.0,1945-09-21,Northwestern University,/players/b/burnsji01.html,burnsji01,0,75.0
Scott Burrell,1994,2001,G-F,6-7,218.0,1971-01-12,University of Connecticut,/players/b/burresc01.html,burresc01,0,79.0
Art Burris,1951,1952,F,6-5,220.0,1924-04-07,University of Tennessee,/players/b/burriar01.html,burriar01,0,77.0
Junior Burrough,1996,1996,F,6-8,242.0,1973-01-18,University of Virginia,/players/b/burroju01.html,burroju01,0,80.0
Bob Burrow,1957,1958,C-F,6-7,228.0,1934-06-29,University of Kentucky,/players/b/burrobo01.html,burrobo01,0,79.0
Ed Burton,1962,1965,F,6-6,225.0,1939-08-13,Michigan State University,/players/b/burtoed01.html,burtoed01,0,78.0
Willie Burton,1991,1999,F-G,6-8,210.0,1968-05-26,University of Minnesota,/players/b/burtowi01.html,burtowi01,0,80.0
Steve Burtt,1985,1993,G,6-2,185.0,1962-11-05,Iona College,/players/b/burttst01.html,burttst01,0,74.0
Don Buse,1973,1985,G,6-4,190.0,1950-08-10,University of Evansville,/players/b/busedo01.html,busedo01,0,76.0
David Bustion,1973,1973,F,6-8,215.0,1949-08-30,University of Denver,/players/b/bustida01.html,bustida01,0,80.0
Donnie Butcher,1962,1966,G,6-2,200.0,1936-02-08,Pikeville College,/players/b/butchdo01.html,butchdo01,0,74.0
Al Butler,1962,1965,G,6-2,175.0,1938-07-09,Niagara University,/players/b/butleal01.html,butleal01,0,74.0
Caron Butler,2003,2016,F,6-7,228.0,1980-03-13,University of Connecticut,/players/b/butleca01.html,butleca01,0,79.0
Greg Butler,1989,1991,C,6-11,240.0,1966-03-11,Stanford University,/players/b/butlegr01.html,butlegr01,0,83.0
Jackie Butler,2005,2007,F-C,6-10,250.0,1985-03-10,,/players/b/butleja01.html,butleja01,0,82.0
Jimmy Butler,2012,2017,G-F,6-7,220.0,1989-09-14,Marquette University,/players/b/butleji01.html,butleji01,0,79.0
Mike Butler,1969,1972,G,6-2,170.0,1946-10-22,University of Memphis,/players/b/butlemi01.html,butlemi01,0,74.0
Mitchell Butler,1994,2004,G-F,6-5,210.0,1970-12-15,"University of California, Los Angeles",/players/b/butlemi02.html,butlemi02,0,77.0
Rasual Butler,2003,2016,F-G,6-7,215.0,1979-05-23,La Salle University,/players/b/butlera01.html,butlera01,0,79.0
Dwight Buycks,2014,2015,G,6-3,190.0,1989-03-06,Marquette University,/players/b/buyckdw01.html,buyckdw01,0,75.0
Derrick Byars,2012,2012,F,6-7,220.0,1984-04-25,Vanderbilt University,/players/b/byarsde01.html,byarsde01,0,79.0
Andrew Bynum,2006,2014,C,7-0,285.0,1987-10-27,,/players/b/bynuman01.html,bynuman01,0,84.0
Will Bynum,2006,2015,G,6-0,185.0,1983-01-04,Georgia Institute of Technology,/players/b/bynumwi01.html,bynumwi01,0,72.0
Walter Byrd,1970,1970,F,6-7,205.0,,Temple University,/players/b/byrdwa01.html,byrdwa01,0,79.0
Marty Byrnes,1979,1983,F,6-7,215.0,1956-04-30,Syracuse University,/players/b/byrnema01.html,byrnema01,0,79.0
Tommy Byrnes,1947,1951,F-G,6-3,175.0,1923-02-19,Seton Hall University,/players/b/byrneto01.html,byrneto01,0,75.0
Michael Bytzura,1947,1947,F,6-1,170.0,1922-06-18,Long Island University,/players/b/bytzumi01.html,bytzumi01,0,73.0
Zarko Cabarkapa,2004,2006,F,6-11,235.0,1981-05-21,,/players/c/cabarza01.html,cabarza01,0,83.0
Barney Cable,1959,1964,F,6-7,175.0,1935-07-29,Bradley University,/players/c/cableba01.html,cableba01,0,79.0
Bruno Caboclo,2015,2017,F,6-9,218.0,1995-09-21,,/players/c/cabocbr01.html,cabocbr01,0,81.0
Jason Caffey,1996,2003,F,6-8,255.0,1973-06-12,University of Alabama,/players/c/caffeja01.html,caffeja01,0,80.0
Michael Cage,1985,2000,F-C,6-9,224.0,1962-01-28,San Diego State University,/players/c/cagemi01.html,cagemi01,0,81.0
Gerry Calabrese,1951,1952,G,6-1,175.0,1925-02-04,St. John's University,/players/c/calabge01.html,calabge01,0,73.0
Nick Calathes,2014,2015,G,6-6,213.0,1989-02-07,University of Florida,/players/c/calatni01.html,calatni01,0,78.0
Jose Calderon,2006,2017,G,6-3,200.0,1981-09-28,,/players/c/caldejo01.html,caldejo01,0,75.0
Adrian Caldwell,1990,1998,F-C,6-8,265.0,1966-07-04,Lamar University,/players/c/caldwad01.html,caldwad01,0,80.0
Jim Caldwell,1968,1969,C,6-10,240.0,1943-01-28,Georgia Institute of Technology,/players/c/caldwji01.html,caldwji01,0,82.0
Joe Caldwell,1965,1975,F-G,6-5,195.0,1941-11-01,Arizona State University,/players/c/caldwjo01.html,caldwjo01,0,77.0
Kentavious Caldwell-Pope,2014,2017,G,6-5,205.0,1993-02-18,University of Georgia,/players/c/caldwke01.html,caldwke01,0,77.0
Bill Calhoun,1949,1955,F-G,6-3,180.0,1927-11-04,City College of San Francisco,/players/c/calhobi01.html,calhobi01,0,75.0
Corky Calhoun,1973,1980,F,6-7,210.0,1950-11-01,University of Pennsylvania,/players/c/calhoco01.html,calhoco01,0,79.0
Demetrius Calip,1992,1992,G,6-1,165.0,1969-11-18,University of Michigan,/players/c/calipde01.html,calipde01,0,73.0
Tom Callahan,1947,1947,G,6-1,180.0,1921-06-02,Rockhurst University,/players/c/callato01.html,callato01,0,73.0
Rick Calloway,1991,1991,F,6-6,180.0,1966-12-12,University of Kansas,/players/c/callori01.html,callori01,0,78.0
Ernie Calverley,1947,1949,G,5-10,145.0,1924-01-30,University of Rhode Island,/players/c/calveer01.html,calveer01,0,70.0
Mack Calvin,1970,1981,G,6-0,165.0,1947-07-27,University of Southern California,/players/c/calvima01.html,calvima01,0,72.0
Dexter Cambridge,1993,1993,F,6-7,224.0,1970-01-29,University of Texas at Austin,/players/c/cambrde01.html,cambrde01,0,79.0
Marcus Camby,1997,2013,C-F,6-11,220.0,1974-03-22,University of Massachusetts Amherst,/players/c/cambyma01.html,cambyma01,0,83.0
Elden Campbell,1991,2005,C,6-11,215.0,1968-07-23,Clemson University,/players/c/campbel01.html,campbel01,0,83.0
Tony Campbell,1985,1995,F-G,6-7,215.0,1962-05-07,Ohio State University,/players/c/campbto01.html,campbto01,0,79.0
Isaiah Canaan,2014,2017,G,6-0,201.0,1991-05-21,Murray State University,/players/c/canaais01.html,canaais01,0,72.0
Larry Cannon,1970,1974,G,6-4,195.0,1947-04-12,La Salle University,/players/c/cannola01.html,cannola01,0,76.0
Clint Capela,2015,2017,F-C,6-10,240.0,1994-05-18,,/players/c/capelca01.html,capelca01,0,82.0
Derrick Caracter,2011,2011,F,6-9,275.0,1988-05-04,University of Texas at El Paso,/players/c/caracde01.html,caracde01,0,81.0
Frank Card,1969,1973,F,6-7,195.0,1944-12-28,South Carolina State University,/players/c/cardfr01.html,cardfr01,0,79.0
Brian Cardinal,2001,2012,F,6-8,245.0,1977-05-02,Purdue University,/players/c/cardibr01.html,cardibr01,0,80.0
Howie Carl,1962,1962,G,5-9,160.0,1938-06-07,DePaul University,/players/c/carlho01.html,carlho01,0,69.0
Chet Carlisle,1947,1947,F-C,6-5,195.0,1916-11-02,University of California,/players/c/carlich01.html,carlich01,0,77.0
Geno Carlisle,2005,2005,G,6-3,180.0,1976-08-13,University of California,/players/c/carlige01.html,carlige01,0,75.0
Rick Carlisle,1985,1990,G,6-5,210.0,1959-10-27,University of Virginia,/players/c/carliri01.html,carliri01,0,77.0
Don Carlos,1969,1969,G-F,6-5,210.0,1944-03-03,Otterbein College,/players/c/carlodo01.html,carlodo01,0,77.0
Al Carlson,1976,1976,C,6-11,235.0,1951-09-17,University of Oregon,/players/c/carlsal01.html,carlsal01,0,83.0
Don Carlson,1947,1951,G-F,6-0,170.0,1919-03-22,University of Minnesota,/players/c/carlsdo01.html,carlsdo01,0,72.0
Bob Carney,1955,1955,G,6-3,170.0,1932-08-03,Bradley University,/players/c/carnebo01.html,carnebo01,0,75.0
Rodney Carney,2007,2011,F,6-7,205.0,1984-04-15,University of Memphis,/players/c/carnero01.html,carnero01,0,79.0
Bob Carpenter,1950,1951,F-C,6-5,200.0,1917-11-06,East Texas State University,/players/c/carpebo01.html,carpebo01,0,77.0
Antoine Carr,1985,2000,F-C,6-9,225.0,1961-07-23,Wichita State University,/players/c/carran01.html,carran01,0,81.0
Austin Carr,1972,1981,G,6-4,200.0,1948-03-10,University of Notre Dame,/players/c/carrau01.html,carrau01,0,76.0
Chris Carr,1996,2001,G,6-5,207.0,1974-03-12,Southern Illinois University,/players/c/carrch01.html,carrch01,0,77.0
Cory Carr,1999,1999,G,6-3,210.0,1975-12-05,Texas Tech University,/players/c/carrco01.html,carrco01,0,75.0
Kenny Carr,1978,1987,F,6-7,220.0,1955-08-15,North Carolina State University,/players/c/carrke01.html,carrke01,0,79.0
M.L. Carr,1976,1985,F-G,6-6,205.0,1951-01-09,Guilford College,/players/c/carrml01.html,carrml01,0,78.0
Darel Carrier,1968,1973,G,6-3,185.0,1940-10-26,Western Kentucky University,/players/c/carrida01.html,carrida01,0,75.0
Bob Carrington,1978,1980,G-F,6-6,195.0,1953-07-03,Boston College,/players/c/carribo01.html,carribo01,0,78.0
DeMarre Carroll,2010,2017,F,6-8,215.0,1986-07-27,University of Missouri,/players/c/carrode01.html,carrode01,0,80.0
Joe Barry Carroll,1981,1991,C-F,7-0,225.0,1958-07-24,Purdue University,/players/c/carrojo01.html,carrojo01,0,84.0
Matt Carroll,2004,2013,G,6-6,212.0,1980-08-28,University of Notre Dame,/players/c/carroma01.html,carroma01,0,78.0
Jimmy Carruth,1997,1997,C-F,6-10,265.0,1969-11-04,Virginia Polytechnic Institute and State University,/players/c/carruji01.html,carruji01,0,82.0
Anthony Carter,2000,2012,G,6-1,190.0,1975-06-16,University of Hawaii,/players/c/cartean01.html,cartean01,0,73.0
Butch Carter,1981,1986,G,6-5,180.0,1958-06-11,Indiana University,/players/c/cartebu01.html,cartebu01,0,77.0
Fred Carter,1970,1977,G-F,6-3,185.0,1945-02-14,Mount St. Mary's University,/players/c/cartefr01.html,cartefr01,0,75.0
George Carter,1968,1976,F-G,6-4,210.0,1944-01-10,St. Bonaventure University,/players/c/cartege01.html,cartege01,0,76.0
Howard Carter,1984,1985,G,6-5,215.0,1961-10-26,Louisiana State University,/players/c/carteho01.html,carteho01,0,77.0
Jake Carter,1950,1950,F-C,6-4,195.0,1924-07-25,East Texas State University,/players/c/carteja01.html,carteja01,0,76.0
Maurice Carter,2004,2004,G,6-5,210.0,1976-10-12,Louisiana State University,/players/c/cartema01.html,cartema01,0,77.0
Reggie Carter,1981,1982,G,6-3,175.0,1957-10-10,St. John's University,/players/c/cartere01.html,cartere01,0,75.0
Ron Carter,1979,1980,G,6-5,190.0,1956-08-31,Virginia Military Institute,/players/c/cartero01.html,cartero01,0,77.0
Vince Carter,1999,2017,G-F,6-6,220.0,1977-01-26,University of North Carolina,/players/c/cartevi01.html,cartevi01,0,78.0
Michael Carter-Williams,2014,2017,G,6-6,190.0,1991-10-10,Syracuse University,/players/c/cartemi01.html,cartemi01,0,78.0
Bill Cartwright,1980,1995,C,7-1,245.0,1957-07-30,University of San Francisco,/players/c/cartwbi01.html,cartwbi01,0,85.0
Jay Carty,1969,1969,F,6-8,220.0,1941-07-04,Oregon State University,/players/c/cartyja01.html,cartyja01,0,80.0
Cornelius Cash,1977,1977,F,6-8,215.0,1952-03-03,Bowling Green State University,/players/c/cashco01.html,cashco01,0,80.0
Sam Cash,1973,1973,F,6-8,230.0,1950-11-13,"University of California, Riverside",/players/c/cashsa01.html,cashsa01,0,80.0
Sam Cassell,1994,2008,G,6-3,185.0,1969-11-18,Florida State University,/players/c/cassesa01.html,cassesa01,0,75.0
Omri Casspi,2010,2017,F,6-9,225.0,1988-06-22,,/players/c/casspom01.html,casspom01,0,81.0
Harvey Catchings,1975,1985,C-F,6-9,218.0,1951-09-02,Hardin-Simmons University,/players/c/catchha01.html,catchha01,0,81.0
Terry Catledge,1986,1993,F,6-8,220.0,1963-08-22,University of South Alabama,/players/c/catlete01.html,catlete01,0,80.0
Sid Catlett,1972,1972,F,6-6,230.0,1948-04-18,University of Notre Dame,/players/c/catlesi01.html,catlesi01,0,78.0
Kelvin Cato,1998,2007,C,6-11,255.0,1974-08-26,Iowa State University,/players/c/catoke01.html,catoke01,0,83.0
Bobby Cattage,1982,1986,F,6-9,250.0,1958-08-17,Auburn University,/players/c/cattabo01.html,cattabo01,0,81.0
Willie Cauley-Stein,2016,2017,F-C,7-0,240.0,1993-08-18,University of Kentucky,/players/c/caulewi01.html,caulewi01,0,84.0
Duane Causwell,1991,2001,C,7-0,240.0,1968-05-31,Temple University,/players/c/causwdu01.html,causwdu01,0,84.0
Ron Cavenall,1985,1989,C,7-1,230.0,1959-04-30,Texas Southern University,/players/c/cavenro01.html,cavenro01,0,85.0
Cedric Ceballos,1991,2001,F,6-6,190.0,1969-08-02,"California State University, Fullerton",/players/c/cebalce01.html,cebalce01,0,78.0
John Celestand,2000,2000,G,6-4,178.0,1977-03-06,Villanova University,/players/c/celesjo01.html,celesjo01,0,76.0
Al Cervi,1950,1953,G-F,5-11,170.0,1917-02-12,,/players/c/cervial01.html,cervial01,1,71.0
Lionel Chalmers,2005,2005,G,6-0,180.0,1980-11-10,Xavier University,/players/c/chalmli01.html,chalmli01,0,72.0
Mario Chalmers,2009,2016,G,6-2,190.0,1986-05-19,University of Kansas,/players/c/chalmma01.html,chalmma01,0,74.0
Bill Chamberlain,1973,1974,F,6-6,188.0,1949-12-16,University of North Carolina,/players/c/chambbi01.html,chambbi01,0,78.0
Wilt Chamberlain,1960,1973,C,7-1,275.0,1936-08-21,University of Kansas,/players/c/chambwi01.html,chambwi01,1,85.0
Jerry Chambers,1967,1974,F,6-5,185.0,1943-07-18,University of Utah,/players/c/chambje01.html,chambje01,0,77.0
Tom Chambers,1982,1998,F-C,6-10,220.0,1959-06-21,University of Utah,/players/c/chambto01.html,chambto01,0,82.0
Mike Champion,1989,1989,F,6-10,230.0,1964-04-05,Gonzaga University,/players/c/champmi01.html,champmi01,0,82.0
Tyson Chandler,2002,2017,C,7-1,240.0,1982-10-02,,/players/c/chandty01.html,chandty01,0,85.0
Wilson Chandler,2008,2017,F,6-8,225.0,1987-05-10,DePaul University,/players/c/chandwi01.html,chandwi01,0,80.0
Don Chaney,1969,1980,G,6-5,210.0,1946-03-22,University of Houston,/players/c/chanedo01.html,chanedo01,0,77.0
John Chaney,1950,1950,F-C,6-3,185.0,1920-02-29,Louisiana State University,/players/c/chanejo01.html,chanejo01,0,75.0
Rex Chapman,1989,2000,G,6-4,185.0,1967-10-05,University of Kentucky,/players/c/chapmre01.html,chapmre01,0,76.0
Wayne Chapman,1969,1972,G-F,6-6,190.0,1945-06-15,Western Kentucky University,/players/c/chapmwa01.html,chapmwa01,0,78.0
Len Chappell,1963,1972,F-C,6-8,240.0,1941-01-31,Wake Forest University,/players/c/chapple01.html,chapple01,0,80.0
Ken Charles,1974,1978,G,6-3,180.0,1951-07-10,Fordham University,/players/c/charlke01.html,charlke01,0,75.0
Lorenzo Charles,1986,1986,F,6-7,225.0,1963-11-25,North Carolina State University,/players/c/charllo01.html,charllo01,0,79.0
Calbert Cheaney,1994,2006,G-F,6-7,209.0,1971-07-17,Indiana University,/players/c/cheanca01.html,cheanca01,0,79.0
Maurice Cheeks,1979,1993,G,6-1,180.0,1956-09-08,West Texas A&M University,/players/c/cheekma01.html,cheekma01,0,73.0
Phil Chenier,1972,1981,G,6-3,180.0,1950-10-30,University of California,/players/c/cheniph01.html,cheniph01,0,75.0
Will Cherry,2015,2015,G,6-0,185.0,1991-02-08,University of Montana,/players/c/cherrwi01.html,cherrwi01,0,72.0
Derrick Chievous,1989,1991,F,6-7,195.0,1967-07-03,University of Missouri,/players/c/chievde01.html,chievde01,0,79.0
Pete Chilcutt,1992,2000,F-C,6-10,230.0,1968-09-14,University of North Carolina,/players/c/chilcpe01.html,chilcpe01,0,82.0
Josh Childress,2005,2014,G-F,6-8,210.0,1983-06-20,Stanford University,/players/c/childjo01.html,childjo01,0,80.0
Randolph Childress,1996,1997,G,6-2,188.0,1972-09-21,Wake Forest University,/players/c/childra01.html,childra01,0,74.0
Chris Childs,1995,2003,G,6-3,195.0,1967-11-20,Boise State University,/players/c/childch01.html,childch01,0,75.0
Leroy Chollet,1950,1951,F,6-2,190.0,1925-03-05,Canisius College,/players/c/chollle01.html,chollle01,0,74.0
Jim Chones,1973,1982,C-F,6-11,220.0,1949-11-30,Marquette University,/players/c/choneji01.html,choneji01,0,83.0
Marquese Chriss,2017,2017,F,6-10,233.0,1997-07-02,University of Washington,/players/c/chrisma01.html,chrisma01,0,82.0
Fred Christ,1955,1955,G,6-4,210.0,1930-08-06,Fordham University,/players/c/chrisfr01.html,chrisfr01,0,76.0
Cal Christensen,1951,1955,F-C,6-5,210.0,1927-07-08,University of Toledo,/players/c/chrisca01.html,chrisca01,0,77.0
Bob Christian,1970,1974,C,6-10,255.0,1946-05-11,Grambling State University,/players/c/chrisbo01.html,chrisbo01,0,82.0
Doug Christie,1993,2007,G-F,6-6,200.0,1970-05-09,Pepperdine University,/players/c/chrisdo01.html,chrisdo01,0,78.0
Dionte Christmas,2014,2014,G,6-5,205.0,1986-09-15,Temple University,/players/c/chrisdi01.html,chrisdi01,0,77.0
Rakeem Christmas,2016,2017,F,6-9,250.0,1991-12-01,Syracuse University,/players/c/chrisra01.html,chrisra01,0,81.0
Semaj Christon,2017,2017,G,6-3,190.0,1992-11-01,Xavier University,/players/c/chrisse01.html,chrisse01,0,75.0
Patrick Christopher,2015,2015,G-F,6-5,209.0,1988-06-03,University of California,/players/c/chrispa01.html,chrispa01,0,77.0
Stephen Chubin,1968,1970,G,6-2,200.0,1944-02-08,University of Rhode Island,/players/c/chubist01.html,chubist01,0,74.0
Robert Churchwell,1996,1996,G-F,6-6,195.0,1972-02-20,Georgetown University,/players/c/churcro01.html,churcro01,0,78.0
Archie Clark,1967,1976,G,6-2,175.0,1941-07-15,University of Minnesota,/players/c/clarkar01.html,clarkar01,0,74.0
Carlos Clark,1984,1985,G,6-4,210.0,1960-08-10,University of Mississippi,/players/c/clarkca01.html,clarkca01,0,76.0
Earl Clark,2010,2015,F,6-10,225.0,1988-01-17,University of Louisville,/players/c/clarkea01.html,clarkea01,0,82.0
Ian Clark,2014,2017,G,6-3,175.0,1991-03-07,Belmont University,/players/c/clarkia01.html,clarkia01,0,75.0
Keon Clark,1999,2004,F-C,6-11,220.0,1975-04-16,"University of Nevada, Las Vegas",/players/c/clarkke01.html,clarkke01,0,83.0
Richard Clark,1968,1969,G,6-4,190.0,1944-01-05,Eastern Kentucky University,/players/c/clarkri01.html,clarkri01,0,76.0
Coty Clarke,2016,2016,F,6-7,232.0,1992-07-04,University of Arkansas,/players/c/clarkco01.html,clarkco01,0,79.0
Jordan Clarkson,2015,2017,G,6-5,194.0,1992-06-07,University of Missouri,/players/c/clarkjo01.html,clarkjo01,0,77.0
Victor Claver,2013,2015,F,6-9,224.0,1988-08-30,,/players/c/clavevi01.html,clavevi01,0,81.0
John Clawson,1969,1969,F,6-4,200.0,1944-05-15,University of Michigan,/players/c/clawsjo01.html,clawsjo01,0,76.0
Charles Claxton,1996,1996,C,7-0,265.0,1970-12-13,University of Georgia,/players/c/claxtch01.html,claxtch01,0,84.0
Speedy Claxton,2002,2009,G,5-11,166.0,1978-05-08,Hofstra University,/players/c/claxtsp01.html,claxtsp01,0,71.0
Jim Cleamons,1972,1980,G,6-3,185.0,1949-09-13,Ohio State University,/players/c/cleamji01.html,cleamji01,0,75.0
Mateen Cleaves,2001,2006,G,6-2,205.0,1977-09-07,Michigan State University,/players/c/cleavma01.html,cleavma01,0,74.0
Barry Clemens,1966,1976,F,6-6,210.0,1943-05-01,Ohio Wesleyan University,/players/c/clemeba01.html,clemeba01,0,78.0
Nat Clifton,1951,1958,C-F,6-6,220.0,1922-10-13,Xavier University of Louisiana,/players/c/cliftna01.html,cliftna01,1,78.0
Bill Closs,1950,1952,F-C,6-5,195.0,1922-01-08,Rice University,/players/c/clossbi01.html,clossbi01,0,77.0
Keith Closs,1998,2000,C,7-3,212.0,1976-04-03,Central Connecticut State University,/players/c/closske01.html,closske01,0,87.0
Paul Cloyd,1950,1950,G-F,6-2,180.0,1920-06-13,University of Wisconsin,/players/c/cloydpa01.html,cloydpa01,0,74.0
Bob Cluggish,1947,1947,C,6-10,235.0,1917-09-18,University of Kentucky,/players/c/cluggbo01.html,cluggbo01,0,82.0
Ben Clyde,1975,1975,F,6-7,198.0,1951-06-10,Florida State University,/players/c/clydebe01.html,clydebe01,0,79.0
Richard Coffey,1991,1991,F,6-6,212.0,1965-09-02,University of Minnesota,/players/c/cofferi01.html,cofferi01,0,78.0
Fred Cofield,1986,1987,G,6-3,190.0,1962-01-04,Eastern Michigan University,/players/c/cofiefr01.html,cofiefr01,0,75.0
John Coker,1996,2001,C,7-0,253.0,1971-10-28,Boise State University,/players/c/cokerjo01.html,cokerjo01,0,84.0
Norris Cole,2012,2017,G,6-2,175.0,1988-10-13,Cleveland State University,/players/c/coleno01.html,coleno01,0,74.0
Ben Coleman,1987,1994,F,6-9,235.0,1961-11-14,University of Maryland,/players/c/colembe01.html,colembe01,0,81.0
Derrick Coleman,1991,2005,F,6-10,230.0,1967-06-21,Syracuse University,/players/c/colemde01.html,colemde01,0,82.0
E.C. Coleman,1974,1979,F,6-8,225.0,1950-09-25,Houston Baptist University,/players/c/colemec01.html,colemec01,0,80.0
