Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches
Bobby Watson,1955,1955,G,6-0,160.0,1930-03-22,University of Kentucky,/players/w/watsobo01.html,watsobo01,0,72.0
C.J. Watson,2008,2017,G,6-2,175.0,1984-04-17,University of Tennessee,/players/w/watsocj01.html,watsocj01,0,74.0
Earl Watson,2002,2014,G,6-1,195.0,1979-06-12,"University of California, Los Angeles",/players/w/watsoea01.html,watsoea01,0,73.0
Jamie Watson,1995,1999,F,6-7,190.0,1972-02-23,University of South Carolina,/players/w/watsoja01.html,watsoja01,0,79.0
Ron Watts,1966,1967,F,6-6,210.0,1943-05-21,Wake Forest University,/players/w/wattsro01.html,wattsro01,0,78.0
Samuel Watts,1971,1971,G,6-3,185.0,1948-03-14,Florida Agricultural and Mechanical University,/players/w/wattssa01.html,wattssa01,0,75.0
Slick Watts,1974,1979,G,6-1,175.0,1951-07-22,Xavier University of Louisiana,/players/w/wattssl01.html,wattssl01,0,73.0
Maalik Wayns,2013,2014,G,6-2,200.0,1991-05-02,Villanova University,/players/w/waynsma01.html,waynsma01,0,74.0
David Wear,2015,2015,F,6-10,230.0,1990-09-21,"University of California, Los Angeles",/players/w/wearda01.html,wearda01,0,82.0
Travis Wear,2015,2015,F,6-10,230.0,1990-09-21,"University of California, Los Angeles",/players/w/weartr01.html,weartr01,0,82.0
Clarence Weatherspoon,1993,2005,F,6-6,240.0,1970-09-08,University of Southern Mississippi,/players/w/weathcl01.html,weathcl01,0,78.0
Nick Weatherspoon,1974,1980,F,6-7,195.0,1950-07-20,University of Illinois at Urbana-Champaign,/players/w/weathni01.html,weathni01,0,79.0
Kyle Weaver,2009,2011,G,6-6,201.0,1986-02-18,Washington State University,/players/w/weaveky01.html,weaveky01,0,78.0
Jeff Webb,1971,1972,G,6-4,170.0,1948-07-06,Kansas State University,/players/w/webbje01.html,webbje01,0,76.0
Marcus Webb,1993,1993,F-C,6-9,255.0,1970-05-09,University of Alabama,/players/w/webbma01.html,webbma01,0,81.0
Spud Webb,1986,1998,G,5-6,133.0,1963-07-13,North Carolina State University,/players/w/webbsp01.html,webbsp01,0,66.0
Chris Webber,1994,2008,F-C,6-9,245.0,1973-03-01,University of Michigan,/players/w/webbech01.html,webbech01,0,81.0
Briante Weber,2016,2017,G,6-2,165.0,1992-12-29,Virginia Commonwealth University,/players/w/weberbr01.html,weberbr01,0,74.0
Jake Weber,1947,1947,C,6-6,225.0,1918-03-18,Purdue University,/players/w/weberja01.html,weberja01,0,78.0
Elnardo Webster,1972,1972,F,6-5,190.0,1948-03-06,Saint Peter's College,/players/w/webstel01.html,webstel01,0,77.0
Jeff Webster,1996,1996,F,6-8,232.0,1971-02-19,University of Oklahoma,/players/w/webstje01.html,webstje01,0,80.0
Martell Webster,2006,2015,G-F,6-7,230.0,1986-12-04,,/players/w/webstma02.html,webstma02,0,79.0
Marvin Webster,1976,1987,C,7-1,225.0,1952-04-13,Morgan State University,/players/w/webstma01.html,webstma01,0,85.0
