Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
Bert Cook,1955,1955,G-F,6-3,185.0,1929-04-26,Utah State University,/players/c/cookbe01.html,cookbe01,0,75.0,"['http://www.basketball-reference.com/players/c/cookbe01.html', IndexError('list index out of range',)]"
Bobby Cook,1950,1950,G-F,5-10,155.0,1923-04-01,University of Wisconsin,/players/c/cookbo01.html,cookbo01,0,70.0,"['http://www.basketball-reference.com/players/c/cookbo01.html', IndexError('list index out of range',)]"
Brian Cook,2004,2012,F,6-9,234.0,1980-12-04,University of Illinois at Urbana-Champaign,/players/c/cookbr01.html,cookbr01,0,81.0,http://www.sports-reference.com/cbb/players/brian-cook-1.html
Daequan Cook,2008,2013,G,6-5,205.0,1987-04-28,Ohio State University,/players/c/cookda02.html,cookda02,0,77.0,http://www.sports-reference.com/cbb/players/daequan-cook-1.html
Darwin Cook,1981,1989,G,6-3,184.0,1958-08-06,University of Portland,/players/c/cookda01.html,cookda01,0,75.0,http://www.sports-reference.com/cbb/players/darwin-cook-1.html
Jeff Cook,1980,1988,F-C,6-10,215.0,1956-10-21,Idaho State University,/players/c/cookje01.html,cookje01,0,82.0,http://www.sports-reference.com/cbb/players/jeff-cook-1.html
Norm Cook,1977,1978,F,6-8,210.0,1955-03-21,University of Kansas,/players/c/cookno01.html,cookno01,0,80.0,"['http://www.basketball-reference.com/players/c/cookno01.html', IndexError('list index out of range',)]"
Omar Cook,2004,2005,G,6-1,190.0,1982-01-28,St. John's University,/players/c/cookom01.html,cookom01,0,73.0,http://www.sports-reference.com/cbb/players/omar-cook-1.html
Quinn Cook,2017,2017,G,6-2,184.0,1993-03-23,Duke University,/players/c/cookqu01.html,cookqu01,0,74.0,http://www.sports-reference.com/cbb/players/quinn-cook-1.html
David Cooke,1986,1986,F,6-8,230.0,1963-09-27,Saint Mary's College of California,/players/c/cookeda01.html,cookeda01,0,80.0,http://www.sports-reference.com/cbb/players/david-cooke-1.html
Joe Cooke,1971,1971,G,6-3,175.0,1948-08-14,Indiana University,/players/c/cookejo01.html,cookejo01,0,75.0,"['http://www.basketball-reference.com/players/c/cookejo01.html', IndexError('list index out of range',)]"
Jack Cooley,2015,2015,F,6-9,260.0,1991-04-04,University of Notre Dame,/players/c/cooleja01.html,cooleja01,0,81.0,http://www.sports-reference.com/cbb/players/jack-cooley-1.html
Chuck Cooper,1951,1956,F,6-5,210.0,1926-09-29,Duquesne University,/players/c/coopech01.html,coopech01,0,77.0,"['http://www.basketball-reference.com/players/c/coopech01.html', IndexError('list index out of range',)]"
Duane Cooper,1993,1994,G,6-1,185.0,1969-06-25,University of Southern California,/players/c/coopedu01.html,coopedu01,0,73.0,http://www.sports-reference.com/cbb/players/duane-cooper-1.html
Joe Cooper,1982,1985,C-F,6-10,230.0,1957-09-01,University of Colorado,/players/c/coopejo01.html,coopejo01,0,82.0,http://www.sports-reference.com/cbb/players/joe-cooper-1.html
Michael Cooper,1979,1990,G-F,6-5,170.0,1956-04-15,University of New Mexico,/players/c/coopemi01.html,coopemi01,0,77.0,http://www.sports-reference.com/cbb/players/michael-cooper-1.html
Wayne Cooper,1979,1992,C-F,6-10,220.0,1956-11-16,University of New Orleans,/players/c/coopewa01.html,coopewa01,0,82.0,http://www.sports-reference.com/cbb/players/wayne-cooper-1.html
Tom Copa,1992,1992,C,6-10,275.0,1964-10-30,Marquette University,/players/c/copato01.html,copato01,0,82.0,http://www.sports-reference.com/cbb/players/tom-copa-1.html
Chris Copeland,2013,2016,F,6-9,239.0,1984-03-17,University of Colorado,/players/c/copelch01.html,copelch01,0,81.0,http://www.sports-reference.com/cbb/players/chris-copeland-1.html
Hollis Copeland,1980,1982,F,6-6,180.0,1955-12-20,Rutgers University,/players/c/copelho01.html,copelho01,0,78.0,http://www.sports-reference.com/cbb/players/hollis-copeland-1.html
Lanard Copeland,1990,1992,G,6-6,190.0,1965-07-16,Georgia State University,/players/c/copella01.html,copella01,0,78.0,http://www.sports-reference.com/cbb/players/lanard-copeland-1.html
Tyrone Corbin,1986,2001,G-F,6-6,210.0,1962-12-31,DePaul University,/players/c/corbity01.html,corbity01,0,78.0,http://www.sports-reference.com/cbb/players/tyrone-corbin-1.html
Chris Corchiani,1992,1994,G,6-0,185.0,1968-03-28,North Carolina State University,/players/c/corchch01.html,corchch01,0,72.0,http://www.sports-reference.com/cbb/players/chris-corchiani-1.html
Ken Corley,1947,1947,C,6-5,210.0,,Oklahoma State Teachers College,/players/c/corleke01.html,corleke01,0,77.0,"['http://www.basketball-reference.com/players/c/corleke01.html', IndexError('list index out of range',)]"
Ray Corley,1950,1953,G,6-0,180.0,1928-01-01,Georgetown University,/players/c/corlera01.html,corlera01,0,72.0,"['http://www.basketball-reference.com/players/c/corlera01.html', IndexError('list index out of range',)]"
Dave Corzine,1979,1991,C,6-11,250.0,1956-04-25,DePaul University,/players/c/corzida01.html,corzida01,0,83.0,http://www.sports-reference.com/cbb/players/dave-corzine-1.html
Larry Costello,1955,1968,G,6-1,186.0,1931-07-02,Niagara University,/players/c/costela01.html,costela01,0,73.0,http://www.sports-reference.com/cbb/players/larry-costello-1.html
Bryce Cotton,2015,2016,G,6-1,165.0,1992-08-11,Providence College,/players/c/cottobr01.html,cottobr01,0,73.0,http://www.sports-reference.com/cbb/players/bryce-cotton-1.html
Jack Cotton,1950,1950,F-C,6-7,200.0,1924-10-25,University of Wyoming,/players/c/cottoja01.html,cottoja01,0,79.0,"['http://www.basketball-reference.com/players/c/cottoja01.html', IndexError('list index out of range',)]"
James Cotton,1998,1999,G,6-5,220.0,1975-12-14,"California State University, Long Beach",/players/c/cottoja02.html,cottoja02,0,77.0,http://www.sports-reference.com/cbb/players/james-cotton-2.html
John Coughran,1980,1980,F,6-7,225.0,1951-09-12,University of California,/players/c/coughjo01.html,coughjo01,0,79.0,http://www.sports-reference.com/cbb/players/john-coughran-1.html
Mel Counts,1965,1976,C-F,7-0,230.0,1941-10-16,Oregon State University,/players/c/countme01.html,countme01,0,84.0,"['http://www.basketball-reference.com/players/c/countme01.html', IndexError('list index out of range',)]"
Steve Courtin,1965,1965,G,6-1,188.0,1942-09-21,Saint Joseph's University,/players/c/courtst01.html,courtst01,0,73.0,"['http://www.basketball-reference.com/players/c/courtst01.html', IndexError('list index out of range',)]"
Joe Courtney,1993,1997,F,6-8,235.0,1969-10-17,University of Southern Mississippi,/players/c/courtjo01.html,courtjo01,0,80.0,http://www.sports-reference.com/cbb/players/joe-courtney-1.html
Marcus Cousin,2011,2011,C,6-11,245.0,1986-12-18,University of Houston,/players/c/cousima01.html,cousima01,0,83.0,http://www.sports-reference.com/cbb/players/marcus-cousin-1.html
DeMarcus Cousins,2011,2017,C-F,6-11,270.0,1990-08-13,University of Kentucky,/players/c/couside01.html,couside01,0,83.0,http://www.sports-reference.com/cbb/players/demarcus-cousins-1.html
Bob Cousy,1951,1970,G,6-1,175.0,1928-08-09,College of the Holy Cross,/players/c/cousybo01.html,cousybo01,1,73.0,http://www.sports-reference.com/cbb/players/bob-cousy-1.html
Robert Covington,2014,2017,F,6-9,215.0,1990-12-14,Tennessee State University,/players/c/covinro01.html,covinro01,0,81.0,http://www.sports-reference.com/cbb/players/robert-covington-1.html
Dave Cowens,1971,1983,C-F,6-9,230.0,1948-10-25,Florida State University,/players/c/cowenda01.html,cowenda01,1,81.0,http://www.sports-reference.com/cbb/players/dave-cowens-1.html
Chubby Cox,1983,1983,G,6-2,180.0,1955-12-29,University of San Francisco,/players/c/coxch01.html,coxch01,0,74.0,http://www.sports-reference.com/cbb/players/chubby-cox-1.html
Johnny Cox,1963,1963,G,6-4,180.0,1936-11-01,University of Kentucky,/players/c/coxjo01.html,coxjo01,0,76.0,"['http://www.basketball-reference.com/players/c/coxjo01.html', IndexError('list index out of range',)]"
Wesley Cox,1978,1979,F,6-6,215.0,1955-01-27,University of Louisville,/players/c/coxwe01.html,coxwe01,0,78.0,"['http://www.basketball-reference.com/players/c/coxwe01.html', IndexError('list index out of range',)]"
Allen Crabbe,2014,2017,G-F,6-6,210.0,1992-04-09,University of California,/players/c/crabbal01.html,crabbal01,0,78.0,http://www.sports-reference.com/cbb/players/allen-crabbe-1.html
Chris Crawford,1998,2004,F,6-9,235.0,1975-05-13,Marquette University,/players/c/crawfch01.html,crawfch01,0,81.0,http://www.sports-reference.com/cbb/players/chris-crawford-1.html
Freddie Crawford,1967,1971,G-F,6-4,189.0,1941-12-23,St. Bonaventure University,/players/c/crawffr01.html,crawffr01,0,76.0,"['http://www.basketball-reference.com/players/c/crawffr01.html', IndexError('list index out of range',)]"
Jamal Crawford,2001,2017,G,6-5,200.0,1980-03-20,University of Michigan,/players/c/crawfja01.html,crawfja01,0,77.0,http://www.sports-reference.com/cbb/players/jamal-crawford-1.html
Joe Crawford,2009,2009,F,6-5,210.0,1986-06-17,University of Kentucky,/players/c/crawfjo01.html,crawfjo01,0,77.0,http://www.sports-reference.com/cbb/players/joe-crawford-1.html
Jordan Crawford,2011,2017,G,6-4,195.0,1988-10-23,Xavier University,/players/c/crawfjo02.html,crawfjo02,0,76.0,http://www.sports-reference.com/cbb/players/jordan-crawford-1.html
Jim Creighton,1976,1976,F,6-8,200.0,1950-04-18,University of Colorado,/players/c/creigji01.html,creigji01,0,80.0,"['http://www.basketball-reference.com/players/c/creigji01.html', IndexError('list index out of range',)]"
Ron Crevier,1986,1986,C,7-0,235.0,1958-04-14,Boston College,/players/c/creviro01.html,creviro01,0,84.0,http://www.sports-reference.com/cbb/players/ron-crevier-1.html
Hal Crisler,1947,1947,F,6-3,215.0,1923-12-31,Iowa State University,/players/c/crislha01.html,crislha01,0,75.0,"['http://www.basketball-reference.com/players/c/crislha01.html', IndexError('list index out of range',)]"
Joe Crispin,2002,2002,G,6-0,185.0,1979-07-18,Pennsylvania State University,/players/c/crispjo01.html,crispjo01,0,72.0,http://www.sports-reference.com/cbb/players/joe-crispin-1.html
Charlie Criss,1978,1985,G,5-8,165.0,1948-11-06,New Mexico State University,/players/c/crissch01.html,crissch01,0,68.0,http://www.sports-reference.com/cbb/players/charlie-criss-1.html
Russell Critchfield,1969,1969,G,5-10,150.0,1946-06-27,University of California,/players/c/critcru01.html,critcru01,0,70.0,"['http://www.basketball-reference.com/players/c/critcru01.html', IndexError('list index out of range',)]"
Winston Crite,1988,1989,F,6-7,233.0,1965-06-20,Texas A&M University,/players/c/critewi01.html,critewi01,0,79.0,http://www.sports-reference.com/cbb/players/winston-crite-1.html
Javaris Crittenton,2008,2009,G,6-5,200.0,1987-12-31,Georgia Institute of Technology,/players/c/crittja01.html,crittja01,0,77.0,http://www.sports-reference.com/cbb/players/javaris-crittenton-1.html
Dillard Crocker,1949,1953,F-G,6-4,205.0,1925-01-19,Western Michigan University,/players/c/crockdi01.html,crockdi01,0,76.0,"['http://www.basketball-reference.com/players/c/crockdi01.html', IndexError('list index out of range',)]"
Bobby Croft,1971,1971,C,6-10,200.0,1946-03-17,University of Tennessee,/players/c/croftbo01.html,croftbo01,0,82.0,"['http://www.basketball-reference.com/players/c/croftbo01.html', IndexError('list index out of range',)]"
Geoff Crompton,1979,1984,C,6-11,280.0,1955-07-04,University of North Carolina,/players/c/crompge01.html,crompge01,0,83.0,http://www.sports-reference.com/cbb/players/geoff-crompton-1.html
Terry Crosby,1980,1980,G,6-4,195.0,1957-01-04,University of Tennessee,/players/c/crosbte01.html,crosbte01,0,76.0,http://www.sports-reference.com/cbb/players/terry-crosby-1.html
Austin Croshere,1998,2009,F,6-9,235.0,1975-05-01,Providence College,/players/c/croshau01.html,croshau01,0,81.0,http://www.sports-reference.com/cbb/players/austin-croshere-1.html
Jeff Cross,1986,1986,F,6-10,240.0,1961-09-01,University of Maine,/players/c/crossje01.html,crossje01,0,82.0,http://www.sports-reference.com/cbb/players/jeff-cross-1.html
Pete Cross,1971,1973,C-F,6-9,230.0,1948-03-28,University of San Francisco,/players/c/crosspe01.html,crosspe01,0,81.0,"['http://www.basketball-reference.com/players/c/crosspe01.html', IndexError('list index out of range',)]"
Russell Cross,1984,1984,C,6-10,215.0,1961-09-05,Purdue University,/players/c/crossru01.html,crossru01,0,82.0,http://www.sports-reference.com/cbb/players/russell-cross-1.html
Chink Crossin,1948,1950,G,6-1,165.0,1923-07-04,University of Pennsylvania,/players/c/crossch01.html,crossch01,0,73.0,"['http://www.basketball-reference.com/players/c/crossch01.html', IndexError('list index out of range',)]"
John Crotty,1993,2003,G,6-1,185.0,1969-07-15,University of Virginia,/players/c/crottjo01.html,crottjo01,0,73.0,http://www.sports-reference.com/cbb/players/john-crotty-1.html
Bill Crow,1968,1968,G,6-1,180.0,1940-12-09,Westminster College of Utah,/players/c/crowbi01.html,crowbi01,0,73.0,"['http://www.basketball-reference.com/players/c/crowbi01.html', IndexError('list index out of range',)]"
Mark Crow,1978,1978,F,6-7,210.0,1954-10-22,Duke University,/players/c/crowma01.html,crowma01,0,79.0,"['http://www.basketball-reference.com/players/c/crowma01.html', IndexError('list index out of range',)]"
Corey Crowder,1992,1995,G-F,6-5,214.0,1969-04-13,Kentucky Wesleyan College,/players/c/crowdco01.html,crowdco01,0,77.0,"['http://www.basketball-reference.com/players/c/crowdco01.html', IndexError('list index out of range',)]"
Jae Crowder,2013,2017,F,6-6,235.0,1990-07-06,Marquette University,/players/c/crowdja01.html,crowdja01,0,78.0,http://www.sports-reference.com/cbb/players/jae-crowder-1.html
Al Cueto,1970,1971,C-F,6-7,230.0,1946-08-02,University of Tulsa,/players/c/cuetoal01.html,cuetoal01,0,79.0,"['http://www.basketball-reference.com/players/c/cuetoal01.html', IndexError('list index out of range',)]"
Pat Cummings,1980,1991,F-C,6-9,230.0,1956-07-11,University of Cincinnati,/players/c/cummipa01.html,cummipa01,0,81.0,http://www.sports-reference.com/cbb/players/pat-cummings-1.html
Terry Cummings,1983,2000,F,6-9,220.0,1961-03-15,DePaul University,/players/c/cummite01.html,cummite01,0,81.0,http://www.sports-reference.com/cbb/players/terry-cummings-1.html
Vonteego Cummings,2000,2002,G,6-3,185.0,1976-02-29,University of Pittsburgh,/players/c/cummivo01.html,cummivo01,0,75.0,http://www.sports-reference.com/cbb/players/vonteego-cummings-1.html
Billy Cunningham,1966,1976,F-C,6-6,210.0,1943-06-03,University of North Carolina,/players/c/cunnibi01.html,cunnibi01,1,78.0,http://www.sports-reference.com/cbb/players/billy-cunningham-1.html
Dante Cunningham,2010,2017,F,6-8,230.0,1987-04-22,Villanova University,/players/c/cunnida01.html,cunnida01,0,80.0,http://www.sports-reference.com/cbb/players/dante-cunningham-1.html
Dick Cunningham,1969,1975,C,6-10,245.0,1946-07-11,Murray State University,/players/c/cunnidi01.html,cunnidi01,0,82.0,"['http://www.basketball-reference.com/players/c/cunnidi01.html', IndexError('list index out of range',)]"
Jared Cunningham,2013,2016,G,6-4,195.0,1991-05-22,Oregon State University,/players/c/cunnija01.html,cunnija01,0,76.0,http://www.sports-reference.com/cbb/players/jared-cunningham-2.html
William Cunningham,1998,1999,C,6-11,250.0,1974-03-25,Temple University,/players/c/cunniwi01.html,cunniwi01,0,83.0,http://www.sports-reference.com/cbb/players/william-cunningham-1.html
Radisav Curcic,1993,1993,C,6-10,275.0,1965-09-26,,/players/c/curcira01.html,curcira01,0,82.0,"['http://www.basketball-reference.com/players/c/curcira01.html', IndexError('list index out of range',)]"
Armand Cure,1947,1947,F,6-0,198.0,1919-08-01,University of Rhode Island,/players/c/curear01.html,curear01,0,72.0,"['http://www.basketball-reference.com/players/c/curear01.html', IndexError('list index out of range',)]"
Earl Cureton,1981,1997,F-C,6-9,210.0,1957-09-03,University of Detroit Mercy,/players/c/curetea01.html,curetea01,0,81.0,"['http://www.basketball-reference.com/players/c/curetea01.html', IndexError('list index out of range',)]"
Bill Curley,1995,2001,F,6-9,220.0,1972-05-29,Boston College,/players/c/curlebi01.html,curlebi01,0,81.0,http://www.sports-reference.com/cbb/players/bill-curley-1.html
Fran Curran,1949,1950,G,6-0,175.0,1922-09-09,University of Notre Dame,/players/c/currafr01.html,currafr01,0,72.0,"['http://www.basketball-reference.com/players/c/currafr01.html', IndexError('list index out of range',)]"
Dell Curry,1987,2002,G,6-4,190.0,1964-06-25,Virginia Polytechnic Institute and State University,/players/c/curryde01.html,curryde01,0,76.0,http://www.sports-reference.com/cbb/players/dell-curry-1.html
Eddy Curry,2002,2013,C,7-0,295.0,1982-12-05,,/players/c/curryed01.html,curryed01,0,84.0,"['http://www.basketball-reference.com/players/c/curryed01.html', IndexError('list index out of range',)]"
JamesOn Curry,2010,2010,G,6-3,190.0,1986-01-07,Oklahoma State University,/players/c/curryja01.html,curryja01,0,75.0,http://www.sports-reference.com/cbb/players/jameson-curry-1.html
Michael Curry,1994,2005,F-G,6-5,210.0,1968-08-22,Georgia Southern University,/players/c/currymi01.html,currymi01,0,77.0,http://www.sports-reference.com/cbb/players/michael-curry-1.html
Seth Curry,2014,2017,G,6-2,185.0,1990-08-23,Duke University,/players/c/curryse01.html,curryse01,0,74.0,http://www.sports-reference.com/cbb/players/seth-curry-1.html
Stephen Curry,2010,2017,G,6-3,190.0,1988-03-14,Davidson College,/players/c/curryst01.html,curryst01,0,75.0,http://www.sports-reference.com/cbb/players/stephen-curry-1.html
Rastko Cvetkovic,1996,1996,C,7-1,260.0,1970-06-22,,/players/c/cvetkra01.html,cvetkra01,0,85.0,"['http://www.basketball-reference.com/players/c/cvetkra01.html', IndexError('list index out of range',)]"
Mike D'Antoni,1974,1977,G,6-3,185.0,1951-05-08,Marshall University,/players/d/dantomi01.html,dantomi01,0,75.0,"['http://www.basketball-reference.com/players/d/dantomi01.html', IndexError('list index out of range',)]"
Mike Dabich,1968,1968,C,7-0,242.0,1942-12-27,New Mexico State University,/players/d/dabicmi01.html,dabicmi01,0,84.0,"['http://www.basketball-reference.com/players/d/dabicmi01.html', ConnectionError(ProtocolError('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',)),)]"
Ed Dahler,1952,1952,F,6-5,190.0,1926-01-31,Duquesne University,/players/d/dahleed01.html,dahleed01,0,77.0,"['http://www.basketball-reference.com/players/d/dahleed01.html', ConnectionError(MaxRetryError(""HTTPConnectionPool(host='www.basketball-reference.com', port=80): Max retries exceeded with url: /players/d/dahleed01.html (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x7fa2cb150940>: Failed to establish a new connection: [Errno 111] Connection refused',))"",),)]"
Quintin Dailey,1983,1992,G,6-3,180.0,1961-01-22,University of San Francisco,/players/d/dailequ01.html,dailequ01,0,75.0,"['http://www.basketball-reference.com/players/d/dailequ01.html', ConnectionError(MaxRetryError(""HTTPConnectionPool(host='www.basketball-reference.com', port=80): Max retries exceeded with url: /players/d/dailequ01.html (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x7fa2cb0db198>: Failed to establish a new connection: [Errno 111] Connection refused',))"",),)]"
Samuel Dalembert,2002,2015,C,6-11,255.0,1981-05-10,Seton Hall University,/players/d/dalemsa01.html,dalemsa01,0,83.0,http://www.sports-reference.com/cbb/players/samuel-dalembert-1.html
Howie Dallmar,1947,1949,F,6-4,200.0,1922-05-24,Stanford University,/players/d/dallmho01.html,dallmho01,0,76.0,"['http://www.basketball-reference.com/players/d/dallmho01.html', IndexError('list index out of range',)]"
Erick Dampier,1997,2012,C,6-11,265.0,1975-07-14,Mississippi State University,/players/d/dampier01.html,dampier01,0,83.0,http://www.sports-reference.com/cbb/players/erick-dampier-1.html
Louie Dampier,1968,1979,G,6-0,170.0,1944-11-20,University of Kentucky,/players/d/dampilo01.html,dampilo01,1,72.0,"['http://www.basketball-reference.com/players/d/dampilo01.html', IndexError('list index out of range',)]"
Bob Dandridge,1970,1982,F-G,6-6,195.0,1947-11-15,Norfolk State University,/players/d/dandrbo01.html,dandrbo01,0,78.0,"['http://www.basketball-reference.com/players/d/dandrbo01.html', IndexError('list index out of range',)]"
Antonio Daniels,1998,2011,G,6-4,195.0,1975-03-19,Bowling Green State University,/players/d/daniean01.html,daniean01,0,76.0,http://www.sports-reference.com/cbb/players/antonio-daniels-1.html
Erik Daniels,2005,2005,F,6-8,214.0,1982-04-01,University of Kentucky,/players/d/danieer01.html,danieer01,0,80.0,http://www.sports-reference.com/cbb/players/erik-daniels-1.html
Lloyd Daniels,1993,1998,G,6-7,205.0,1967-09-04,Mount San Antonio College,/players/d/daniell01.html,daniell01,0,79.0,"['http://www.basketball-reference.com/players/d/daniell01.html', IndexError('list index out of range',)]"
Marquis Daniels,2004,2013,G-F,6-6,200.0,1981-01-07,Auburn University,/players/d/daniema01.html,daniema01,0,78.0,http://www.sports-reference.com/cbb/players/marquis-daniels-1.html
Mel Daniels,1968,1977,C,6-9,220.0,1944-07-20,University of New Mexico,/players/d/danieme01.html,danieme01,1,81.0,http://www.sports-reference.com/cbb/players/mel-daniels-1.html
Troy Daniels,2014,2017,G,6-4,205.0,1991-07-15,Virginia Commonwealth University,/players/d/danietr01.html,danietr01,0,76.0,http://www.sports-reference.com/cbb/players/troy-daniels-1.html
Sasha Danilovic,1996,1997,G,6-5,200.0,1970-02-26,,/players/d/danilsa01.html,danilsa01,0,77.0,"['http://www.basketball-reference.com/players/d/danilsa01.html', IndexError('list index out of range',)]"
Adrian Dantley,1977,1991,F-G,6-5,208.0,1956-02-28,University of Notre Dame,/players/d/dantlad01.html,dantlad01,1,77.0,http://www.sports-reference.com/cbb/players/adrian-dantley-1.html
Pete Darcey,1953,1953,C,6-7,217.0,1930-03-03,Oklahoma State University,/players/d/darcepe01.html,darcepe01,0,79.0,"['http://www.basketball-reference.com/players/d/darcepe01.html', IndexError('list index out of range',)]"
Jimmy Darden,1950,1950,G,6-1,170.0,1922-06-19,University of Denver,/players/d/dardeji01.html,dardeji01,0,73.0,"['http://www.basketball-reference.com/players/d/dardeji01.html', IndexError('list index out of range',)]"
Ollie Darden,1968,1970,F-C,6-7,235.0,1944-07-28,University of Michigan,/players/d/dardeol01.html,dardeol01,0,79.0,"['http://www.basketball-reference.com/players/d/dardeol01.html', IndexError('list index out of range',)]"
Yinka Dare,1995,1998,C,7-0,265.0,1972-10-10,George Washington University,/players/d/dareyi01.html,dareyi01,0,84.0,http://www.sports-reference.com/cbb/players/yinka-dare-1.html
Jesse Dark,1975,1975,G,6-5,210.0,1951-09-02,Virginia Commonwealth University,/players/d/darkje01.html,darkje01,0,77.0,"['http://www.basketball-reference.com/players/d/darkje01.html', IndexError('list index out of range',)]"
Rick Darnell,1976,1976,C-F,6-10,215.0,1953-01-01,San Jose State University,/players/d/darneri01.html,darneri01,0,82.0,"['http://www.basketball-reference.com/players/d/darneri01.html', IndexError('list index out of range',)]"
Jimmy Darrow,1962,1962,G,5-10,170.0,1937-09-25,Bowling Green State University,/players/d/darroji01.html,darroji01,0,70.0,"['http://www.basketball-reference.com/players/d/darroji01.html', IndexError('list index out of range',)]"
Luigi Datome,2014,2015,F,6-8,215.0,1987-11-27,,/players/d/datomlu01.html,datomlu01,0,80.0,"['http://www.basketball-reference.com/players/d/datomlu01.html', IndexError('list index out of range',)]"
Brad Daugherty,1987,1994,C,7-0,245.0,1965-10-19,University of North Carolina,/players/d/daughbr01.html,daughbr01,0,84.0,http://www.sports-reference.com/cbb/players/brad-daugherty-1.html
Mack Daughtry,1971,1971,G,6-3,175.0,,Albany State University,/players/d/daughma01.html,daughma01,0,75.0,"['http://www.basketball-reference.com/players/d/daughma01.html', IndexError('list index out of range',)]"
Kornel David,1999,2001,F,6-9,235.0,1971-10-22,,/players/d/davidko01.html,davidko01,0,81.0,"['http://www.basketball-reference.com/players/d/davidko01.html', IndexError('list index out of range',)]"
Jermareo Davidson,2008,2009,F,6-10,230.0,1984-11-15,University of Alabama,/players/d/davidje01.html,davidje01,0,82.0,http://www.sports-reference.com/cbb/players/jermareo-davidson-1.html
Bob Davies,1949,1955,G-F,6-1,175.0,1920-01-15,Seton Hall University,/players/d/daviebo01.html,daviebo01,1,73.0,http://www.sports-reference.com/cbb/players/bob-davies-1.html
Brandon Davies,2014,2015,F,6-10,240.0,1991-07-25,Brigham Young University,/players/d/daviebr01.html,daviebr01,0,82.0,http://www.sports-reference.com/cbb/players/brandon-davies-1.html
Anthony Davis,2013,2017,F-C,6-10,253.0,1993-03-11,University of Kentucky,/players/d/davisan02.html,davisan02,0,82.0,http://www.sports-reference.com/cbb/players/anthony-davis-5.html
Antonio Davis,1994,2006,F-C,6-9,215.0,1968-10-31,University of Texas at El Paso,/players/d/davisan01.html,davisan01,0,81.0,http://www.sports-reference.com/cbb/players/antonio-davis-1.html
Aubrey Davis,1947,1947,G-F,6-2,175.0,1921-03-28,Oklahoma Baptist University,/players/d/davisau01.html,davisau01,0,74.0,"['http://www.basketball-reference.com/players/d/davisau01.html', IndexError('list index out of range',)]"
Baron Davis,2000,2012,G,6-3,209.0,1979-04-13,"University of California, Los Angeles",/players/d/davisba01.html,davisba01,0,75.0,http://www.sports-reference.com/cbb/players/baron-davis-1.html
Ben Davis,1997,2000,F,6-9,240.0,1972-12-26,University of Arizona,/players/d/davisbe01.html,davisbe01,0,81.0,http://www.sports-reference.com/cbb/players/ben-davis-1.html
Bill Davis,1947,1947,F,6-3,215.0,1921-10-03,University of Notre Dame,/players/d/davisbi01.html,davisbi01,0,75.0,"['http://www.basketball-reference.com/players/d/davisbi01.html', IndexError('list index out of range',)]"
Bob Davis,1973,1973,F,6-7,215.0,1950-04-02,Weber State University,/players/d/davisbo01.html,davisbo01,0,79.0,"['http://www.basketball-reference.com/players/d/davisbo01.html', IndexError('list index out of range',)]"
Brad Davis,1978,1992,G,6-3,180.0,1955-12-17,University of Maryland,/players/d/davisbr01.html,davisbr01,0,75.0,http://www.sports-reference.com/cbb/players/brad-davis-1.html
Brian Davis,1994,1994,F-G,6-7,200.0,1970-06-21,Duke University,/players/d/davisbr02.html,davisbr02,0,79.0,http://www.sports-reference.com/cbb/players/brian-davis-1.html
Charles Davis,1982,1990,F,6-7,215.0,1958-10-05,Vanderbilt University,/players/d/davisch02.html,davisch02,0,79.0,http://www.sports-reference.com/cbb/players/charles-davis-1.html
Charlie Davis,1972,1974,G,6-2,160.0,1949-09-07,Wake Forest University,/players/d/davisch01.html,davisch01,0,74.0,"['http://www.basketball-reference.com/players/d/davisch01.html', IndexError('list index out of range',)]"
Dale Davis,1992,2007,F-C,6-11,230.0,1969-03-25,Clemson University,/players/d/davisda01.html,davisda01,0,83.0,http://www.sports-reference.com/cbb/players/dale-davis-1.html
Deyonta Davis,2017,2017,F-C,6-11,237.0,1996-12-02,Michigan State University,/players/d/davisde01.html,davisde01,0,83.0,http://www.sports-reference.com/cbb/players/deyonta-davis-1.html
Dwight Davis,1973,1977,F,6-8,220.0,1949-10-28,University of Houston,/players/d/davisdw01.html,davisdw01,0,80.0,"['http://www.basketball-reference.com/players/d/davisdw01.html', IndexError('list index out of range',)]"
Ed Davis,2011,2017,F,6-10,240.0,1989-06-05,University of North Carolina,/players/d/davised01.html,davised01,0,82.0,http://www.sports-reference.com/cbb/players/ed-davis-1.html
Emanual Davis,1997,2003,G,6-4,195.0,1968-08-27,Delaware State University,/players/d/davisem01.html,davisem01,0,76.0,http://www.sports-reference.com/cbb/players/emanual-davis-1.html
Glen Davis,2008,2015,F-C,6-9,289.0,1986-01-01,Louisiana State University,/players/d/davisgl01.html,davisgl01,0,81.0,http://www.sports-reference.com/cbb/players/glen-davis-1.html
Harry Davis,1979,1980,F,6-7,220.0,1956-01-27,Florida State University,/players/d/davisha01.html,davisha01,0,79.0,http://www.sports-reference.com/cbb/players/harry-davis-1.html
