Player,From,To,Pos,Ht,Wt,Birth_Date,College,Link,Bref_ID,HOF,Ht_Inches,cbb_info
John Lambert,1976,1982,C-F,6-10,225.0,1953-01-14,University of Southern California,/players/l/lambejo01.html,lambejo01,0,82.0,http://www.sports-reference.com/cbb/players/john-lambert-1.html
Jeff Lamp,1982,1989,F-G,6-6,195.0,1959-03-09,University of Virginia,/players/l/lampje01.html,lampje01,0,78.0,http://www.sports-reference.com/cbb/players/jeff-lamp-1.html
Maciej Lampe,2004,2006,C,6-11,275.0,1985-02-05,,/players/l/lampema01.html,lampema01,0,83.0,"['http://www.basketball-reference.com/players/l/lampema01.html', IndexError('list index out of range',)]"
Jim Lampley,1987,1987,C,6-10,230.0,1960-07-02,University of Arkansas at Little Rock,/players/l/lamplji01.html,lamplji01,0,82.0,"['http://www.basketball-reference.com/players/l/lamplji01.html', IndexError('list index out of range',)]"
Sean Lampley,2003,2004,F,6-7,227.0,1979-09-03,University of California,/players/l/lamplse01.html,lamplse01,0,79.0,http://www.sports-reference.com/cbb/players/sean-lampley-1.html
Carl Landry,2008,2016,F,6-9,248.0,1983-09-19,Purdue University,/players/l/landrca01.html,landrca01,0,81.0,http://www.sports-reference.com/cbb/players/carl-landry-1.html
Marcus Landry,2010,2010,F,6-7,230.0,1985-11-01,University of Wisconsin,/players/l/landrma01.html,landrma01,0,79.0,http://www.sports-reference.com/cbb/players/marcus-landry-1.html
Mark Landsberger,1978,1984,F-C,6-8,215.0,1955-05-21,Arizona State University,/players/l/landsma01.html,landsma01,0,80.0,http://www.sports-reference.com/cbb/players/mark-landsberger-1.html
Jerome Lane,1989,1993,F,6-6,230.0,1966-12-04,University of Pittsburgh,/players/l/laneje01.html,laneje01,0,78.0,http://www.sports-reference.com/cbb/players/jerome-lane-1.html
Andrew Lang,1989,2000,C,6-11,245.0,1966-06-28,University of Arkansas,/players/l/langan01.html,langan01,0,83.0,http://www.sports-reference.com/cbb/players/andrew-lang-1.html
Antonio Lang,1995,2000,F-G,6-8,205.0,1972-05-15,Duke University,/players/l/langan02.html,langan02,0,80.0,http://www.sports-reference.com/cbb/players/antonio-lang-1.html
James Lang,2007,2007,C,6-10,285.0,1983-10-17,,/players/l/langja01.html,langja01,0,82.0,"['http://www.basketball-reference.com/players/l/langja01.html', IndexError('list index out of range',)]"
Trajan Langdon,2000,2002,G,6-3,197.0,1976-05-13,Duke University,/players/l/langdtr01.html,langdtr01,0,75.0,http://www.sports-reference.com/cbb/players/trajan-langdon-1.html
Keith Langford,2008,2008,G,6-4,215.0,1983-09-15,University of Kansas,/players/l/langfke01.html,langfke01,0,76.0,http://www.sports-reference.com/cbb/players/keith-langford-1.html
Dan Langhi,2001,2004,F,6-11,220.0,1977-11-28,Vanderbilt University,/players/l/langhda01.html,langhda01,0,83.0,http://www.sports-reference.com/cbb/players/dan-langhi-1.html
Bob Lanier,1971,1984,C,6-11,250.0,1948-09-10,St. Bonaventure University,/players/l/laniebo01.html,laniebo01,1,83.0,http://www.sports-reference.com/cbb/players/bob-lanier-1.html
Stu Lantz,1969,1976,G,6-3,175.0,1946-07-13,University of Nebraska,/players/l/lantzst01.html,lantzst01,0,75.0,"['http://www.basketball-reference.com/players/l/lantzst01.html', IndexError('list index out of range',)]"
Nicolas Laprovittola,2017,2017,G,6-4,180.0,1990-01-31,,/players/l/laproni01.html,laproni01,0,76.0,"['http://www.basketball-reference.com/players/l/laproni01.html', IndexError('list index out of range',)]"
York Larese,1962,1962,G,6-4,183.0,1938-07-18,University of North Carolina,/players/l/laresyo01.html,laresyo01,0,76.0,"['http://www.basketball-reference.com/players/l/laresyo01.html', IndexError('list index out of range',)]"
Shane Larkin,2014,2016,G,5-11,175.0,1992-10-02,University of Miami,/players/l/larkish01.html,larkish01,0,71.0,http://www.sports-reference.com/cbb/players/shane-larkin-1.html
Rusty LaRue,1998,2004,G,6-2,210.0,1973-12-10,Wake Forest University,/players/l/larueru01.html,larueru01,0,74.0,http://www.sports-reference.com/cbb/players/rusty-larue-1.html
Rudy LaRusso,1960,1969,F-C,6-7,220.0,1937-11-11,Dartmouth College,/players/l/larusru01.html,larusru01,0,79.0,"['http://www.basketball-reference.com/players/l/larusru01.html', IndexError('list index out of range',)]"
John Laskowski,1976,1977,G,6-6,185.0,1953-06-07,Indiana University,/players/l/laskojo01.html,laskojo01,0,78.0,"['http://www.basketball-reference.com/players/l/laskojo01.html', IndexError('list index out of range',)]"
Stephane Lasme,2008,2008,F,6-8,215.0,1982-12-17,University of Massachusetts Amherst,/players/l/lasmest01.html,lasmest01,0,80.0,http://www.sports-reference.com/cbb/players/stephane-lasme-1.html
Dave Lattin,1968,1973,F-C,6-6,225.0,1943-12-23,University of Texas at El Paso,/players/l/lattida01.html,lattida01,0,78.0,"['http://www.basketball-reference.com/players/l/lattida01.html', IndexError('list index out of range',)]"
