Bref_ID,Sref_Cbb_ID
bryanma01,mark-bryant-1
bryanwa01,wallace-bryant-1
brynto01,
buccige01,
buckhjo01,
bucknst01,steve-bucknall-1
buckncl01,
buckngr01,greg-buckner-1
bucknqu01,quinn-buckner-1
buddda01,
budinch01,chase-budinger-1
budkowa01,
buechju01,jud-buechler-1
buforro01,rodney-buford-1
bullama01,matt-bullard-1
bullore01,reggie-bullock-2
buncela01,
bunchgr01,
buntdi01,
buntibi01,
buntibi02,
burdeti01,
burkepa01,pat-burke-1
burketr01,trey-burke-1
burkmro01,roger-burkman-1
burksal01,alec-burks-1
burksan01,antonio-burks-1
burleke01,kevin-burleson-1
burleto01,tom-burleson-1
burmaja01,
burnsda01,david-burns-1
burnsev01,evers-burns-1
burnsji01,
burresc01,scott-burrell-1
burriar01,
burroju01,junior-burrough-1
burrobo01,
burtoed01,
burtowi01,willie-burton-1
burttst01,steve-burtt-1
busedo01,
bustida01,
butchdo01,
butleal01,
butleca01,caron-butler-1
butlegr01,greg-butler-1
butleja01,
butleji01,jimmy-butler-1
butlemi01,
butlemi02,mitchell-butler-1
butlera01,rasual-butler-1
buyckdw01,dwight-buycks-1
byarsde01,derrick-byars-1
bynuman01,
bynumwi01,will-bynum-1
byrdwa01,
byrnema01,marty-byrnes-1
byrneto01,
bytzumi01,
cabarza01,
cableba01,
cabocbr01,
caffeja01,jason-caffey-1
cagemi01,michael-cage-1
calabge01,
calatni01,nick-calathes-1
caldejo01,jose-manuel-calderon-1
caldwad01,adrian-caldwell-1
caldwji01,
caldwjo01,
caldwke01,kentavious-caldwell-pope-1
calhobi01,
calhoco01,corky-calhoun-1
calipde01,demetrius-calip-1
callato01,
callori01,rick-calloway-1
calveer01,
calvima01,mack-calvin-1
cambrde01,dexter-cambridge-1
cambyma01,marcus-camby-1
campbel01,elden-campbell-1
campbto01,tony-campbell-1
canaais01,isaiah-canaan-1
cannola01,
capelca01,
caracde01,derrick-caracter-1
cardfr01,
cardibr01,brian-cardinal-1
carlho01,
